Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:22:12.268991 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7633, lateral-2: 1.6083, lateral-3: 1.5672, lateral-4: 1.6593, lateral-5: 1.5577]
2025-10-23 17:22:13.938073 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7582, lateral-2: 1.5086, lateral-3: 1.4923, lateral-4: 1.5233, lateral-5: 1.5391]
2025-10-23 17:22:15.659892 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7524, lateral-2: 1.4463, lateral-3: 1.4583, lateral-4: 1.5116, lateral-5: 1.5298]
2025-10-23 17:22:17.378957 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7486, lateral-2: 1.4300, lateral-3: 1.4425, lateral-4: 1.4721, lateral-5: 1.5283]
2025-10-23 17:22:19.097267 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7459, lateral-2: 1.4064, lateral-3: 1.4134, lateral-4: 1.4609, lateral-5: 1.5123]
2025-10-23 17:22:20.823013 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7432, lateral-2: 1.3711, lateral-3: 1.3956, lateral-4: 1.4373, lateral-5: 1.4803]
2025-10-23 17:22:22.547249 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7410, lateral-2: 1.3331, lateral-3: 1.3654, lateral-4: 1.4174, lateral-5: 1.4429]
2025-10-23 17:22:24.242352 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7390, lateral-2: 1.2859, lateral-3: 1.3147, lateral-4: 1.3894, lateral-5: 1.4213]
2025-10-23 17:22:25.969011 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7372, lateral-2: 1.2178, lateral-3: 1.2651, lateral-4: 1.3197, lateral-5: 1.4209]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_3/Inf-Net-10.pth
2025-10-23 17:22:27.976683 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7354, lateral-2: 1.1433, lateral-3: 1.2237, lateral-4: 1.2536, lateral-5: 1.4449]
2025-10-23 17:22:29.690301 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7337, lateral-2: 1.0740, lateral-3: 1.1143, lateral-4: 1.2235, lateral-5: 1.5236]
2025-10-23 17:22:31.376141 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7321, lateral-2: 0.9938, lateral-3: 1.0538, lateral-4: 1.0977, lateral-5: 1.5490]
2025-10-23 17:22:33.099995 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7307, lateral-2: 0.9460, lateral-3: 0.9821, lateral-4: 1.0667, lateral-5: 1.5835]
2025-10-23 17:22:34.828953 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7293, lateral-2: 0.9064, lateral-3: 0.9707, lateral-4: 1.0415, lateral-5: 1.5966]
2025-10-23 17:22:36.554376 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7278, lateral-2: 0.8795, lateral-3: 0.9260, lateral-4: 1.0098, lateral-5: 1.5860]
2025-10-23 17:22:38.243842 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7265, lateral-2: 0.8435, lateral-3: 0.8978, lateral-4: 0.9892, lateral-5: 1.5597]
2025-10-23 17:22:39.970709 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7252, lateral-2: 0.8320, lateral-3: 0.8857, lateral-4: 0.9808, lateral-5: 1.5384]
2025-10-23 17:22:41.702321 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7239, lateral-2: 0.8056, lateral-3: 0.8619, lateral-4: 0.9610, lateral-5: 1.5154]
2025-10-23 17:22:43.429856 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7226, lateral-2: 0.7820, lateral-3: 0.8477, lateral-4: 0.9509, lateral-5: 1.4930]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_3/Inf-Net-20.pth
2025-10-23 17:22:45.418326 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7215, lateral-2: 0.7678, lateral-3: 0.8344, lateral-4: 0.9363, lateral-5: 1.4933]
2025-10-23 17:22:47.154843 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7203, lateral-2: 0.7618, lateral-3: 0.8309, lateral-4: 0.9396, lateral-5: 1.4573]
2025-10-23 17:22:48.881137 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7192, lateral-2: 0.7388, lateral-3: 0.8109, lateral-4: 0.9172, lateral-5: 1.4433]
2025-10-23 17:22:50.589283 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7181, lateral-2: 0.7296, lateral-3: 0.8042, lateral-4: 0.9147, lateral-5: 1.4171]
2025-10-23 17:22:52.282929 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7170, lateral-2: 0.7184, lateral-3: 0.7958, lateral-4: 0.9086, lateral-5: 1.4333]
2025-10-23 17:22:54.027244 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7160, lateral-2: 0.7089, lateral-3: 0.7861, lateral-4: 0.9001, lateral-5: 1.4023]
2025-10-23 17:22:55.759029 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7150, lateral-2: 0.6976, lateral-3: 0.7776, lateral-4: 0.8916, lateral-5: 1.3822]
2025-10-23 17:22:57.487416 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7140, lateral-2: 0.6795, lateral-3: 0.7604, lateral-4: 0.8766, lateral-5: 1.3638]
2025-10-23 17:22:59.207148 Epoch [028/100], Step [0001/0001], [lateral-edge: 0.7131, lateral-2: 0.6718, lateral-3: 0.7571, lateral-4: 0.8744, lateral-5: 1.3498]
2025-10-23 17:23:00.917679 Epoch [029/100], Step [0001/0001], [lateral-edge: 0.7122, lateral-2: 0.6635, lateral-3: 0.7480, lateral-4: 0.8676, lateral-5: 1.3269]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_3/Inf-Net-30.pth
2025-10-23 17:23:02.860227 Epoch [030/100], Step [0001/0001], [lateral-edge: 0.7114, lateral-2: 0.6558, lateral-3: 0.7421, lateral-4: 0.8616, lateral-5: 1.2976]
2025-10-23 17:23:04.544098 Epoch [031/100], Step [0001/0001], [lateral-edge: 0.7106, lateral-2: 0.6448, lateral-3: 0.7335, lateral-4: 0.8561, lateral-5: 1.2888]
2025-10-23 17:23:06.251046 Epoch [032/100], Step [0001/0001], [lateral-edge: 0.7099, lateral-2: 0.6420, lateral-3: 0.7308, lateral-4: 0.8519, lateral-5: 1.2662]
2025-10-23 17:23:07.950807 Epoch [033/100], Step [0001/0001], [lateral-edge: 0.7092, lateral-2: 0.6373, lateral-3: 0.7280, lateral-4: 0.8509, lateral-5: 1.2530]
2025-10-23 17:23:09.679698 Epoch [034/100], Step [0001/0001], [lateral-edge: 0.7085, lateral-2: 0.6281, lateral-3: 0.7224, lateral-4: 0.8460, lateral-5: 1.2403]
2025-10-23 17:23:11.369191 Epoch [035/100], Step [0001/0001], [lateral-edge: 0.7079, lateral-2: 0.6285, lateral-3: 0.7210, lateral-4: 0.8468, lateral-5: 1.2251]
2025-10-23 17:23:13.084224 Epoch [036/100], Step [0001/0001], [lateral-edge: 0.7073, lateral-2: 0.6159, lateral-3: 0.7129, lateral-4: 0.8404, lateral-5: 1.2135]
2025-10-23 17:23:14.791261 Epoch [037/100], Step [0001/0001], [lateral-edge: 0.7068, lateral-2: 0.6100, lateral-3: 0.7081, lateral-4: 0.8361, lateral-5: 1.2042]
2025-10-23 17:23:16.469950 Epoch [038/100], Step [0001/0001], [lateral-edge: 0.7063, lateral-2: 0.6031, lateral-3: 0.7020, lateral-4: 0.8337, lateral-5: 1.1974]
2025-10-23 17:23:18.166061 Epoch [039/100], Step [0001/0001], [lateral-edge: 0.7058, lateral-2: 0.6036, lateral-3: 0.7067, lateral-4: 0.8380, lateral-5: 1.1827]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_3/Inf-Net-40.pth
