Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 72
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/dilation/batch_72/run_1
Run: 1
Namespace(epoch=70, lr=0.0001, batchsize=72, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-26 21:58:45.543131 Epoch [001/070], Step [0001/0001], [lateral-edge: 0.7614, lateral-2: 1.5739, lateral-3: 1.5308, lateral-4: 1.5302, lateral-5: 1.5129]
2025-10-26 21:58:47.032704 Epoch [002/070], Step [0001/0001], [lateral-edge: 0.7550, lateral-2: 1.4584, lateral-3: 1.4543, lateral-4: 1.5074, lateral-5: 1.4990]
2025-10-26 21:58:48.597234 Epoch [003/070], Step [0001/0001], [lateral-edge: 0.7529, lateral-2: 1.4090, lateral-3: 1.4394, lateral-4: 1.4570, lateral-5: 1.5025]
2025-10-26 21:58:50.131929 Epoch [004/070], Step [0001/0001], [lateral-edge: 0.7490, lateral-2: 1.3991, lateral-3: 1.4005, lateral-4: 1.4572, lateral-5: 1.4846]
2025-10-26 21:58:51.696840 Epoch [005/070], Step [0001/0001], [lateral-edge: 0.7461, lateral-2: 1.3703, lateral-3: 1.3921, lateral-4: 1.4207, lateral-5: 1.4708]
2025-10-26 21:58:53.249811 Epoch [006/070], Step [0001/0001], [lateral-edge: 0.7438, lateral-2: 1.3527, lateral-3: 1.3602, lateral-4: 1.4075, lateral-5: 1.4117]
2025-10-26 21:58:54.789627 Epoch [007/070], Step [0001/0001], [lateral-edge: 0.7418, lateral-2: 1.3154, lateral-3: 1.3321, lateral-4: 1.3649, lateral-5: 1.3878]
2025-10-26 21:58:56.325901 Epoch [008/070], Step [0001/0001], [lateral-edge: 0.7404, lateral-2: 1.2607, lateral-3: 1.2773, lateral-4: 1.3253, lateral-5: 1.3697]
2025-10-26 21:58:57.852782 Epoch [009/070], Step [0001/0001], [lateral-edge: 0.7385, lateral-2: 1.2010, lateral-3: 1.2155, lateral-4: 1.2807, lateral-5: 1.3846]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/dilation/batch_72/run_1/Inf-Net-10.pth
2025-10-26 21:58:59.538437 Epoch [010/070], Step [0001/0001], [lateral-edge: 0.7370, lateral-2: 1.1145, lateral-3: 1.1739, lateral-4: 1.2082, lateral-5: 1.4028]
2025-10-26 21:59:01.078473 Epoch [011/070], Step [0001/0001], [lateral-edge: 0.7355, lateral-2: 1.0416, lateral-3: 1.0788, lateral-4: 1.1268, lateral-5: 1.4493]
2025-10-26 21:59:02.619223 Epoch [012/070], Step [0001/0001], [lateral-edge: 0.7341, lateral-2: 0.9824, lateral-3: 1.0228, lateral-4: 1.0725, lateral-5: 1.5024]
2025-10-26 21:59:04.154621 Epoch [013/070], Step [0001/0001], [lateral-edge: 0.7328, lateral-2: 0.9318, lateral-3: 1.0023, lateral-4: 1.0536, lateral-5: 1.5327]
2025-10-26 21:59:05.666826 Epoch [014/070], Step [0001/0001], [lateral-edge: 0.7315, lateral-2: 0.9215, lateral-3: 0.9647, lateral-4: 1.0480, lateral-5: 1.5218]
2025-10-26 21:59:07.209486 Epoch [015/070], Step [0001/0001], [lateral-edge: 0.7303, lateral-2: 0.8947, lateral-3: 0.9508, lateral-4: 1.0268, lateral-5: 1.5161]
2025-10-26 21:59:08.745367 Epoch [016/070], Step [0001/0001], [lateral-edge: 0.7291, lateral-2: 0.8629, lateral-3: 0.9197, lateral-4: 0.9954, lateral-5: 1.4861]
2025-10-26 21:59:10.294219 Epoch [017/070], Step [0001/0001], [lateral-edge: 0.7279, lateral-2: 0.8364, lateral-3: 0.8920, lateral-4: 0.9797, lateral-5: 1.4678]
2025-10-26 21:59:11.856650 Epoch [018/070], Step [0001/0001], [lateral-edge: 0.7267, lateral-2: 0.8193, lateral-3: 0.8827, lateral-4: 0.9651, lateral-5: 1.4344]
2025-10-26 21:59:13.414057 Epoch [019/070], Step [0001/0001], [lateral-edge: 0.7255, lateral-2: 0.7959, lateral-3: 0.8583, lateral-4: 0.9543, lateral-5: 1.4192]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/dilation/batch_72/run_1/Inf-Net-20.pth
2025-10-26 21:59:15.130447 Epoch [020/070], Step [0001/0001], [lateral-edge: 0.7243, lateral-2: 0.7820, lateral-3: 0.8520, lateral-4: 0.9413, lateral-5: 1.3945]
2025-10-26 21:59:16.674671 Epoch [021/070], Step [0001/0001], [lateral-edge: 0.7231, lateral-2: 0.7679, lateral-3: 0.8356, lateral-4: 0.9383, lateral-5: 1.3792]
2025-10-26 21:59:18.208657 Epoch [022/070], Step [0001/0001], [lateral-edge: 0.7220, lateral-2: 0.7545, lateral-3: 0.8302, lateral-4: 0.9308, lateral-5: 1.3576]
2025-10-26 21:59:19.761006 Epoch [023/070], Step [0001/0001], [lateral-edge: 0.7208, lateral-2: 0.7346, lateral-3: 0.8100, lateral-4: 0.9155, lateral-5: 1.3346]
2025-10-26 21:59:21.320656 Epoch [024/070], Step [0001/0001], [lateral-edge: 0.7196, lateral-2: 0.7189, lateral-3: 0.7989, lateral-4: 0.9033, lateral-5: 1.3222]
2025-10-26 21:59:22.867227 Epoch [025/070], Step [0001/0001], [lateral-edge: 0.7184, lateral-2: 0.7052, lateral-3: 0.7858, lateral-4: 0.8960, lateral-5: 1.3006]
2025-10-26 21:59:24.423461 Epoch [026/070], Step [0001/0001], [lateral-edge: 0.7171, lateral-2: 0.6892, lateral-3: 0.7755, lateral-4: 0.8870, lateral-5: 1.2872]
2025-10-26 21:59:25.988439 Epoch [027/070], Step [0001/0001], [lateral-edge: 0.7160, lateral-2: 0.6762, lateral-3: 0.7632, lateral-4: 0.8796, lateral-5: 1.2654]
2025-10-26 21:59:27.550755 Epoch [028/070], Step [0001/0001], [lateral-edge: 0.7148, lateral-2: 0.6669, lateral-3: 0.7549, lateral-4: 0.8698, lateral-5: 1.2534]
2025-10-26 21:59:29.124319 Epoch [029/070], Step [0001/0001], [lateral-edge: 0.7137, lateral-2: 0.6579, lateral-3: 0.7498, lateral-4: 0.8687, lateral-5: 1.2448]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/dilation/batch_72/run_1/Inf-Net-30.pth
2025-10-26 21:59:30.868042 Epoch [030/070], Step [0001/0001], [lateral-edge: 0.7125, lateral-2: 0.6513, lateral-3: 0.7452, lateral-4: 0.8681, lateral-5: 1.2256]
2025-10-26 21:59:32.439931 Epoch [031/070], Step [0001/0001], [lateral-edge: 0.7115, lateral-2: 0.6527, lateral-3: 0.7445, lateral-4: 0.8627, lateral-5: 1.2061]
2025-10-26 21:59:33.982636 Epoch [032/070], Step [0001/0001], [lateral-edge: 0.7105, lateral-2: 0.6508, lateral-3: 0.7429, lateral-4: 0.8664, lateral-5: 1.1987]
2025-10-26 21:59:35.540086 Epoch [033/070], Step [0001/0001], [lateral-edge: 0.7096, lateral-2: 0.6453, lateral-3: 0.7425, lateral-4: 0.8639, lateral-5: 1.1720]
2025-10-26 21:59:37.071409 Epoch [034/070], Step [0001/0001], [lateral-edge: 0.7087, lateral-2: 0.6325, lateral-3: 0.7280, lateral-4: 0.8551, lateral-5: 1.1901]
