Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:22:12.443827 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7549, lateral-2: 1.4599, lateral-3: 1.5274, lateral-4: 1.5464, lateral-5: 1.5035]
2025-10-23 17:22:14.008844 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7490, lateral-2: 1.3297, lateral-3: 1.3816, lateral-4: 1.4430, lateral-5: 1.4940]
2025-10-23 17:22:15.685177 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7462, lateral-2: 1.2825, lateral-3: 1.3375, lateral-4: 1.4195, lateral-5: 1.4913]
2025-10-23 17:22:17.348030 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7419, lateral-2: 1.2382, lateral-3: 1.3005, lateral-4: 1.3829, lateral-5: 1.4819]
2025-10-23 17:22:18.972189 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7386, lateral-2: 1.2123, lateral-3: 1.2705, lateral-4: 1.3678, lateral-5: 1.4675]
2025-10-23 17:22:20.585467 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7360, lateral-2: 1.2197, lateral-3: 1.2792, lateral-4: 1.3670, lateral-5: 1.4543]
2025-10-23 17:22:22.236576 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7332, lateral-2: 1.1509, lateral-3: 1.2105, lateral-4: 1.3100, lateral-5: 1.4076]
2025-10-23 17:22:23.913667 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7310, lateral-2: 1.0820, lateral-3: 1.1473, lateral-4: 1.2486, lateral-5: 1.4057]
2025-10-23 17:22:25.560921 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7289, lateral-2: 0.9817, lateral-3: 1.0538, lateral-4: 1.1644, lateral-5: 1.4690]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1/Inf-Net-10.pth
2025-10-23 17:22:27.574194 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7272, lateral-2: 0.9183, lateral-3: 0.9956, lateral-4: 1.1163, lateral-5: 1.5087]
2025-10-23 17:22:29.176244 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7258, lateral-2: 0.9076, lateral-3: 0.9830, lateral-4: 1.0925, lateral-5: 1.4640]
2025-10-23 17:22:30.885798 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7238, lateral-2: 0.8987, lateral-3: 0.9747, lateral-4: 1.0919, lateral-5: 1.4684]
2025-10-23 17:22:32.502041 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7223, lateral-2: 0.8688, lateral-3: 0.9466, lateral-4: 1.0656, lateral-5: 1.4460]
2025-10-23 17:22:34.135479 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7213, lateral-2: 0.8470, lateral-3: 0.9230, lateral-4: 1.0369, lateral-5: 1.4365]
2025-10-23 17:22:35.783369 Epoch [015/100], Step [0002/0002], [lateral-edge: 0.7195, lateral-2: 0.7967, lateral-3: 0.8811, lateral-4: 1.0045, lateral-5: 1.4211]
