Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Morphology: open
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_morphology=True, morph_operation='open', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:22:12.650564 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7609, lateral-2: 1.6049, lateral-3: 1.6038, lateral-4: 1.6161, lateral-5: 1.5447]
2025-10-23 17:22:14.340514 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7567, lateral-2: 1.4722, lateral-3: 1.4848, lateral-4: 1.5184, lateral-5: 1.5602]
2025-10-23 17:22:16.076185 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7521, lateral-2: 1.4263, lateral-3: 1.4384, lateral-4: 1.4789, lateral-5: 1.5301]
2025-10-23 17:22:17.802157 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7486, lateral-2: 1.4078, lateral-3: 1.4061, lateral-4: 1.4558, lateral-5: 1.5225]
2025-10-23 17:22:19.514397 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7455, lateral-2: 1.3815, lateral-3: 1.3855, lateral-4: 1.4411, lateral-5: 1.5190]
2025-10-23 17:22:21.241603 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7427, lateral-2: 1.3544, lateral-3: 1.3656, lateral-4: 1.4194, lateral-5: 1.5141]
2025-10-23 17:22:22.957953 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7401, lateral-2: 1.3269, lateral-3: 1.3407, lateral-4: 1.3978, lateral-5: 1.5037]
2025-10-23 17:22:24.688222 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7378, lateral-2: 1.2952, lateral-3: 1.3071, lateral-4: 1.3718, lateral-5: 1.4780]
2025-10-23 17:22:26.420649 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7357, lateral-2: 1.2429, lateral-3: 1.2643, lateral-4: 1.3384, lateral-5: 1.4395]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_1/Inf-Net-10.pth
2025-10-23 17:22:28.497872 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7336, lateral-2: 1.1733, lateral-3: 1.2046, lateral-4: 1.2831, lateral-5: 1.4191]
2025-10-23 17:22:30.208003 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7320, lateral-2: 1.0836, lateral-3: 1.1202, lateral-4: 1.2069, lateral-5: 1.4344]
2025-10-23 17:22:31.931657 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7304, lateral-2: 1.0287, lateral-3: 1.0806, lateral-4: 1.1909, lateral-5: 1.4984]
2025-10-23 17:22:33.663782 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7289, lateral-2: 0.9683, lateral-3: 1.0193, lateral-4: 1.1082, lateral-5: 1.5333]
2025-10-23 17:22:35.375846 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7277, lateral-2: 0.9129, lateral-3: 0.9680, lateral-4: 1.0693, lateral-5: 1.5515]
2025-10-23 17:22:37.088348 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7264, lateral-2: 0.8884, lateral-3: 0.9467, lateral-4: 1.0389, lateral-5: 1.5528]
2025-10-23 17:22:38.814191 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7253, lateral-2: 0.8541, lateral-3: 0.9157, lateral-4: 1.0189, lateral-5: 1.5288]
2025-10-23 17:22:40.534662 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7242, lateral-2: 0.8332, lateral-3: 0.9000, lateral-4: 1.0018, lateral-5: 1.5168]
2025-10-23 17:22:42.270367 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7231, lateral-2: 0.8132, lateral-3: 0.8804, lateral-4: 0.9850, lateral-5: 1.5023]
2025-10-23 17:22:43.989221 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7221, lateral-2: 0.7896, lateral-3: 0.8630, lateral-4: 0.9678, lateral-5: 1.4831]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_1/Inf-Net-20.pth
2025-10-23 17:22:45.852729 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7211, lateral-2: 0.7615, lateral-3: 0.8347, lateral-4: 0.9425, lateral-5: 1.4588]
2025-10-23 17:22:47.565172 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7201, lateral-2: 0.7371, lateral-3: 0.8149, lateral-4: 0.9246, lateral-5: 1.4423]
2025-10-23 17:22:49.305900 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7191, lateral-2: 0.7222, lateral-3: 0.8014, lateral-4: 0.9135, lateral-5: 1.4090]
2025-10-23 17:22:51.023108 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7181, lateral-2: 0.7046, lateral-3: 0.7859, lateral-4: 0.8998, lateral-5: 1.3933]
2025-10-23 17:22:52.770202 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7172, lateral-2: 0.6934, lateral-3: 0.7777, lateral-4: 0.8927, lateral-5: 1.3679]
2025-10-23 17:22:54.477437 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7162, lateral-2: 0.6778, lateral-3: 0.7620, lateral-4: 0.8772, lateral-5: 1.3495]
2025-10-23 17:22:56.185550 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7153, lateral-2: 0.6680, lateral-3: 0.7555, lateral-4: 0.8718, lateral-5: 1.3244]
2025-10-23 17:22:57.910021 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7144, lateral-2: 0.6527, lateral-3: 0.7409, lateral-4: 0.8581, lateral-5: 1.2997]
2025-10-23 17:22:59.634416 Epoch [028/100], Step [0001/0001], [lateral-edge: 0.7135, lateral-2: 0.6485, lateral-3: 0.7397, lateral-4: 0.8573, lateral-5: 1.2885]
2025-10-23 17:23:01.374156 Epoch [029/100], Step [0001/0001], [lateral-edge: 0.7126, lateral-2: 0.6419, lateral-3: 0.7332, lateral-4: 0.8562, lateral-5: 1.2687]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_1/Inf-Net-30.pth
2025-10-23 17:23:03.299051 Epoch [030/100], Step [0001/0001], [lateral-edge: 0.7118, lateral-2: 0.6356, lateral-3: 0.7276, lateral-4: 0.8488, lateral-5: 1.2553]
2025-10-23 17:23:05.016006 Epoch [031/100], Step [0001/0001], [lateral-edge: 0.7110, lateral-2: 0.6289, lateral-3: 0.7243, lateral-4: 0.8477, lateral-5: 1.2405]
2025-10-23 17:23:06.725147 Epoch [032/100], Step [0001/0001], [lateral-edge: 0.7102, lateral-2: 0.6175, lateral-3: 0.7121, lateral-4: 0.8401, lateral-5: 1.2322]
2025-10-23 17:23:08.462707 Epoch [033/100], Step [0001/0001], [lateral-edge: 0.7095, lateral-2: 0.6140, lateral-3: 0.7143, lateral-4: 0.8422, lateral-5: 1.2074]
2025-10-23 17:23:10.188043 Epoch [034/100], Step [0001/0001], [lateral-edge: 0.7088, lateral-2: 0.6093, lateral-3: 0.7042, lateral-4: 0.8330, lateral-5: 1.2004]
2025-10-23 17:23:11.907919 Epoch [035/100], Step [0001/0001], [lateral-edge: 0.7081, lateral-2: 0.6035, lateral-3: 0.7050, lateral-4: 0.8324, lateral-5: 1.1758]
2025-10-23 17:23:13.615476 Epoch [036/100], Step [0001/0001], [lateral-edge: 0.7075, lateral-2: 0.5907, lateral-3: 0.6911, lateral-4: 0.8251, lateral-5: 1.1698]
