Backbone loading: Res2Net50
Not loading weights from weights file
[INFO] Register count_convNd() for <class 'torch.nn.modules.conv.Conv2d'>.
[INFO] Register count_normalization() for <class 'torch.nn.modules.batchnorm.BatchNorm2d'>.
[INFO] Register zero_ops() for <class 'torch.nn.modules.activation.ReLU'>.
[INFO] Register zero_ops() for <class 'torch.nn.modules.container.Sequential'>.
[INFO] Register zero_ops() for <class 'torch.nn.modules.pooling.MaxPool2d'>.
[INFO] Register count_avgpool() for <class 'torch.nn.modules.pooling.AvgPool2d'>.
[INFO] Register count_adap_avgpool() for <class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>.
[INFO] Register count_linear() for <class 'torch.nn.modules.linear.Linear'>.
[INFO] Register count_upsample() for <class 'torch.nn.modules.upsampling.Upsample'>.
#################### 
[Statistics Information]
FLOPs: 13.997G
Params: 31.073M
 ####################
#################### 
Start Training (Inf-Net-Res2Net50)
Namespace(backbone='Res2Net50', batchsize=24, clip=0.5, decay_epoch=50, decay_rate=0.1, epoch=100, gpu_device=0, is_pseudo=False, is_semi=False, is_thop=True, lr=0.0001, n_classes=1, net_channel=32, num_workers=8, run=1, train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', train_save=None, trainsize=352)
This code is written for 'Inf-Net: Automatic COVID-19 Lung Infection Segmentation from CT Scans', 2020, TMI.
----
Please cite the paper if you use this code and dataset. And any questions feel free to contact me via E-mail (gepengai.ji@gmail.com)
----
 ####################
2025-10-12 09:49:06.611016 Epoch [001/100], Step [0003/0003], [lateral-edge: 0.7575, lateral-2: 1.4698, lateral-3: 1.4617, lateral-4: 1.4753, lateral-5: 1.5334]
2025-10-12 09:49:09.423912 Epoch [002/100], Step [0003/0003], [lateral-edge: 0.7468, lateral-2: 1.2513, lateral-3: 1.2721, lateral-4: 1.3387, lateral-5: 1.4338]
2025-10-12 09:49:12.193824 Epoch [003/100], Step [0003/0003], [lateral-edge: 0.7410, lateral-2: 1.1478, lateral-3: 1.1775, lateral-4: 1.2374, lateral-5: 1.4609]
2025-10-12 09:49:14.987641 Epoch [004/100], Step [0003/0003], [lateral-edge: 0.7389, lateral-2: 1.0010, lateral-3: 1.0409, lateral-4: 1.1203, lateral-5: 1.5743]
2025-10-12 09:49:17.763912 Epoch [005/100], Step [0003/0003], [lateral-edge: 0.7339, lateral-2: 0.8167, lateral-3: 0.8804, lateral-4: 0.9800, lateral-5: 1.4991]
2025-10-12 09:49:20.496042 Epoch [006/100], Step [0003/0003], [lateral-edge: 0.7320, lateral-2: 0.7849, lateral-3: 0.8543, lateral-4: 0.9416, lateral-5: 1.3615]
2025-10-12 09:49:23.278634 Epoch [007/100], Step [0003/0003], [lateral-edge: 0.7291, lateral-2: 0.7977, lateral-3: 0.8502, lateral-4: 0.9510, lateral-5: 1.2919]
2025-10-12 09:49:26.031990 Epoch [008/100], Step [0003/0003], [lateral-edge: 0.7268, lateral-2: 0.8402, lateral-3: 0.8915, lateral-4: 0.9812, lateral-5: 1.3208]
2025-10-12 09:49:28.832526 Epoch [009/100], Step [0003/0003], [lateral-edge: 0.7274, lateral-2: 0.8117, lateral-3: 0.8697, lateral-4: 0.9630, lateral-5: 1.3979]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/1/Inf-Net-10.pth
2025-10-12 09:49:31.785458 Epoch [010/100], Step [0003/0003], [lateral-edge: 0.7245, lateral-2: 0.6494, lateral-3: 0.7240, lateral-4: 0.8406, lateral-5: 1.2609]
2025-10-12 09:49:34.529243 Epoch [011/100], Step [0003/0003], [lateral-edge: 0.7235, lateral-2: 0.8002, lateral-3: 0.8828, lateral-4: 0.9829, lateral-5: 1.2529]
2025-10-12 09:49:37.314314 Epoch [012/100], Step [0003/0003], [lateral-edge: 0.7188, lateral-2: 0.7384, lateral-3: 0.8127, lateral-4: 0.9312, lateral-5: 1.3098]
2025-10-12 09:49:40.099666 Epoch [013/100], Step [0003/0003], [lateral-edge: 0.7192, lateral-2: 0.7164, lateral-3: 0.7841, lateral-4: 0.8779, lateral-5: 1.0891]
2025-10-12 09:49:42.866810 Epoch [014/100], Step [0003/0003], [lateral-edge: 0.7194, lateral-2: 0.7825, lateral-3: 0.8583, lateral-4: 0.9752, lateral-5: 1.4659]
2025-10-12 09:49:45.658242 Epoch [015/100], Step [0003/0003], [lateral-edge: 0.7176, lateral-2: 0.7146, lateral-3: 0.7638, lateral-4: 0.8709, lateral-5: 1.4348]
2025-10-12 09:49:48.410216 Epoch [016/100], Step [0003/0003], [lateral-edge: 0.7145, lateral-2: 0.6801, lateral-3: 0.7529, lateral-4: 0.8410, lateral-5: 1.2152]
2025-10-12 09:49:51.194255 Epoch [017/100], Step [0003/0003], [lateral-edge: 0.7148, lateral-2: 0.6633, lateral-3: 0.7512, lateral-4: 0.8631, lateral-5: 1.3653]
2025-10-12 09:49:53.925906 Epoch [018/100], Step [0003/0003], [lateral-edge: 0.7133, lateral-2: 0.5870, lateral-3: 0.6603, lateral-4: 0.7771, lateral-5: 1.0707]
2025-10-12 09:49:56.667707 Epoch [019/100], Step [0003/0003], [lateral-edge: 0.7129, lateral-2: 0.7635, lateral-3: 0.8273, lateral-4: 0.9010, lateral-5: 1.2121]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/1/Inf-Net-20.pth
2025-10-12 09:49:59.581410 Epoch [020/100], Step [0003/0003], [lateral-edge: 0.7091, lateral-2: 0.5919, lateral-3: 0.6911, lateral-4: 0.8290, lateral-5: 1.2052]
2025-10-12 09:50:02.348961 Epoch [021/100], Step [0003/0003], [lateral-edge: 0.7083, lateral-2: 0.5750, lateral-3: 0.6566, lateral-4: 0.7603, lateral-5: 1.0929]
2025-10-12 09:50:05.079031 Epoch [022/100], Step [0003/0003], [lateral-edge: 0.7087, lateral-2: 0.6530, lateral-3: 0.7236, lateral-4: 0.8120, lateral-5: 1.2521]
2025-10-12 09:50:07.818780 Epoch [023/100], Step [0003/0003], [lateral-edge: 0.7070, lateral-2: 0.5719, lateral-3: 0.6535, lateral-4: 0.7752, lateral-5: 1.2345]
2025-10-12 09:50:10.614638 Epoch [024/100], Step [0003/0003], [lateral-edge: 0.7060, lateral-2: 0.5944, lateral-3: 0.6935, lateral-4: 0.8045, lateral-5: 1.0163]
2025-10-12 09:50:13.354819 Epoch [025/100], Step [0003/0003], [lateral-edge: 0.7045, lateral-2: 0.5158, lateral-3: 0.6085, lateral-4: 0.7313, lateral-5: 1.0152]
2025-10-12 09:50:16.121324 Epoch [026/100], Step [0003/0003], [lateral-edge: 0.7021, lateral-2: 0.6084, lateral-3: 0.7123, lateral-4: 0.8290, lateral-5: 1.0658]
2025-10-12 09:50:18.905407 Epoch [027/100], Step [0003/0003], [lateral-edge: 0.7015, lateral-2: 0.5220, lateral-3: 0.6066, lateral-4: 0.7302, lateral-5: 1.0528]
2025-10-12 09:50:21.639875 Epoch [028/100], Step [0003/0003], [lateral-edge: 0.7022, lateral-2: 0.5956, lateral-3: 0.6726, lateral-4: 0.7631, lateral-5: 1.0753]
2025-10-12 09:50:24.431039 Epoch [029/100], Step [0003/0003], [lateral-edge: 0.7008, lateral-2: 0.5000, lateral-3: 0.6136, lateral-4: 0.7613, lateral-5: 1.0908]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/1/Inf-Net-30.pth
2025-10-12 09:50:27.395931 Epoch [030/100], Step [0003/0003], [lateral-edge: 0.6987, lateral-2: 0.5592, lateral-3: 0.6618, lateral-4: 0.7765, lateral-5: 1.0141]
2025-10-12 09:50:30.210090 Epoch [031/100], Step [0003/0003], [lateral-edge: 0.6986, lateral-2: 0.5348, lateral-3: 0.6278, lateral-4: 0.7531, lateral-5: 1.1339]
2025-10-12 09:50:32.970258 Epoch [032/100], Step [0003/0003], [lateral-edge: 0.6981, lateral-2: 0.5185, lateral-3: 0.6233, lateral-4: 0.7528, lateral-5: 1.0082]
2025-10-12 09:50:35.733441 Epoch [033/100], Step [0003/0003], [lateral-edge: 0.6975, lateral-2: 0.5189, lateral-3: 0.6090, lateral-4: 0.7185, lateral-5: 1.3304]
2025-10-12 09:50:38.541133 Epoch [034/100], Step [0003/0003], [lateral-edge: 0.6961, lateral-2: 0.4965, lateral-3: 0.6013, lateral-4: 0.7380, lateral-5: 0.9663]
2025-10-12 09:50:41.293661 Epoch [035/100], Step [0003/0003], [lateral-edge: 0.6939, lateral-2: 0.5586, lateral-3: 0.6659, lateral-4: 0.7840, lateral-5: 0.9437]
2025-10-12 09:50:44.052208 Epoch [036/100], Step [0003/0003], [lateral-edge: 0.6953, lateral-2: 0.4958, lateral-3: 0.6062, lateral-4: 0.7335, lateral-5: 1.2148]
2025-10-12 09:50:46.825220 Epoch [037/100], Step [0003/0003], [lateral-edge: 0.6945, lateral-2: 0.5684, lateral-3: 0.6581, lateral-4: 0.7830, lateral-5: 1.1783]
2025-10-12 09:50:49.568889 Epoch [038/100], Step [0003/0003], [lateral-edge: 0.6934, lateral-2: 0.4602, lateral-3: 0.5724, lateral-4: 0.7125, lateral-5: 0.9756]
