Backbone loading: Res2Net50
Not loading weights from weights file
[INFO] Register count_convNd() for <class 'torch.nn.modules.conv.Conv2d'>.
[INFO] Register count_normalization() for <class 'torch.nn.modules.batchnorm.BatchNorm2d'>.
[INFO] Register zero_ops() for <class 'torch.nn.modules.activation.ReLU'>.
[INFO] Register zero_ops() for <class 'torch.nn.modules.container.Sequential'>.
[INFO] Register zero_ops() for <class 'torch.nn.modules.pooling.MaxPool2d'>.
[INFO] Register count_avgpool() for <class 'torch.nn.modules.pooling.AvgPool2d'>.
[INFO] Register count_adap_avgpool() for <class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>.
[INFO] Register count_linear() for <class 'torch.nn.modules.linear.Linear'>.
[INFO] Register count_upsample() for <class 'torch.nn.modules.upsampling.Upsample'>.
#################### 
[Statistics Information]
FLOPs: 13.997G
Params: 31.073M
 ####################
#################### 
Start Training (Inf-Net-Res2Net50)
Namespace(epoch=100, lr=0.0001, batchsize=24, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=True, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=5, enable_privacy=False, noise_multiplier=1.1, max_grad_norm=1.0, target_epsilon=10.0, target_delta=1e-05)
This code is written for 'Inf-Net: Automatic COVID-19 Lung Infection Segmentation from CT Scans', 2020, TMI.
----
Please cite the paper if you use this code and dataset. And any questions feel free to contact me via E-mail (gepengai.ji@gmail.com)
----
 ####################
2025-10-12 14:07:49.896322 Epoch [001/100], Step [0003/0003], [lateral-edge: 0.7608, lateral-2: 1.3616, lateral-3: 1.3849, lateral-4: 1.4437, lateral-5: 1.4545]
2025-10-12 14:07:51.493290 Epoch [002/100], Step [0003/0003], [lateral-edge: 0.7448, lateral-2: 1.2375, lateral-3: 1.2487, lateral-4: 1.3254, lateral-5: 1.3751]
2025-10-12 14:07:53.107395 Epoch [003/100], Step [0003/0003], [lateral-edge: 0.7432, lateral-2: 1.1071, lateral-3: 1.1425, lateral-4: 1.2138, lateral-5: 1.3604]
2025-10-12 14:07:54.730482 Epoch [004/100], Step [0003/0003], [lateral-edge: 0.7361, lateral-2: 1.0148, lateral-3: 1.0528, lateral-4: 1.1394, lateral-5: 1.3905]
2025-10-12 14:07:56.323995 Epoch [005/100], Step [0003/0003], [lateral-edge: 0.7357, lateral-2: 0.9936, lateral-3: 1.0155, lateral-4: 1.0746, lateral-5: 1.5226]
2025-10-12 14:07:57.932625 Epoch [006/100], Step [0003/0003], [lateral-edge: 0.7318, lateral-2: 0.8620, lateral-3: 0.9109, lateral-4: 1.0044, lateral-5: 1.4284]
2025-10-12 14:07:59.566127 Epoch [007/100], Step [0003/0003], [lateral-edge: 0.7274, lateral-2: 0.8068, lateral-3: 0.8668, lateral-4: 0.9684, lateral-5: 1.3549]
2025-10-12 14:08:01.190268 Epoch [008/100], Step [0003/0003], [lateral-edge: 0.7276, lateral-2: 0.7684, lateral-3: 0.8364, lateral-4: 0.9327, lateral-5: 1.2643]
2025-10-12 14:08:02.801517 Epoch [009/100], Step [0003/0003], [lateral-edge: 0.7243, lateral-2: 0.7438, lateral-3: 0.8156, lateral-4: 0.9179, lateral-5: 1.2178]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/5/Inf-Net-10.pth
2025-10-12 14:08:04.682847 Epoch [010/100], Step [0003/0003], [lateral-edge: 0.7244, lateral-2: 0.7965, lateral-3: 0.8529, lateral-4: 0.9333, lateral-5: 1.3561]
2025-10-12 14:08:06.301093 Epoch [011/100], Step [0003/0003], [lateral-edge: 0.7214, lateral-2: 0.7369, lateral-3: 0.7997, lateral-4: 0.9137, lateral-5: 1.3147]
2025-10-12 14:08:07.886725 Epoch [012/100], Step [0003/0003], [lateral-edge: 0.7209, lateral-2: 0.6812, lateral-3: 0.7660, lateral-4: 0.8763, lateral-5: 1.1326]
2025-10-12 14:08:09.526550 Epoch [013/100], Step [0003/0003], [lateral-edge: 0.7170, lateral-2: 0.6582, lateral-3: 0.7433, lateral-4: 0.8467, lateral-5: 1.1541]
2025-10-12 14:08:11.128576 Epoch [014/100], Step [0003/0003], [lateral-edge: 0.7179, lateral-2: 0.6205, lateral-3: 0.7059, lateral-4: 0.8126, lateral-5: 1.1697]
2025-10-12 14:08:12.742711 Epoch [015/100], Step [0003/0003], [lateral-edge: 0.7157, lateral-2: 0.6310, lateral-3: 0.7097, lateral-4: 0.8125, lateral-5: 1.0436]
2025-10-12 14:08:14.364443 Epoch [016/100], Step [0003/0003], [lateral-edge: 0.7152, lateral-2: 0.6500, lateral-3: 0.7203, lateral-4: 0.8145, lateral-5: 1.2538]
2025-10-12 14:08:15.986204 Epoch [017/100], Step [0003/0003], [lateral-edge: 0.7137, lateral-2: 0.6239, lateral-3: 0.7053, lateral-4: 0.8256, lateral-5: 1.1245]
2025-10-12 14:08:17.587450 Epoch [018/100], Step [0003/0003], [lateral-edge: 0.7108, lateral-2: 0.6445, lateral-3: 0.7166, lateral-4: 0.8288, lateral-5: 1.0397]
2025-10-12 14:08:19.210043 Epoch [019/100], Step [0003/0003], [lateral-edge: 0.7099, lateral-2: 0.6729, lateral-3: 0.7697, lateral-4: 0.8793, lateral-5: 0.9347]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/5/Inf-Net-20.pth
2025-10-12 14:08:21.010674 Epoch [020/100], Step [0003/0003], [lateral-edge: 0.7105, lateral-2: 0.6220, lateral-3: 0.6982, lateral-4: 0.8106, lateral-5: 0.8981]
2025-10-12 14:08:22.616437 Epoch [021/100], Step [0003/0003], [lateral-edge: 0.7083, lateral-2: 0.7119, lateral-3: 0.7684, lateral-4: 0.8557, lateral-5: 0.9413]
