Backbone loading: Res2Net50
Not loading weights from weights file
#################### 
Start Training (Inf-Net-Res2Net50)
Namespace(epoch=100, lr=0.0001, batchsize=24, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=6)
This code is written for 'Inf-Net: Automatic COVID-19 Lung Infection Segmentation from CT Scans', 2020, TMI.
----
Please cite the paper if you use this code and dataset. And any questions feel free to contact me via E-mail (gepengai.ji@gmail.com)
----
 ####################
2025-10-12 15:03:47.950900 Epoch [001/100], Step [0003/0003], [lateral-edge: 0.7541, lateral-2: 1.5502, lateral-3: 1.5742, lateral-4: 1.5718, lateral-5: 1.5665]
2025-10-12 15:03:49.518049 Epoch [002/100], Step [0003/0003], [lateral-edge: 0.7449, lateral-2: 1.3439, lateral-3: 1.3745, lateral-4: 1.4091, lateral-5: 1.5096]
2025-10-12 15:03:51.113039 Epoch [003/100], Step [0003/0003], [lateral-edge: 0.7402, lateral-2: 1.1611, lateral-3: 1.2141, lateral-4: 1.2958, lateral-5: 1.5056]
2025-10-12 15:03:52.703695 Epoch [004/100], Step [0003/0003], [lateral-edge: 0.7356, lateral-2: 1.0630, lateral-3: 1.1259, lateral-4: 1.2118, lateral-5: 1.5604]
2025-10-12 15:03:54.290851 Epoch [005/100], Step [0003/0003], [lateral-edge: 0.7336, lateral-2: 0.9577, lateral-3: 1.0328, lateral-4: 1.1471, lateral-5: 1.5823]
2025-10-12 15:03:55.866854 Epoch [006/100], Step [0003/0003], [lateral-edge: 0.7294, lateral-2: 0.9349, lateral-3: 1.0373, lateral-4: 1.1800, lateral-5: 1.6210]
2025-10-12 15:03:57.455515 Epoch [007/100], Step [0003/0003], [lateral-edge: 0.7262, lateral-2: 0.8742, lateral-3: 0.9636, lateral-4: 1.0965, lateral-5: 1.5623]
2025-10-12 15:03:59.072303 Epoch [008/100], Step [0003/0003], [lateral-edge: 0.7280, lateral-2: 0.8321, lateral-3: 0.9063, lateral-4: 1.0416, lateral-5: 1.4911]
2025-10-12 15:04:00.674465 Epoch [009/100], Step [0003/0003], [lateral-edge: 0.7260, lateral-2: 0.9016, lateral-3: 0.9651, lateral-4: 1.0811, lateral-5: 1.5921]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/6/Inf-Net-10.pth
2025-10-12 15:04:02.554425 Epoch [010/100], Step [0003/0003], [lateral-edge: 0.7222, lateral-2: 0.8181, lateral-3: 0.9169, lateral-4: 1.0748, lateral-5: 1.4858]
2025-10-12 15:04:04.166663 Epoch [011/100], Step [0003/0003], [lateral-edge: 0.7224, lateral-2: 0.8892, lateral-3: 0.9610, lateral-4: 1.0758, lateral-5: 1.3648]
2025-10-12 15:04:05.744382 Epoch [012/100], Step [0003/0003], [lateral-edge: 0.7207, lateral-2: 0.8018, lateral-3: 0.8872, lateral-4: 1.0209, lateral-5: 1.5240]
2025-10-12 15:04:07.351773 Epoch [013/100], Step [0003/0003], [lateral-edge: 0.7184, lateral-2: 0.7332, lateral-3: 0.8053, lateral-4: 0.9467, lateral-5: 1.4149]
2025-10-12 15:04:08.930326 Epoch [014/100], Step [0003/0003], [lateral-edge: 0.7145, lateral-2: 0.8244, lateral-3: 0.9198, lateral-4: 1.0458, lateral-5: 1.3229]
2025-10-12 15:04:10.519208 Epoch [015/100], Step [0003/0003], [lateral-edge: 0.7153, lateral-2: 0.7789, lateral-3: 0.8772, lateral-4: 1.0260, lateral-5: 1.3346]
2025-10-12 15:04:12.102936 Epoch [016/100], Step [0003/0003], [lateral-edge: 0.7122, lateral-2: 0.7107, lateral-3: 0.8272, lateral-4: 0.9866, lateral-5: 1.3396]
