Backbone loading: Res2Net50
Loaded pretrained weights (Conv layers only, GroupNorm initialized randomly)
Not loading weights from weights file
#################### 
Start Training (Inf-Net-Res2Net50)
Namespace(epoch=100, lr=0.0001, batchsize=24, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=6)
This code is written for 'Inf-Net: Automatic COVID-19 Lung Infection Segmentation from CT Scans', 2020, TMI.
----
Please cite the paper if you use this code and dataset. And any questions feel free to contact me via E-mail (gepengai.ji@gmail.com)
----
 ####################
2025-10-16 18:24:26.963990 Epoch [001/100], Step [0003/0003], [lateral-edge: 0.7611, lateral-2: 1.4078, lateral-3: 1.4178, lateral-4: 1.4359, lateral-5: 1.4417]
2025-10-16 18:24:28.529709 Epoch [002/100], Step [0003/0003], [lateral-edge: 0.7460, lateral-2: 1.1689, lateral-3: 1.2374, lateral-4: 1.3022, lateral-5: 1.3042]
2025-10-16 18:24:30.056288 Epoch [003/100], Step [0003/0003], [lateral-edge: 0.7423, lateral-2: 1.0002, lateral-3: 1.0742, lateral-4: 1.1764, lateral-5: 1.1724]
2025-10-16 18:24:31.596750 Epoch [004/100], Step [0003/0003], [lateral-edge: 0.7368, lateral-2: 0.8963, lateral-3: 0.9787, lateral-4: 1.0888, lateral-5: 1.0594]
2025-10-16 18:24:33.275804 Epoch [005/100], Step [0003/0003], [lateral-edge: 0.7367, lateral-2: 0.9386, lateral-3: 1.0019, lateral-4: 1.1004, lateral-5: 1.0846]
2025-10-16 18:24:34.822523 Epoch [006/100], Step [0003/0003], [lateral-edge: 0.7330, lateral-2: 1.0008, lateral-3: 1.0710, lateral-4: 1.1586, lateral-5: 1.1100]
2025-10-16 18:24:36.418990 Epoch [007/100], Step [0003/0003], [lateral-edge: 0.7296, lateral-2: 0.8728, lateral-3: 0.9679, lateral-4: 1.1196, lateral-5: 1.0358]
2025-10-16 18:24:37.997641 Epoch [008/100], Step [0003/0003], [lateral-edge: 0.7249, lateral-2: 0.8669, lateral-3: 0.9517, lateral-4: 1.0669, lateral-5: 1.0117]
2025-10-16 18:24:39.570581 Epoch [009/100], Step [0003/0003], [lateral-edge: 0.7260, lateral-2: 0.8231, lateral-3: 0.8923, lateral-4: 1.0126, lateral-5: 0.9358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Non-DP/6/Non-DPInf-Net-10.pth
2025-10-16 18:24:41.446117 Epoch [010/100], Step [0003/0003], [lateral-edge: 0.7218, lateral-2: 0.8173, lateral-3: 0.8965, lateral-4: 1.0233, lateral-5: 0.9602]
2025-10-16 18:24:43.017777 Epoch [011/100], Step [0003/0003], [lateral-edge: 0.7221, lateral-2: 0.7527, lateral-3: 0.8479, lateral-4: 0.9822, lateral-5: 0.8944]
2025-10-16 18:24:44.580081 Epoch [012/100], Step [0003/0003], [lateral-edge: 0.7199, lateral-2: 0.7215, lateral-3: 0.7934, lateral-4: 0.9082, lateral-5: 0.8140]
2025-10-16 18:24:46.139607 Epoch [013/100], Step [0003/0003], [lateral-edge: 0.7174, lateral-2: 0.6829, lateral-3: 0.7800, lateral-4: 0.9366, lateral-5: 0.8160]
2025-10-16 18:24:47.715869 Epoch [014/100], Step [0003/0003], [lateral-edge: 0.7151, lateral-2: 0.6864, lateral-3: 0.7869, lateral-4: 0.9277, lateral-5: 0.8095]
2025-10-16 18:24:49.303368 Epoch [015/100], Step [0003/0003], [lateral-edge: 0.7140, lateral-2: 0.6597, lateral-3: 0.7491, lateral-4: 0.8776, lateral-5: 0.7528]
2025-10-16 18:24:50.872690 Epoch [016/100], Step [0003/0003], [lateral-edge: 0.7116, lateral-2: 0.6481, lateral-3: 0.7623, lateral-4: 0.9150, lateral-5: 0.7608]
2025-10-16 18:24:52.446736 Epoch [017/100], Step [0003/0003], [lateral-edge: 0.7107, lateral-2: 0.6246, lateral-3: 0.7376, lateral-4: 0.8903, lateral-5: 0.7283]
2025-10-16 18:24:53.996693 Epoch [018/100], Step [0003/0003], [lateral-edge: 0.7091, lateral-2: 0.5925, lateral-3: 0.6982, lateral-4: 0.8435, lateral-5: 0.6880]
2025-10-16 18:24:55.565476 Epoch [019/100], Step [0003/0003], [lateral-edge: 0.7072, lateral-2: 0.6008, lateral-3: 0.7033, lateral-4: 0.8505, lateral-5: 0.6895]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Non-DP/6/Non-DPInf-Net-20.pth
2025-10-16 18:24:57.501657 Epoch [020/100], Step [0003/0003], [lateral-edge: 0.7059, lateral-2: 0.5413, lateral-3: 0.6543, lateral-4: 0.8172, lateral-5: 0.6212]
2025-10-16 18:24:59.064043 Epoch [021/100], Step [0003/0003], [lateral-edge: 0.7036, lateral-2: 0.5568, lateral-3: 0.6751, lateral-4: 0.8477, lateral-5: 0.6396]
2025-10-16 18:25:00.608796 Epoch [022/100], Step [0003/0003], [lateral-edge: 0.7011, lateral-2: 0.5970, lateral-3: 0.7159, lateral-4: 0.8735, lateral-5: 0.6838]
2025-10-16 18:25:02.161757 Epoch [023/100], Step [0003/0003], [lateral-edge: 0.7025, lateral-2: 0.5344, lateral-3: 0.6399, lateral-4: 0.8106, lateral-5: 0.6147]
2025-10-16 18:25:03.779246 Epoch [024/100], Step [0003/0003], [lateral-edge: 0.7011, lateral-2: 0.5184, lateral-3: 0.6425, lateral-4: 0.8027, lateral-5: 0.5977]
2025-10-16 18:25:05.336988 Epoch [025/100], Step [0003/0003], [lateral-edge: 0.6997, lateral-2: 0.5369, lateral-3: 0.6747, lateral-4: 0.8501, lateral-5: 0.6071]
2025-10-16 18:25:06.937353 Epoch [026/100], Step [0003/0003], [lateral-edge: 0.6986, lateral-2: 0.5060, lateral-3: 0.6310, lateral-4: 0.7990, lateral-5: 0.5674]
2025-10-16 18:25:08.501083 Epoch [027/100], Step [0003/0003], [lateral-edge: 0.6981, lateral-2: 0.5098, lateral-3: 0.6315, lateral-4: 0.7966, lateral-5: 0.5704]
2025-10-16 18:25:10.035951 Epoch [028/100], Step [0003/0003], [lateral-edge: 0.6974, lateral-2: 0.4844, lateral-3: 0.6080, lateral-4: 0.7848, lateral-5: 0.5621]
2025-10-16 18:25:11.596149 Epoch [029/100], Step [0003/0003], [lateral-edge: 0.6961, lateral-2: 0.5151, lateral-3: 0.6380, lateral-4: 0.8123, lateral-5: 0.5782]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Non-DP/6/Non-DPInf-Net-30.pth
2025-10-16 18:25:13.485564 Epoch [030/100], Step [0003/0003], [lateral-edge: 0.6963, lateral-2: 0.4495, lateral-3: 0.5749, lateral-4: 0.7716, lateral-5: 0.5205]
2025-10-16 18:25:15.059923 Epoch [031/100], Step [0003/0003], [lateral-edge: 0.6950, lateral-2: 0.4822, lateral-3: 0.6229, lateral-4: 0.8005, lateral-5: 0.5561]
2025-10-16 18:25:16.613644 Epoch [032/100], Step [0003/0003], [lateral-edge: 0.6943, lateral-2: 0.4533, lateral-3: 0.5892, lateral-4: 0.7600, lateral-5: 0.5051]
2025-10-16 18:25:18.187547 Epoch [033/100], Step [0003/0003], [lateral-edge: 0.6936, lateral-2: 0.4774, lateral-3: 0.6127, lateral-4: 0.7885, lateral-5: 0.5209]
2025-10-16 18:25:19.736118 Epoch [034/100], Step [0003/0003], [lateral-edge: 0.6930, lateral-2: 0.4554, lateral-3: 0.5913, lateral-4: 0.7586, lateral-5: 0.5046]
2025-10-16 18:25:21.316600 Epoch [035/100], Step [0003/0003], [lateral-edge: 0.6916, lateral-2: 0.4661, lateral-3: 0.6114, lateral-4: 0.8008, lateral-5: 0.5165]
2025-10-16 18:25:22.877814 Epoch [036/100], Step [0003/0003], [lateral-edge: 0.6916, lateral-2: 0.4582, lateral-3: 0.6012, lateral-4: 0.7924, lateral-5: 0.5044]
2025-10-16 18:25:24.439481 Epoch [037/100], Step [0003/0003], [lateral-edge: 0.6904, lateral-2: 0.4947, lateral-3: 0.6374, lateral-4: 0.8180, lateral-5: 0.5285]
2025-10-16 18:25:26.010668 Epoch [038/100], Step [0003/0003], [lateral-edge: 0.6899, lateral-2: 0.4549, lateral-3: 0.5932, lateral-4: 0.7696, lateral-5: 0.4846]
2025-10-16 18:25:27.558674 Epoch [039/100], Step [0003/0003], [lateral-edge: 0.6903, lateral-2: 0.4407, lateral-3: 0.6026, lateral-4: 0.7917, lateral-5: 0.4733]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Non-DP/6/Non-DPInf-Net-40.pth
2025-10-16 18:25:29.378082 Epoch [040/100], Step [0003/0003], [lateral-edge: 0.6889, lateral-2: 0.4769, lateral-3: 0.6381, lateral-4: 0.8233, lateral-5: 0.5152]
2025-10-16 18:25:30.947976 Epoch [041/100], Step [0003/0003], [lateral-edge: 0.6890, lateral-2: 0.4419, lateral-3: 0.5896, lateral-4: 0.7734, lateral-5: 0.4669]
2025-10-16 18:25:32.511995 Epoch [042/100], Step [0003/0003], [lateral-edge: 0.6892, lateral-2: 0.4095, lateral-3: 0.5383, lateral-4: 0.7326, lateral-5: 0.4647]
2025-10-16 18:25:34.073345 Epoch [043/100], Step [0003/0003], [lateral-edge: 0.6873, lateral-2: 0.4744, lateral-3: 0.6260, lateral-4: 0.8155, lateral-5: 0.4914]
2025-10-16 18:25:35.634229 Epoch [044/100], Step [0003/0003], [lateral-edge: 0.6875, lateral-2: 0.4193, lateral-3: 0.5628, lateral-4: 0.7470, lateral-5: 0.4447]
2025-10-16 18:25:37.213471 Epoch [045/100], Step [0003/0003], [lateral-edge: 0.6871, lateral-2: 0.4303, lateral-3: 0.5764, lateral-4: 0.7574, lateral-5: 0.4444]
2025-10-16 18:25:38.751315 Epoch [046/100], Step [0003/0003], [lateral-edge: 0.6864, lateral-2: 0.4502, lateral-3: 0.5921, lateral-4: 0.7749, lateral-5: 0.4669]
2025-10-16 18:25:40.310175 Epoch [047/100], Step [0003/0003], [lateral-edge: 0.6862, lateral-2: 0.4278, lateral-3: 0.5692, lateral-4: 0.7422, lateral-5: 0.4474]
2025-10-16 18:25:41.847488 Epoch [048/100], Step [0003/0003], [lateral-edge: 0.6858, lateral-2: 0.4504, lateral-3: 0.5935, lateral-4: 0.7885, lateral-5: 0.4764]
2025-10-16 18:25:43.401245 Epoch [049/100], Step [0003/0003], [lateral-edge: 0.6842, lateral-2: 0.5184, lateral-3: 0.6669, lateral-4: 0.8394, lateral-5: 0.5293]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/Non-DP/6/Non-DPInf-Net-50.pth
2025-10-16 18:25:45.225761 Epoch [050/100], Step [0003/0003], [lateral-edge: 0.6844, lateral-2: 0.5047, lateral-3: 0.6494, lateral-4: 0.8301, lateral-5: 0.5177]
