Model_Name,Dataset,DPSGD,Clipping_Strategy,Epsilon,Morphology,Operation,Kernel_Size,Learning_Rate,Batch_Size,Max_Grad_Norm,Noise_Multiplier,Stage,Training_Loss_mean,Training_Loss_std,Training_Loss_mean_std,Training_Time_Seconds_mean,Training_Time_Seconds_std,Training_Time_Seconds_mean_std,Mean_Dice_mean,Mean_Dice_std,Mean_Dice_mean_std,Max_Dice_mean,Max_Dice_std,Max_Dice_mean_std,Mean_Sensitivity_mean,Mean_Sensitivity_std,Mean_Sensitivity_mean_std,Max_Sensitivity_mean,Max_Sensitivity_std,Max_Sensitivity_mean_std,Mean_Specificity_mean,Mean_Specificity_std,Mean_Specificity_mean_std,Max_Specificity_mean,Max_Specificity_std,Max_Specificity_mean_std,S_measure_mean,S_measure_std,S_measure_mean_std,Mean_E_measure_mean,Mean_E_measure_std,Mean_E_measure_mean_std,Max_E_measure_mean,Max_E_measure_std,Max_E_measure_mean_std,MAE_mean,MAE_std,MAE_mean_std
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,both,3,0.0001,24,1.2,,training,6.683123350143433,0.14859528933352462,6.6831 ± 0.1486,309.80397379398346,60.54192804033124,309.8040 ± 60.5419,0.2315,0.019233304448274095,0.2315 ± 0.0192,0.3165,0.003959797974644662,0.3165 ± 0.0040,0.57745,0.040092954493277225,0.5775 ± 0.0401,1.0,0.0,1.0000 ± 0.0000,0.5081,0.01598061325481594,0.5081 ± 0.0160,0.9477,0.016546298679765196,0.9477 ± 0.0165,0.41385,0.009545941546018361,0.4138 ± 0.0095,0.3792,0.00466690475583121,0.3792 ± 0.0047,0.66335,0.010535891039679496,0.6633 ± 0.0105,0.44065,0.012091525958289965,0.4406 ± 0.0121
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,both,5,0.0001,24,1.2,,training,6.659073352813721,0.02650396139237869,6.6591 ± 0.0265,317.82702696323395,49.640646684512866,317.8270 ± 49.6406,0.2661,0.033092597359530414,0.2661 ± 0.0331,0.352,0.02220315292925762,0.3520 ± 0.0222,0.62115,0.04306280297426071,0.6211 ± 0.0431,1.0,0.0,1.0000 ± 0.0000,0.5346,0.022768838354206837,0.5346 ± 0.0228,0.9782,0.009050966799187833,0.9782 ± 0.0091,0.4334,0.006505382386916227,0.4334 ± 0.0065,0.3916,0.014707821048680217,0.3916 ± 0.0147,0.7014499999999999,0.020718228688765838,0.7014 ± 0.0207,0.42835,0.005444722215136405,0.4284 ± 0.0054
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,both,7,0.0001,24,1.2,,training,6.665693998336792,0.027990565033054943,6.6657 ± 0.0280,332.3410230875015,48.786294324669505,332.3410 ± 48.7863,0.241,0.0012727922061357827,0.2410 ± 0.0013,0.3214,0.005374011537017758,0.3214 ± 0.0054,0.5847,0.006081118318204267,0.5847 ± 0.0061,1.0,0.0,1.0000 ± 0.0000,0.53135,0.0033234018715767215,0.5313 ± 0.0033,0.97005,0.02156675682618968,0.9700 ± 0.0216,0.41345,0.006858935777509501,0.4134 ± 0.0069,0.38395,0.003889087296526015,0.3840 ± 0.0039,0.66195,0.019021172413918153,0.6620 ± 0.0190,0.4375,0.00735391052434007,0.4375 ± 0.0074
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,close,3,0.0001,24,1.2,,training,6.559878826141357,0.038028595649197555,6.5599 ± 0.0380,301.1107505559921,61.405307917950886,301.1108 ± 61.4053,0.26785000000000003,0.003181980515339467,0.2679 ± 0.0032,0.35285,0.007566042558696089,0.3528 ± 0.0076,0.6162000000000001,0.010748023074035516,0.6162 ± 0.0107,1.0,0.0,1.0000 ± 0.0000,0.55615,0.007000357133746834,0.5562 ± 0.0070,0.98275,0.012374368670764632,0.9828 ± 0.0124,0.44,0.0,0.4400 ± 0.0000,0.39280000000000004,0.004525483399593916,0.3928 ± 0.0045,0.6947,0.004101219330881995,0.6947 ± 0.0041,0.42115,0.0010606601717798223,0.4212 ± 0.0011
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,close,5,0.0001,24,1.2,,training,6.602131128311157,0.019037900059764877,6.6021 ± 0.0190,315.2954511642456,64.52358819221313,315.2955 ± 64.5236,0.27044999999999997,0.026233661582020888,0.2704 ± 0.0262,0.3513,0.049638896039295666,0.3513 ± 0.0496,0.62515,0.06866006845321374,0.6251 ± 0.0687,1.0,0.0,1.0000 ± 0.0000,0.53575,0.005303300858899072,0.5357 ± 0.0053,0.9711000000000001,0.03210264786586925,0.9711 ± 0.0321,0.4235,0.019233304448274095,0.4235 ± 0.0192,0.38380000000000003,0.0016970562748477233,0.3838 ± 0.0017,0.69735,0.03019345955666555,0.6974 ± 0.0302,0.4377,0.0014142135623730963,0.4377 ± 0.0014
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,close,7,0.0001,24,1.2,,training,6.6270551681518555,0.09588846363452906,6.6271 ± 0.0959,310.47425401210785,64.18571191197935,310.4743 ± 64.1857,0.2881,0.013859292911256337,0.2881 ± 0.0139,0.3745,0.029274220741123062,0.3745 ± 0.0293,0.66045,0.02199102089490164,0.6604 ± 0.0220,1.0,0.0,1.0000 ± 0.0000,0.5475,0.02460731598529181,0.5475 ± 0.0246,0.9920500000000001,0.0006363961030679012,0.9921 ± 0.0006,0.43884999999999996,0.019021172413918114,0.4388 ± 0.0190,0.3973,0.018809040379562172,0.3973 ± 0.0188,0.71435,0.005586143571373738,0.7144 ± 0.0056,0.42565,0.023405234457274698,0.4256 ± 0.0234
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,close,9,0.0001,24,1.2,,training,6.7673118114471436,0.11286892313738613,6.7673 ± 0.1129,315.4866166114807,60.40931669041438,315.4866 ± 60.4093,0.25815,0.02001112190757929,0.2581 ± 0.0200,0.33545,0.006576093065034913,0.3355 ± 0.0066,0.62565,0.009121677477306479,0.6257 ± 0.0091,1.0,0.0,1.0000 ± 0.0000,0.52535,0.02863782463805516,0.5253 ± 0.0286,0.9726,0.003959797974644701,0.9726 ± 0.0040,0.41995000000000005,0.004030508652763309,0.4200 ± 0.0040,0.3847,0.021213203435596444,0.3847 ± 0.0212,0.6671,0.014566399692442845,0.6671 ± 0.0146,0.44015000000000004,0.011101576464628789,0.4402 ± 0.0111
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,open,3,0.0001,24,1.2,,training,6.796186685562134,0.08310515589378085,6.7962 ± 0.0831,307.52328610420227,60.80433044164997,307.5233 ± 60.8043,0.24919999999999998,0.04200214280248091,0.2492 ± 0.0420,0.3254,0.04143645737753172,0.3254 ± 0.0414,0.6311,0.056144278426211815,0.6311 ± 0.0561,1.0,0.0,1.0000 ± 0.0000,0.48635000000000006,0.03019345955666559,0.4864 ± 0.0302,0.9636,0.012020815280171319,0.9636 ± 0.0120,0.39685000000000004,0.020293964620053916,0.3969 ± 0.0203,0.35745,0.016334166645409254,0.3574 ± 0.0163,0.6802,0.022768838354206837,0.6802 ± 0.0228,0.46640000000000004,0.018101933598375627,0.4664 ± 0.0181
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,open,5,0.0001,24,1.2,,training,6.649136543273926,0.03058175327950471,6.6491 ± 0.0306,315.040030002594,49.95328475750873,315.0400 ± 49.9533,0.26175,0.01774838020778233,0.2617 ± 0.0177,0.34535000000000005,0.010394469683442242,0.3454 ± 0.0104,0.618,0.028001428534987337,0.6180 ± 0.0280,1.0,0.0,1.0000 ± 0.0000,0.53425,0.004171930009000642,0.5343 ± 0.0042,0.96775,0.012940054095713808,0.9677 ± 0.0129,0.4289,0.0007071067811865482,0.4289 ± 0.0007,0.38575000000000004,0.00021213203435598016,0.3858 ± 0.0002,0.69045,0.01491995308303616,0.6905 ± 0.0149,0.43484999999999996,0.004030508652763309,0.4348 ± 0.0040
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,open,7,0.0001,24,1.2,,training,6.571637392044067,0.07972531581799523,6.5716 ± 0.0797,314.8941422700882,48.39971837250572,314.8941 ± 48.3997,0.30075,0.021425335469952386,0.3008 ± 0.0214,0.39425,0.0033234018715767605,0.3942 ± 0.0033,0.67155,0.03401183617507296,0.6715 ± 0.0340,1.0,0.0,1.0000 ± 0.0000,0.5661499999999999,0.0045961940777126025,0.5661 ± 0.0046,0.98035,0.012798632739476436,0.9804 ± 0.0128,0.45640000000000003,0.0032526911934581135,0.4564 ± 0.0033,0.41569999999999996,0.009758073580374341,0.4157 ± 0.0098,0.7082999999999999,0.011172287142747398,0.7083 ± 0.0112,0.4089,0.0015556349186103902,0.4089 ± 0.0016
