Model_Name,Dataset,DPSGD,Clipping_Strategy,Epsilon,Morphology,Operation,Kernel_Size,Learning_Rate,Batch_Size,Max_Grad_Norm,Noise_Multiplier,Stage,Training_Loss_mean,Training_Loss_std,Training_Loss_mean_std,Training_Time_Seconds_mean,Training_Time_Seconds_std,Training_Time_Seconds_mean_std,Mean_Dice_mean,Mean_Dice_std,Mean_Dice_mean_std,Max_Dice_mean,Max_Dice_std,Max_Dice_mean_std,Mean_Sensitivity_mean,Mean_Sensitivity_std,Mean_Sensitivity_mean_std,Max_Sensitivity_mean,Max_Sensitivity_std,Max_Sensitivity_mean_std,Mean_Specificity_mean,Mean_Specificity_std,Mean_Specificity_mean_std,Max_Specificity_mean,Max_Specificity_std,Max_Specificity_mean_std,S_measure_mean,S_measure_std,S_measure_mean_std,Mean_E_measure_mean,Mean_E_measure_std,Mean_E_measure_mean_std,Max_E_measure_mean,Max_E_measure_std,Max_E_measure_mean_std,MAE_mean,MAE_std,MAE_mean_std
Inf-Net_DP,LungInfection,True,automatic,8.0,False,none,0,0.0001,24,1.2,,training,6.69907808303833,0.1616935183263462,6.6991 ± 0.1617,309.6850106716156,50.61964329120537,309.6850 ± 50.6196,0.26544999999999996,0.01265721138323918,0.2654 ± 0.0127,0.35055000000000003,0.019586857838867367,0.3506 ± 0.0196,0.63635,0.006151828996322992,0.6363 ± 0.0062,1.0,0.0,1.0000 ± 0.0000,0.53805,0.030052038200428257,0.5381 ± 0.0301,0.9893000000000001,0.009050966799187833,0.9893 ± 0.0091,0.4295,0.022485995641732207,0.4295 ± 0.0225,0.3833,0.01244507934888324,0.3833 ± 0.0124,0.6808000000000001,0.013717871555019003,0.6808 ± 0.0137,0.43510000000000004,0.02333452377915605,0.4351 ± 0.0233
Inf-Net_DP,LungInfection,True,base,8.0,False,none,0,0.0001,24,1.2,,training,6.487079381942749,0.08673652836147948,6.4871 ± 0.0867,298.7265319824219,67.08633169919027,298.7265 ± 67.0863,0.25455,0.017041273426595803,0.2545 ± 0.0170,0.3517,0.011879393923933985,0.3517 ± 0.0119,0.6044,0.04285067093990477,0.6044 ± 0.0429,1.0,0.0,1.0000 ± 0.0000,0.5456000000000001,0.006505382386916227,0.5456 ± 0.0065,0.9791000000000001,0.0005656854249492542,0.9791 ± 0.0006,0.43925000000000003,0.0010606601717798223,0.4393 ± 0.0011,0.39390000000000003,0.0002828427124746271,0.3939 ± 0.0003,0.6721999999999999,0.014990663761154805,0.6722 ± 0.0150,0.42300000000000004,0.008768124086713205,0.4230 ± 0.0088
Inf-Net_DP,LungInfection,True,nsgd,8.0,False,none,0,0.0001,24,1.2,,training,6.651071071624756,0.07452844080920797,6.6511 ± 0.0745,300.02342116832733,69.37785231239229,300.0234 ± 69.3779,0.26865,0.025243712088359713,0.2686 ± 0.0252,0.3464,0.008485281374238578,0.3464 ± 0.0085,0.62635,0.0334461507501237,0.6263 ± 0.0334,1.0,0.0,1.0000 ± 0.0000,0.5430999999999999,0.00622253967444164,0.5431 ± 0.0062,0.96875,0.025667976157071674,0.9688 ± 0.0257,0.42705000000000004,0.000494974746830568,0.4271 ± 0.0005,0.39395,0.0058689862838483655,0.3940 ± 0.0059,0.6948,0.026021529547664908,0.6948 ± 0.0260,0.42855,0.0023334523779156243,0.4285 ± 0.0023
Inf-Net_DP,LungInfection,True,psac,8.0,False,none,0,0.0001,24,1.2,,training,6.722270488739014,0.03552271262413384,6.7223 ± 0.0355,302.1971982717514,63.834033887557425,302.1972 ± 63.8340,0.25245,0.0019091883092037035,0.2525 ± 0.0019,0.32915,0.007566042558696089,0.3291 ± 0.0076,0.6199,0.009050966799187753,0.6199 ± 0.0091,1.0,0.0,1.0000 ± 0.0000,0.51525,0.012515790027001926,0.5152 ± 0.0125,0.9821,0.004242640687119289,0.9821 ± 0.0042,0.4101,0.011737972567696691,0.4101 ± 0.0117,0.37155,0.0034648232278140937,0.3715 ± 0.0035,0.6901999999999999,0.01088944443027281,0.6902 ± 0.0109,0.45125,0.00799030662740797,0.4512 ± 0.0080
Inf-Net_DP,LungInfection,True,automatic,8.0,False,none,0,0.0001,24,1.5,,training,6.524728536605835,0.0659301465381975,6.5247 ± 0.0659,308.2535766363144,66.52778497257191,308.2536 ± 66.5278,0.29725,0.015909902576697336,0.2973 ± 0.0159,0.40505,0.027223611075682105,0.4051 ± 0.0272,0.66535,0.036981684656056446,0.6653 ± 0.0370,1.0,0.0,1.0000 ± 0.0000,0.5692,0.004384062043356583,0.5692 ± 0.0044,0.9956499999999999,0.0020506096654409976,0.9956 ± 0.0021,0.46235000000000004,0.01619274528917192,0.4624 ± 0.0162,0.4121,0.005232590180780464,0.4121 ± 0.0052,0.72455,0.01265721138323922,0.7246 ± 0.0127,0.40595000000000003,0.006151828996322954,0.4060 ± 0.0062
Inf-Net_DP,LungInfection,True,base,8.0,False,none,0,0.0001,24,1.5,,training,6.638139009475708,0.04776856375267112,6.6381 ± 0.0478,310.0713609457016,53.13946663929516,310.0714 ± 53.1395,0.27325,0.0072831998462214225,0.2732 ± 0.0073,0.35285,0.0010606601717798223,0.3528 ± 0.0011,0.63005,0.0033234018715767215,0.6300 ± 0.0033,1.0,0.0,1.0000 ± 0.0000,0.5438000000000001,0.007919595949289324,0.5438 ± 0.0079,0.9734499999999999,0.0320319371877506,0.9734 ± 0.0320,0.4316,0.0014142135623730963,0.4316 ± 0.0014,0.3929,0.01400071426749363,0.3929 ± 0.0140,0.68825,0.0038890872965259755,0.6883 ± 0.0039,0.42769999999999997,0.008343860018001244,0.4277 ± 0.0083
Inf-Net_DP,LungInfection,True,nsgd,8.0,False,none,0,0.0001,24,1.5,,training,6.598106384277344,0.23633120376689504,6.5981 ± 0.2363,306.93494641780853,55.485692681752575,306.9349 ± 55.4857,0.25635,0.02085965004500315,0.2564 ± 0.0209,0.33725,0.03570889244992064,0.3372 ± 0.0357,0.62115,0.02750645378815665,0.6211 ± 0.0275,1.0,0.0,1.0000 ± 0.0000,0.5405500000000001,0.005020458146424484,0.5406 ± 0.0050,0.98865,0.005303300858899072,0.9887 ± 0.0053,0.42155,0.021708178182427013,0.4215 ± 0.0217,0.3879,0.0028284271247461927,0.3879 ± 0.0028,0.67545,0.02976919548795367,0.6754 ± 0.0298,0.43485,0.011950104602052671,0.4349 ± 0.0120
Inf-Net_DP,LungInfection,True,psac,8.0,False,none,0,0.0001,24,1.5,,training,6.6621153354644775,0.029043224721463035,6.6621 ± 0.0290,302.9325598478317,65.23844139556859,302.9326 ± 65.2384,0.2306,0.007353910524340109,0.2306 ± 0.0074,0.3173,0.004384062043356622,0.3173 ± 0.0044,0.5734,0.011172287142747477,0.5734 ± 0.0112,1.0,0.0,1.0000 ± 0.0000,0.5173,0.03266833329081851,0.5173 ± 0.0327,0.98055,0.009970205614730322,0.9806 ± 0.0100,0.4141,0.006929646455628148,0.4141 ± 0.0069,0.3747,0.012869343417595162,0.3747 ± 0.0129,0.6728000000000001,0.016122034611053312,0.6728 ± 0.0161,0.44255,0.01689985207035851,0.4425 ± 0.0169
Inf-Net_DP,LungInfection,True,automatic,8.0,False,none,0,0.0001,24,2.0,,training,6.6889238357543945,0.07124368402366292,6.6889 ± 0.0712,307.4840258359909,55.388210055719966,307.4840 ± 55.3882,0.2984,0.0217788888605457,0.2984 ± 0.0218,0.37725,0.03302188668141178,0.3772 ± 0.0330,0.677,0.019091883092036802,0.6770 ± 0.0191,1.0,0.0,1.0000 ± 0.0000,0.5545500000000001,0.027647875144394023,0.5546 ± 0.0276,0.99495,0.00021213203435594088,0.9950 ± 0.0002,0.44175,0.02043538597629121,0.4417 ± 0.0204,0.40585,0.02128391411371509,0.4058 ± 0.0213,0.7107,0.006505382386916306,0.7107 ± 0.0065,0.42425,0.022132442251138935,0.4243 ± 0.0221
Inf-Net_DP,LungInfection,True,base,8.0,False,none,0,0.0001,24,2.0,,training,6.61596417427063,0.021667863406844665,6.6160 ± 0.0217,303.2889094352722,54.92024230134811,303.2889 ± 54.9202,0.27490000000000003,0.0280014285349873,0.2749 ± 0.0280,0.3578,0.026728636328851498,0.3578 ± 0.0267,0.6412,0.03507249634685282,0.6412 ± 0.0351,1.0,0.0,1.0000 ± 0.0000,0.5480499999999999,0.01958685783886733,0.5480 ± 0.0196,0.9882,0.006929646455628187,0.9882 ± 0.0069,0.43895,0.015768481220460002,0.4390 ± 0.0158,0.3977,0.019657568516986055,0.3977 ± 0.0197,0.6890000000000001,0.027011479041326045,0.6890 ± 0.0270,0.42264999999999997,0.017606958851545017,0.4226 ± 0.0176
Inf-Net_DP,LungInfection,True,nsgd,8.0,False,none,0,0.0001,24,2.0,,training,6.992896556854248,0.14985598586618248,6.9929 ± 0.1499,304.3986690044403,62.00924612606588,304.3987 ± 62.0092,0.2193,0.02050609665440988,0.2193 ± 0.0205,0.28054999999999997,0.0045961940777125634,0.2805 ± 0.0046,0.5615,0.009050966799187753,0.5615 ± 0.0091,1.0,0.0,1.0000 ± 0.0000,0.48014999999999997,0.02241528496361356,0.4801 ± 0.0224,0.93665,0.022273863607376227,0.9366 ± 0.0223,0.37285,0.0026162950903902125,0.3729 ± 0.0026,0.3582,0.015697770542341352,0.3582 ± 0.0157,0.6347,0.014707821048680217,0.6347 ± 0.0147,0.47404999999999997,0.004030508652763309,0.4740 ± 0.0040
Inf-Net_DP,LungInfection,True,psac,8.0,False,none,0,0.0001,24,2.0,,training,6.684420824050903,0.16464076314901602,6.6844 ± 0.1646,300.4394451379776,62.926889059618894,300.4394 ± 62.9269,0.2959,0.04355777772109132,0.2959 ± 0.0436,0.3753,0.053457272657702996,0.3753 ± 0.0535,0.6689,0.054730064863838794,0.6689 ± 0.0547,1.0,0.0,1.0000 ± 0.0000,0.54845,0.041931432124362206,0.5484 ± 0.0419,0.984,0.019233304448274095,0.9840 ± 0.0192,0.43715000000000004,0.03259762261269982,0.4372 ± 0.0326,0.40585,0.036557420587344486,0.4058 ± 0.0366,0.6952,0.03634528855298854,0.6952 ± 0.0363,0.4265,0.030122748878546903,0.4265 ± 0.0301
Inf-Net_DP,LungInfection,True,automatic,200.0,False,none,0,0.0001,24,1.2,,training,5.503647327423096,0.06648614776375321,5.5036 ± 0.0665,496.6302514076233,50.464219200888714,496.6303 ± 50.4642,0.43735,0.023688077169749362,0.4374 ± 0.0237,0.55525,0.025950818869546262,0.5553 ± 0.0260,0.6594,0.025597265478953028,0.6594 ± 0.0256,1.0,0.0,1.0000 ± 0.0000,0.7823,0.003959797974644701,0.7823 ± 0.0040,0.9942,0.00735391052434007,0.9942 ± 0.0074,0.5863,0.008485281374238578,0.5863 ± 0.0085,0.58775,0.010818733752154242,0.5877 ± 0.0108,0.8151999999999999,0.011737972567696731,0.8152 ± 0.0117,0.2391,0.0018384776310850174,0.2391 ± 0.0018
