Model_Name,Dataset,DPSGD,Clipping_Strategy,Epsilon,Morphology,Operation,Kernel_Size,Learning_Rate,Batch_Size,Max_Grad_Norm,Noise_Multiplier,Stage,Training_Loss_mean,Training_Loss_std,Training_Loss_mean_std,Training_Time_Seconds_mean,Training_Time_Seconds_std,Training_Time_Seconds_mean_std,Mean_Dice_mean,Mean_Dice_std,Mean_Dice_mean_std,Max_Dice_mean,Max_Dice_std,Max_Dice_mean_std,Mean_Sensitivity_mean,Mean_Sensitivity_std,Mean_Sensitivity_mean_std,Max_Sensitivity_mean,Max_Sensitivity_std,Max_Sensitivity_mean_std,Mean_Specificity_mean,Mean_Specificity_std,Mean_Specificity_mean_std,Max_Specificity_mean,Max_Specificity_std,Max_Specificity_mean_std,S_measure_mean,S_measure_std,S_measure_mean_std,Mean_E_measure_mean,Mean_E_measure_std,Mean_E_measure_mean_std,Max_E_measure_mean,Max_E_measure_std,Max_E_measure_mean_std,MAE_mean,MAE_std,MAE_mean_std
NestedUNet_DP_Morph,LungInfection,True,automatic,8.0,True,both,3,0.0001,24,1.2,,training,1.262588620185852,0.01516999947822311,1.2626 ± 0.0152,270.7911487817764,42.85214921532819,270.7911 ± 42.8521,0.308,0.054730064863838794,0.3080 ± 0.0547,0.4986,0.07240773439350241,0.4986 ± 0.0724,0.60795,0.011950104602052593,0.6079 ± 0.0120,1.0,0.0,1.0000 ± 0.0000,0.6157,0.08400428560496186,0.6157 ± 0.0840,0.9934000000000001,0.00028284271247466634,0.9934 ± 0.0003,0.51485,0.03924442635585339,0.5149 ± 0.0392,0.4293,0.053881536726414915,0.4293 ± 0.0539,0.77185,0.03867874093090413,0.7719 ± 0.0387,0.36060000000000003,0.04935605332682103,0.3606 ± 0.0494
NestedUNet_DP_Morph,LungInfection,True,automatic,8.0,True,both,5,0.0001,24,1.2,,training,1.265566110610962,0.008806499702654286,1.2656 ± 0.0088,267.8153467178345,28.24041896887284,267.8153 ± 28.2404,0.35925,0.0071417784899841285,0.3593 ± 0.0071,0.5609,0.009192388155425127,0.5609 ± 0.0092,0.61205,0.03599173516239523,0.6120 ± 0.0360,1.0,0.0,1.0000 ± 0.0000,0.6870499999999999,0.038678740930904204,0.6870 ± 0.0387,0.9999,0.00014142135623729392,0.9999 ± 0.0001,0.5427,0.018101933598375586,0.5427 ± 0.0181,0.47755000000000003,0.028354981925580534,0.4776 ± 0.0284,0.7967,0.017253405460951745,0.7967 ± 0.0173,0.3256,0.02545584412271573,0.3256 ± 0.0255
NestedUNet_DP_Morph,LungInfection,True,automatic,8.0,True,both,7,0.0001,24,1.2,,training,1.3030124306678772,0.0044752366685839075,1.3030 ± 0.0045,249.32534778118134,2.3700128808200143,249.3253 ± 2.3700,0.33555,0.02708218971944477,0.3356 ± 0.0271,0.5107999999999999,0.027860007178749965,0.5108 ± 0.0279,0.71895,0.09496444071335332,0.7189 ± 0.0950,1.0,0.0,1.0000 ± 0.0000,0.5685,0.07551900423072327,0.5685 ± 0.0755,0.979,0.019798989873223347,0.9790 ± 0.0198,0.49595,0.01930401512639278,0.4960 ± 0.0193,0.4187,0.004384062043356583,0.4187 ± 0.0044,0.76445,0.0184554869889689,0.7644 ± 0.0185,0.39480000000000004,0.03040559159102153,0.3948 ± 0.0304
NestedUNet_DP_Morph,LungInfection,True,automatic,8.0,True,both,9,0.0001,24,1.2,,training,1.3916787505149841,0.020631135227173535,1.3917 ± 0.0206,259.5488109588623,24.174158122324634,259.5488 ± 24.1742,0.3235,0.06250823945689082,0.3235 ± 0.0625,0.52395,0.0526794551983978,0.5240 ± 0.0527,0.59785,0.0006363961030679012,0.5978 ± 0.0006,1.0,0.0,1.0000 ± 0.0000,0.65175,0.08973185053257282,0.6518 ± 0.0897,0.9977,0.000989949493661136,0.9977 ± 0.0010,0.53165,0.0465983368801935,0.5316 ± 0.0466,0.4537,0.07014499269370549,0.4537 ± 0.0701,0.7836000000000001,0.02757716446627538,0.7836 ± 0.0276,0.33840000000000003,0.05317442994522836,0.3384 ± 0.0532
NestedUNet_DP_Morph,LungInfection,True,automatic,8.0,True,close,3,0.0001,24,1.2,,training,1.296823501586914,0.036959077221385105,1.2968 ± 0.0370,254.50552535057068,16.073246228436563,254.5055 ± 16.0732,0.2983,0.0164048773235279,0.2983 ± 0.0164,0.48109999999999997,0.013859292911256337,0.4811 ± 0.0139,0.5564,0.049356053326821074,0.5564 ± 0.0494,1.0,0.0,1.0000 ± 0.0000,0.6741999999999999,0.027860007178749965,0.6742 ± 0.0279,0.9985,0.0014142135623730963,0.9985 ± 0.0014,0.51915,0.0045961940777125235,0.5192 ± 0.0046,0.43884999999999996,0.00021213203435598016,0.4388 ± 0.0002,0.7665500000000001,0.0038890872965259755,0.7666 ± 0.0039,0.33795,0.016334166645409216,0.3379 ± 0.0163
NestedUNet_DP_Morph,LungInfection,True,automatic,8.0,True,close,5,0.0001,24,1.2,,training,1.3260495066642761,0.055837746487475824,1.3260 ± 0.0558,249.45288538932806,6.780518564999398,249.4529 ± 6.7805,0.3244,0.003959797974644662,0.3244 ± 0.0040,0.49959999999999993,0.004101219330881955,0.4996 ± 0.0041,0.6532,0.006363961030678855,0.6532 ± 0.0064,1.0,0.0,1.0000 ± 0.0000,0.63645,0.008131727983645264,0.6364 ± 0.0081,0.99925,0.0009192388155424891,0.9992 ± 0.0009,0.524,0.012162236636408613,0.5240 ± 0.0122,0.4396,0.014990663761154805,0.4396 ± 0.0150,0.7504,0.004808326112068543,0.7504 ± 0.0048,0.3554,0.019798989873223347,0.3554 ± 0.0198
NestedUNet_DP_Morph,LungInfection,True,automatic,8.0,True,close,7,0.0001,24,1.2,,training,1.4082686305046082,0.08616408986500453,1.4083 ± 0.0862,248.28991830348969,2.6419534511315605,248.2899 ± 2.6420,0.3526,0.007353910524340109,0.3526 ± 0.0074,0.55445,0.0012020815280171554,0.5544 ± 0.0012,0.6188499999999999,0.0649831131910437,0.6188 ± 0.0650,1.0,0.0,1.0000 ± 0.0000,0.6919500000000001,0.09468159800087873,0.6920 ± 0.0947,0.99985,7.071067811864696e-05,0.9999 ± 0.0001,0.54585,0.040517218561989185,0.5458 ± 0.0405,0.4749,0.04002224381515858,0.4749 ± 0.0400,0.8012,0.0026870057685088986,0.8012 ± 0.0027,0.31975,0.06484169183480641,0.3197 ± 0.0648
NestedUNet_DP_Morph,LungInfection,True,automatic,8.0,True,close,9,0.0001,24,1.2,,training,1.3481301069259644,0.006810256369784144,1.3481 ± 0.0068,250.67767763137817,8.35643643529204,250.6777 ± 8.3564,0.3175,0.030971277015970786,0.3175 ± 0.0310,0.50325,0.022556706319850857,0.5032 ± 0.0226,0.6387,0.03973940110268391,0.6387 ± 0.0397,1.0,0.0,1.0000 ± 0.0000,0.6209,0.0015556349186103902,0.6209 ± 0.0016,0.9971000000000001,0.0033941125496954466,0.9971 ± 0.0034,0.51125,0.0026162950903902515,0.5112 ± 0.0026,0.4198,0.020930360723121776,0.4198 ± 0.0209,0.7609,0.013010764773832454,0.7609 ± 0.0130,0.37195,0.0020506096654409976,0.3720 ± 0.0021
NestedUNet_DP_Morph,LungInfection,True,automatic,8.0,True,open,3,0.0001,24,1.2,,training,1.2607301473617554,0.06087741375131747,1.2607 ± 0.0609,249.624258518219,1.8362407461058958,249.6243 ± 1.8362,0.36645,0.007566042558696089,0.3664 ± 0.0076,0.55145,0.014354267658086905,0.5514 ± 0.0144,0.6634,0.043274935008616656,0.6634 ± 0.0433,1.0,0.0,1.0000 ± 0.0000,0.67245,0.03641599923110719,0.6724 ± 0.0364,0.9999,0.00014142135623729392,0.9999 ± 0.0001,0.5468,0.012303657992645907,0.5468 ± 0.0123,0.47775,0.014919953083036157,0.4778 ± 0.0149,0.78605,0.004313351365237936,0.7861 ± 0.0043,0.329,0.02644579361637687,0.3290 ± 0.0264
NestedUNet_DP_Morph,LungInfection,True,automatic,8.0,True,open,5,0.0001,24,1.2,,training,1.2966564893722534,0.03397440599723764,1.2967 ± 0.0340,259.5325268507004,20.19703027394422,259.5325 ± 20.1970,0.35075,0.028354981925580572,0.3508 ± 0.0284,0.5493,0.02531442276647844,0.5493 ± 0.0253,0.6940999999999999,0.033375440072005054,0.6941 ± 0.0334,1.0,0.0,1.0000 ± 0.0000,0.6124499999999999,0.005020458146424484,0.6124 ± 0.0050,0.9999,0.0,0.9999 ± 0.0000,0.51615,0.008838834764831813,0.5161 ± 0.0088,0.43935,0.020718228688765838,0.4394 ± 0.0207,0.7975,0.016970562748477157,0.7975 ± 0.0170,0.3718,0.005515432893255052,0.3718 ± 0.0055
NestedUNet_DP_Morph,LungInfection,True,automatic,8.0,True,open,7,0.0001,24,1.2,,training,1.3329823017120361,0.02339588419579132,1.3330 ± 0.0234,273.39192974567413,35.3144652142289,273.3919 ± 35.3145,0.30915,0.02283954903232548,0.3091 ± 0.0228,0.4779,0.033234018715767685,0.4779 ± 0.0332,0.64505,0.03443610024378484,0.6451 ± 0.0344,1.0,0.0,1.0000 ± 0.0000,0.59805,0.059467680297788615,0.5980 ± 0.0595,0.9989,0.0,0.9989 ± 0.0000,0.49855,0.02241528496361352,0.4985 ± 0.0224,0.41405000000000003,0.03217335854398794,0.4141 ± 0.0322,0.75265,0.048153971798803846,0.7527 ± 0.0482,0.38149999999999995,0.04101219330881976,0.3815 ± 0.0410
NestedUNet_DP_Morph,LungInfection,True,automatic,8.0,True,open,9,0.0001,24,1.2,,training,1.3260446786880493,0.010292428993754366,1.3260 ± 0.0103,249.05456829071045,1.8288758372097282,249.0546 ± 1.8289,0.33615,0.03938584771209068,0.3362 ± 0.0394,0.52295,0.04263853890554883,0.5230 ± 0.0426,0.6188499999999999,0.030617723625377513,0.6188 ± 0.0306,1.0,0.0,1.0000 ± 0.0000,0.66735,0.028072139213105984,0.6673 ± 0.0281,0.99815,0.002474873734152958,0.9981 ± 0.0025,0.5392,0.016122034611053236,0.5392 ± 0.0161,0.463,0.031395541084682704,0.4630 ± 0.0314,0.7783,0.04992173875177025,0.7783 ± 0.0499,0.32989999999999997,0.014566399692442885,0.3299 ± 0.0146
NestedUNet_DP_Morph,LungInfection,True,base,8.0,True,both,3,0.0001,24,1.2,,training,1.3102319240570068,0.06602927592589511,1.3102 ± 0.0660,256.6497871875763,4.818286727353341,256.6498 ± 4.8183,0.3099,0.005232590180780425,0.3099 ± 0.0052,0.48050000000000004,0.011596551211459397,0.4805 ± 0.0116,0.6304000000000001,0.0004242640687119603,0.6304 ± 0.0004,1.0,0.0,1.0000 ± 0.0000,0.6193500000000001,0.034860364312496804,0.6194 ± 0.0349,0.9955499999999999,0.004454772721475308,0.9955 ± 0.0045,0.51275,0.008697413408594519,0.5128 ± 0.0087,0.42195,0.007000357133746834,0.4219 ± 0.0070,0.75095,0.01491995308303616,0.7510 ± 0.0149,0.3659,0.011030865786510143,0.3659 ± 0.0110
NestedUNet_DP_Morph,LungInfection,True,base,8.0,True,both,5,0.0001,24,1.2,,training,1.2888524532318115,0.03133247294518075,1.2889 ± 0.0313,239.49219012260437,0.9281622811790932,239.4922 ± 0.9282,0.36765000000000003,0.022556706319850857,0.3677 ± 0.0226,0.56965,0.036698841943581854,0.5696 ± 0.0367,0.66345,0.042497117549311535,0.6634 ± 0.0425,1.0,0.0,1.0000 ± 0.0000,0.668,0.029839906166072315,0.6680 ± 0.0298,0.9992000000000001,0.0008485281374238421,0.9992 ± 0.0008,0.5455000000000001,0.00622253967444164,0.5455 ± 0.0062,0.47355,0.006434671708797619,0.4736 ± 0.0064,0.8056000000000001,0.02927422074112306,0.8056 ± 0.0293,0.33240000000000003,0.016122034611053274,0.3324 ± 0.0161
NestedUNet_DP_Morph,LungInfection,True,base,8.0,True,both,7,0.0001,24,1.2,,training,1.2704914808273315,0.00660997454566069,1.2705 ± 0.0066,250.0914670228958,7.822805913988917,250.0915 ± 7.8228,0.32484999999999997,0.013364318164425728,0.3248 ± 0.0134,0.52435,0.03500178566873414,0.5243 ± 0.0350,0.6726,0.04016366517139587,0.6726 ± 0.0402,1.0,0.0,1.0000 ± 0.0000,0.59175,0.05876057351660206,0.5917 ± 0.0588,0.9991,0.0,0.9991 ± 0.0000,0.505,0.026162950903902242,0.5050 ± 0.0262,0.41685,0.028354981925580572,0.4168 ± 0.0284,0.7734000000000001,0.01668772003600249,0.7734 ± 0.0167,0.3863,0.03592102448427662,0.3863 ± 0.0359
NestedUNet_DP_Morph,LungInfection,True,base,8.0,True,both,9,0.0001,24,1.2,,training,1.310821533203125,0.02846041810025439,1.3108 ± 0.0285,252.95095455646515,6.054038226251546,252.9510 ± 6.0540,0.2956,0.0816001225489276,0.2956 ± 0.0816,0.5041,0.05967981233214463,0.5041 ± 0.0597,0.5528,0.17465537495307723,0.5528 ± 0.1747,1.0,0.0,1.0000 ± 0.0000,0.64855,0.020293964620053957,0.6485 ± 0.0203,0.9972000000000001,0.0035355339059327407,0.9972 ± 0.0035,0.5250999999999999,0.003676955262170035,0.5251 ± 0.0037,0.4497,0.0033941125496954466,0.4497 ± 0.0034,0.7685500000000001,0.033587572106361,0.7686 ± 0.0336,0.32205,0.05324514062334705,0.3221 ± 0.0532
