Model_Name,Dataset,DPSGD,Clipping_Strategy,Epsilon,Morphology,Operation,Kernel_Size,Learning_Rate,Batch_Size,Max_Grad_Norm,Noise_Multiplier,Stage,Training_Loss_mean,Training_Loss_std,Training_Loss_mean_std,Training_Time_Seconds_mean,Training_Time_Seconds_std,Training_Time_Seconds_mean_std,Mean_Dice_mean,Mean_Dice_std,Mean_Dice_mean_std,Max_Dice_mean,Max_Dice_std,Max_Dice_mean_std,Mean_Sensitivity_mean,Mean_Sensitivity_std,Mean_Sensitivity_mean_std,Max_Sensitivity_mean,Max_Sensitivity_std,Max_Sensitivity_mean_std,Mean_Specificity_mean,Mean_Specificity_std,Mean_Specificity_mean_std,Max_Specificity_mean,Max_Specificity_std,Max_Specificity_mean_std,S_measure_mean,S_measure_std,S_measure_mean_std,Mean_E_measure_mean,Mean_E_measure_std,Mean_E_measure_mean_std,Max_E_measure_mean,Max_E_measure_std,Max_E_measure_mean_std,MAE_mean,MAE_std,MAE_mean_std
NestedUNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,both,3,0.0001,24,,,training,0.8629993498325348,0.06620094003987999,0.8630 ± 0.0662,126.3565913438797,42.988747825701566,126.3566 ± 42.9887,0.5982,0.0,0.5982 ± 0.0000,0.7152,0.0,0.7152 ± 0.0000,0.6861,0.0,0.6861 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.8806,0.0,0.8806 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.7065,0.0,0.7065 ± 0.0000,0.7457,0.0,0.7457 ± 0.0000,0.8863,0.0,0.8863 ± 0.0000,0.1504,0.0,0.1504 ± 0.0000
NestedUNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,both,5,0.0001,24,,,training,0.8831300735473633,0.0018950908964438392,0.8831 ± 0.0019,125.81645500659943,41.41016324000992,125.8165 ± 41.4102,0.5351999999999999,0.00777817459305203,0.5352 ± 0.0078,0.6794,0.02545584412271573,0.6794 ± 0.0255,0.71765,0.022980970388562776,0.7177 ± 0.0230,1.0,0.0,1.0000 ± 0.0000,0.81105,0.015485638507985334,0.8111 ± 0.0155,0.99995,7.071067811864696e-05,1.0000 ± 0.0001,0.64605,0.00954594154601844,0.6461 ± 0.0095,0.6674,0.008626702730475872,0.6674 ± 0.0086,0.86815,0.019021172413918153,0.8681 ± 0.0190,0.20600000000000002,0.012727922061357847,0.2060 ± 0.0127
NestedUNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,both,7,0.0001,24,,,training,0.858041912317276,0.08664747207057596,0.8580 ± 0.0866,124.28336215019226,37.71098441666479,124.2834 ± 37.7110,0.52285,0.004171930009000642,0.5229 ± 0.0042,0.6759999999999999,0.006363961030678934,0.6760 ± 0.0064,0.7281,0.011737972567696731,0.7281 ± 0.0117,1.0,0.0,1.0000 ± 0.0000,0.80985,0.012374368670764553,0.8098 ± 0.0124,0.9999,0.00014142135623729392,0.9999 ± 0.0001,0.63835,0.0030405591591021333,0.6383 ± 0.0030,0.65435,0.001767766952966331,0.6543 ± 0.0018,0.8732,0.004666904755831171,0.8732 ± 0.0047,0.2041,0.006929646455628168,0.2041 ± 0.0069
NestedUNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,both,9,0.0001,24,,,training,0.7872187197208405,0.004205960453447648,0.7872 ± 0.0042,98.26462543010712,0.930017248275815,98.2646 ± 0.9300,0.47840000000000005,0.0002828427124746271,0.4784 ± 0.0003,0.6829000000000001,0.003676955262170035,0.6829 ± 0.0037,0.7779,0.021496046148071032,0.7779 ± 0.0215,1.0,0.0,1.0000 ± 0.0000,0.71075,0.015627059864222706,0.7107 ± 0.0156,1.0,0.0,1.0000 ± 0.0000,0.58155,0.0034648232278140937,0.5816 ± 0.0035,0.56675,0.009970205614730322,0.5667 ± 0.0100,0.8631500000000001,0.01223294731452726,0.8632 ± 0.0122,0.2821,0.011737972567696691,0.2821 ± 0.0117
NestedUNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,close,3,0.0001,24,,,training,0.9289771616458893,0.02270100910439221,0.9290 ± 0.0227,95.04457497596741,1.52037742767457,95.0446 ± 1.5204,0.5819000000000001,0.003676955262170035,0.5819 ± 0.0037,0.7055,0.00777817459305203,0.7055 ± 0.0078,0.6924,0.00028284271247458785,0.6924 ± 0.0003,1.0,0.0,1.0000 ± 0.0000,0.864,0.01711198410471445,0.8640 ± 0.0171,0.9977,0.0028284271247461927,0.9977 ± 0.0028,0.6940999999999999,0.014142135623730885,0.6941 ± 0.0141,0.7247,0.004808326112068465,0.7247 ± 0.0048,0.88235,0.006576093065034874,0.8823 ± 0.0066,0.16095,0.014919953083036157,0.1610 ± 0.0149
NestedUNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,close,5,0.0001,24,,,training,0.9385082721710205,0.1367102152282406,0.9385 ± 0.1367,99.21099925041199,4.041545934581449,99.2110 ± 4.0415,0.61015,0.013081475451951102,0.6101 ± 0.0131,0.7128,0.008768124086713167,0.7128 ± 0.0088,0.6898,0.026445793616376872,0.6898 ± 0.0264,1.0,0.0,1.0000 ± 0.0000,0.9016500000000001,0.0019091883092037035,0.9017 ± 0.0019,0.99995,7.071067811864696e-05,1.0000 ± 0.0001,0.7213499999999999,0.0033234018715768,0.7213 ± 0.0033,0.7618,0.012020815280171319,0.7618 ± 0.0120,0.88375,0.010253048327204988,0.8838 ± 0.0103,0.13195,0.0020506096654409776,0.1320 ± 0.0021
NestedUNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,close,7,0.0001,24,,,training,0.9396940767765045,0.01490687670296952,0.9397 ± 0.0149,125.70135462284088,40.90636914711728,125.7014 ± 40.9064,0.60195,0.01930401512639274,0.6019 ± 0.0193,0.71145,0.009828784258493027,0.7115 ± 0.0098,0.69565,0.026092240225783558,0.6956 ± 0.0261,1.0,0.0,1.0000 ± 0.0000,0.8855999999999999,0.004384062043356661,0.8856 ± 0.0044,0.99925,0.0006363961030679012,0.9992 ± 0.0006,0.7175,0.004666904755831249,0.7175 ± 0.0047,0.7473,0.013010764773832454,0.7473 ± 0.0130,0.8832,0.004666904755831171,0.8832 ± 0.0047,0.14195000000000002,0.002616295090390232,0.1420 ± 0.0026
NestedUNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,close,9,0.0001,24,,,training,0.9198470711708068,0.013594128812400783,0.9198 ± 0.0136,104.68950283527374,10.792106013897081,104.6895 ± 10.7921,0.5710999999999999,0.0072124891681028536,0.5711 ± 0.0072,0.68865,0.009404520189781067,0.6886 ± 0.0094,0.6516,0.009758073580374301,0.6516 ± 0.0098,1.0,0.0,1.0000 ± 0.0000,0.8955,0.012303657992645907,0.8955 ± 0.0123,0.99985,0.00021213203435594088,0.9999 ± 0.0002,0.7021999999999999,0.0033941125496954466,0.7022 ± 0.0034,0.7296,0.012869343417595162,0.7296 ± 0.0129,0.87245,0.0058689862838484045,0.8724 ± 0.0059,0.14379999999999998,0.00975807358037436,0.1438 ± 0.0098
NestedUNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,open,3,0.0001,24,,,training,1.0073524415493011,0.16878485202884966,1.0074 ± 0.1688,96.75666105747223,1.2408657660839104,96.7567 ± 1.2409,0.598,0.014000714267493669,0.5980 ± 0.0140,0.71855,0.005161879502661778,0.7186 ± 0.0052,0.69355,0.03019345955666555,0.6935 ± 0.0302,1.0,0.0,1.0000 ± 0.0000,0.88415,0.0012020815280171554,0.8841 ± 0.0012,1.0,0.0,1.0000 ± 0.0000,0.7118500000000001,0.0036062445840513878,0.7119 ± 0.0036,0.7443500000000001,0.008273149339882558,0.7444 ± 0.0083,0.89225,0.0014849242404917434,0.8922 ± 0.0015,0.14395,0.0020506096654409976,0.1439 ± 0.0021
NestedUNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,open,5,0.0001,24,,,training,0.8430783152580261,0.036922578050574674,0.8431 ± 0.0369,95.7363018989563,0.9441784207880813,95.7363 ± 0.9442,0.55655,0.005586143571373738,0.5565 ± 0.0056,0.7081999999999999,0.009192388155425127,0.7082 ± 0.0092,0.71675,0.026375082938258222,0.7167 ± 0.0264,1.0,0.0,1.0000 ± 0.0000,0.8314999999999999,0.016546298679765196,0.8315 ± 0.0165,1.0,0.0,1.0000 ± 0.0000,0.66765,0.0044547727214752295,0.6676 ± 0.0045,0.68695,0.0004949747468306073,0.6869 ± 0.0005,0.8852,0.011737972567696651,0.8852 ± 0.0117,0.18630000000000002,0.006646803743153541,0.1863 ± 0.0066
