Model_Name,Dataset,DPSGD,Clipping_Strategy,Epsilon,Morphology,Operation,Kernel_Size,Learning_Rate,Batch_Size,Max_Grad_Norm,Noise_Multiplier,Stage,Training_Loss_mean,Training_Loss_std,Training_Loss_mean_std,Training_Time_Seconds_mean,Training_Time_Seconds_std,Training_Time_Seconds_mean_std,Mean_Dice_mean,Mean_Dice_std,Mean_Dice_mean_std,Max_Dice_mean,Max_Dice_std,Max_Dice_mean_std,Mean_Sensitivity_mean,Mean_Sensitivity_std,Mean_Sensitivity_mean_std,Max_Sensitivity_mean,Max_Sensitivity_std,Max_Sensitivity_mean_std,Mean_Specificity_mean,Mean_Specificity_std,Mean_Specificity_mean_std,Max_Specificity_mean,Max_Specificity_std,Max_Specificity_mean_std,S_measure_mean,S_measure_std,S_measure_mean_std,Mean_E_measure_mean,Mean_E_measure_std,Mean_E_measure_mean_std,Max_E_measure_mean,Max_E_measure_std,Max_E_measure_mean_std,MAE_mean,MAE_std,MAE_mean_std
UNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,both,3,0.0001,24,,,training,0.7711966931819916,0.000907210914196994,0.7712 ± 0.0009,55.21516132354736,0.6498706865591823,55.2152 ± 0.6499,0.44195,0.0006363961030679012,0.4420 ± 0.0006,0.6791499999999999,0.021001071401240426,0.6791 ± 0.0210,0.7992,0.015273506473629472,0.7992 ± 0.0153,1.0,0.0,1.0000 ± 0.0000,0.58195,0.0026162950903902515,0.5819 ± 0.0026,0.99975,7.071067811864696e-05,0.9998 ± 0.0001,0.5265,0.0021213203435596446,0.5265 ± 0.0021,0.49465000000000003,0.003040559159102173,0.4947 ± 0.0030,0.85395,0.020718228688765838,0.8539 ± 0.0207,0.39044999999999996,0.0003535533905932741,0.3904 ± 0.0004
UNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,both,5,0.0001,24,,,training,0.7175735533237457,0.008898674860347611,0.7176 ± 0.0089,56.2330801486969,0.5161161455232985,56.2331 ± 0.5161,0.3962,0.04327493500861673,0.3962 ± 0.0433,0.6411,0.015839191898578648,0.6411 ± 0.0158,0.8009999999999999,0.04327493500861673,0.8010 ± 0.0433,1.0,0.0,1.0000 ± 0.0000,0.4852,0.122895158570222,0.4852 ± 0.1229,0.9925999999999999,0.0016970562748477628,0.9926 ± 0.0017,0.4636,0.07976164491784257,0.4636 ± 0.0798,0.43265,0.08138799051457164,0.4326 ± 0.0814,0.84345,0.011384419177103419,0.8435 ± 0.0114,0.47075,0.09567154749453986,0.4708 ± 0.0957
UNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,both,7,0.0001,24,,,training,0.7068168520927429,0.0410212747745621,0.7068 ± 0.0410,56.91643786430359,0.6715439447626314,56.9164 ± 0.6715,0.44,0.013435028842544414,0.4400 ± 0.0134,0.6677,0.008343860018001206,0.6677 ± 0.0083,0.79105,0.03259762261269986,0.7911 ± 0.0326,1.0,0.0,1.0000 ± 0.0000,0.5814999999999999,0.06774082963767125,0.5815 ± 0.0677,0.9964500000000001,0.0014849242404918216,0.9965 ± 0.0015,0.5298,0.038325187540310814,0.5298 ± 0.0383,0.49774999999999997,0.036415999231107186,0.4977 ± 0.0364,0.85495,0.0028991378028648397,0.8549 ± 0.0029,0.39165,0.0512652416360247,0.3916 ± 0.0513
UNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,both,9,0.0001,24,,,training,0.6984913647174835,0.032659550764243275,0.6985 ± 0.0327,59.51832187175751,0.09124438669081067,59.5183 ± 0.0912,0.44295,0.016334166645409254,0.4430 ± 0.0163,0.6587,0.019940411229460643,0.6587 ± 0.0199,0.8,0.03535533905932733,0.8000 ± 0.0354,1.0,0.0,1.0000 ± 0.0000,0.5885,0.05614427842621189,0.5885 ± 0.0561,0.99775,0.0013435028842544493,0.9978 ± 0.0013,0.5346,0.03125411972844541,0.5346 ± 0.0313,0.5053,0.029698484809834984,0.5053 ± 0.0297,0.85155,0.008131727983645264,0.8516 ± 0.0081,0.385,0.04200214280248093,0.3850 ± 0.0420
UNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,close,3,0.0001,24,,,training,1.0607622861862183,0.04499614405762436,1.0608 ± 0.0450,57.98305404186249,0.671013063058788,57.9831 ± 0.6710,0.5402,0.02927422074112306,0.5402 ± 0.0293,0.7095,0.003676955262170035,0.7095 ± 0.0037,0.6736,0.019516147160748683,0.6736 ± 0.0195,1.0,0.0,1.0000 ± 0.0000,0.8029,0.027152900397563493,0.8029 ± 0.0272,0.99975,0.00021213203435594088,0.9998 ± 0.0002,0.6497999999999999,0.019516147160748683,0.6498 ± 0.0195,0.66035,0.03443610024378484,0.6603 ± 0.0344,0.87615,0.0014849242404917434,0.8761 ± 0.0015,0.21935,0.024395183950935893,0.2193 ± 0.0244
UNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,close,5,0.0001,24,,,training,1.151942491531372,0.15584016400515324,1.1519 ± 0.1558,58.56973934173584,0.9958942897848887,58.5697 ± 0.9959,0.5552,0.0011313708498985084,0.5552 ± 0.0011,0.70095,0.004030508652763269,0.7009 ± 0.0040,0.69825,0.012374368670764553,0.6983 ± 0.0124,1.0,0.0,1.0000 ± 0.0000,0.81465,0.01887975105768078,0.8146 ± 0.0189,0.9995,0.0005656854249492542,0.9995 ± 0.0006,0.6546000000000001,0.0025455844122715264,0.6546 ± 0.0025,0.6782,0.00820243866176399,0.6782 ± 0.0082,0.8701,0.00014142135623729392,0.8701 ± 0.0001,0.20675,0.009687362902255713,0.2067 ± 0.0097
UNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,close,7,0.0001,24,,,training,1.0576679110527039,0.11647003416785409,1.0577 ± 0.1165,57.135196566581726,2.478238569950632,57.1352 ± 2.4782,0.5429999999999999,0.03040559159102157,0.5430 ± 0.0304,0.7016,0.0066468037431536,0.7016 ± 0.0066,0.6695,0.03577960312803929,0.6695 ± 0.0358,1.0,0.0,1.0000 ± 0.0000,0.8429,0.0059396969619669735,0.8429 ± 0.0059,0.9999,0.0,0.9999 ± 0.0000,0.6646,0.0,0.6646 ± 0.0000,0.6779999999999999,0.0244658946290546,0.6780 ± 0.0245,0.8702000000000001,0.011030865786510104,0.8702 ± 0.0110,0.1918,0.008061017305526658,0.1918 ± 0.0081
UNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,close,9,0.0001,24,,,training,1.1453243494033813,0.016215915670869458,1.1453 ± 0.0162,57.5842924118042,0.29654455177307926,57.5843 ± 0.2965,0.54565,0.007848885271170676,0.5456 ± 0.0078,0.6796500000000001,0.007848885271170676,0.6797 ± 0.0078,0.6517,0.018667619023324918,0.6517 ± 0.0187,1.0,0.0,1.0000 ± 0.0000,0.8384499999999999,0.007848885271170676,0.8384 ± 0.0078,0.99975,7.071067811864696e-05,0.9998 ± 0.0001,0.6518999999999999,0.007919595949289324,0.6519 ± 0.0079,0.6871,0.00028284271247466634,0.6871 ± 0.0003,0.85775,0.0026162950903902515,0.8578 ± 0.0026,0.19855,0.010818733752154183,0.1986 ± 0.0108
UNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,open,3,0.0001,24,,,training,0.7419895529747009,0.00013318404129442513,0.7420 ± 0.0001,54.8343346118927,0.7089727064638218,54.8343 ± 0.7090,0.424,0.0022627416997969383,0.4240 ± 0.0023,0.6711499999999999,0.007566042558696089,0.6711 ± 0.0076,0.8107,0.0026870057685088986,0.8107 ± 0.0027,1.0,0.0,1.0000 ± 0.0000,0.5378000000000001,0.0019798989873223505,0.5378 ± 0.0020,0.992,0.011030865786510182,0.9920 ± 0.0110,0.49975,7.071067811868621e-05,0.4998 ± 0.0001,0.4652,0.003252691193458153,0.4652 ± 0.0033,0.85665,0.010394469683442204,0.8567 ± 0.0104,0.42469999999999997,0.003676955262170074,0.4247 ± 0.0037
UNet_Morph_GroupNorm,LungInfection,False,none,0.0,True,open,5,0.0001,24,,,training,0.7052687406539917,0.00951001489799813,0.7053 ± 0.0095,55.23583674430847,0.0705619166021507,55.2358 ± 0.0706,0.41674999999999995,0.014495689014324237,0.4167 ± 0.0145,0.66385,0.009404520189781067,0.6639 ± 0.0094,0.83145,0.006151828996322992,0.8315 ± 0.0062,1.0,0.0,1.0000 ± 0.0000,0.49939999999999996,0.02559726547895299,0.4994 ± 0.0256,0.99815,0.001767766952966331,0.9981 ± 0.0018,0.485,0.017960512242138293,0.4850 ± 0.0180,0.45035000000000003,0.019728279195104663,0.4504 ± 0.0197,0.8544,0.004242640687119289,0.8544 ± 0.0042,0.4552,0.02220315292925758,0.4552 ± 0.0222
