Model_Name,Dataset,DPSGD,Clipping_Strategy,Epsilon,Morphology,Operation,Kernel_Size,Learning_Rate,Batch_Size,Run_Number,Iterations,Training_Loss,Training_Time_Seconds,Max_Grad_Norm,Noise_Multiplier,Stage
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,both,3,0.0001,24,1,70,6.788196086883545,352.61358165740967,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,both,3,0.0001,24,2,70,6.57805061340332,266.99436593055725,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,both,5,0.0001,24,1,70,6.640332221984863,352.9282648563385,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,both,5,0.0001,24,2,70,6.677814483642578,282.7257890701294,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,both,7,0.0001,24,1,70,6.685486316680908,366.8381426334381,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,both,7,0.0001,24,2,70,6.645901679992676,297.84390354156494,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,close,3,0.0001,24,1,70,6.586769104003906,344.5308601856232,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,close,3,0.0001,24,2,70,6.532988548278809,257.6906409263611,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,close,5,0.0001,24,1,70,6.588669300079346,360.92051792144775,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,close,5,0.0001,24,2,70,6.615592956542969,269.67038440704346,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,close,7,0.0001,24,1,70,6.55925178527832,355.8604061603546,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,close,7,0.0001,24,2,70,6.694858551025391,265.0881018638611,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,close,9,0.0001,24,1,70,6.8471221923828125,358.2024540901184,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,close,9,0.0001,24,2,70,6.687501430511475,272.770779132843,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,open,3,0.0001,24,1,70,6.737422466278076,350.5184404850006,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,open,3,0.0001,24,2,70,6.854950904846191,264.528131723404,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,open,5,0.0001,24,1,70,6.627511978149414,350.362336397171,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,open,5,0.0001,24,2,70,6.6707611083984375,279.71772360801697,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,open,7,0.0001,24,1,70,6.515263080596924,349.1179113388061,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,open,7,0.0001,24,2,70,6.628011703491211,280.67037320137024,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,open,9,0.0001,24,1,70,6.506360054016113,366.4886755943298,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,open,9,0.0001,24,2,70,6.630914688110352,281.17451548576355,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,both,3,0.0001,24,1,70,6.663064002990723,355.77451634407043,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,both,3,0.0001,24,2,70,6.675471305847168,267.42362236976624,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,both,5,0.0001,24,1,70,6.689356803894043,359.2667570114136,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,both,5,0.0001,24,2,70,6.445985794067383,272.47525811195374,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,both,7,0.0001,24,1,70,6.833696365356445,366.6459965705872,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,both,7,0.0001,24,2,70,6.6083292961120605,285.22012734413147,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,both,9,0.0001,24,1,70,6.515450477600098,382.5803899765015,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,both,9,0.0001,24,2,70,6.769560813903809,391.1624021530152,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,close,3,0.0001,24,1,70,6.620130062103272,348.29467034339905,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,close,3,0.0001,24,2,70,6.619356632232666,275.7639873027801,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,close,5,0.0001,24,1,70,6.598732948303223,354.2895894050598,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,close,5,0.0001,24,2,70,6.524659156799316,268.0310866832733,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,close,7,0.0001,24,1,70,6.648282527923584,357.2535996437073,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,close,7,0.0001,24,2,70,6.607504844665527,271.7666907310486,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,close,9,0.0001,24,1,70,6.743343353271484,364.2883791923523,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,close,9,0.0001,24,2,70,6.5359883308410645,281.0399127006531,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,open,3,0.0001,24,1,70,6.582321166992188,341.3252468109131,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,open,3,0.0001,24,2,70,6.611556529998779,281.59105229377747,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,open,5,0.0001,24,1,70,6.472121238708496,354.7134783267975,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,open,5,0.0001,24,2,70,6.513821125030518,257.4036273956299,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,open,7,0.0001,24,1,70,6.583347320556641,351.38986897468567,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,open,7,0.0001,24,2,70,6.552206039428711,285.13640427589417,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,open,9,0.0001,24,1,70,6.379997253417969,360.23171877861023,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,open,9,0.0001,24,2,70,6.391000747680664,295.12745356559753,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,nsgd,8.0,True,both,3,0.0001,24,1,70,6.824255466461182,356.4947760105133,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,nsgd,8.0,True,both,3,0.0001,24,2,70,6.65256404876709,267.4555938243866,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,nsgd,8.0,True,both,5,0.0001,24,1,70,6.517082691192627,359.9297382831573,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,nsgd,8.0,True,both,5,0.0001,24,2,70,6.547506332397461,269.0686616897583,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,nsgd,8.0,True,both,7,0.0001,24,1,70,6.599549293518066,369.0898780822754,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,nsgd,8.0,True,both,7,0.0001,24,2,70,6.67850399017334,296.7450466156006,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,nsgd,8.0,True,both,9,0.0001,24,1,70,6.622925281524658,383.0924768447876,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,nsgd,8.0,True,both,9,0.0001,24,2,70,6.725891590118408,372.2947509288788,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,nsgd,8.0,True,close,3,0.0001,24,1,70,6.724636077880859,350.21319603919983,1.2,,training
Inf-Net_DP_Morph,LungInfection,True,nsgd,8.0,True,close,3,0.0001,24,2,70,6.570296287536621,264.297947883606,1.2,,training
