Backbone loading: Res2Net50
Converting BatchNorm to GroupNorm for fair comparison with DP models
Model architecture converted to GroupNorm
Not loading weights from weights file
###################################################################### 
Start Training (Inf_Net-GroupNorm)
Network: Inf_Net
Batch Size: 24
DP: Disabled
Morphology: Disabled
Architecture: GroupNorm (no DP)
Save Path: ./Snapshots/save_weights/Inf-Net_GroupNorm/batch_24/run_2
Run: 2
Namespace(network='Inf_Net', epoch=100, lr=0.0001, batchsize=24, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, init_features=32, n_classes=1, in_channels=3, backbone='Res2Net50', deep_supervision=False, train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=False, epsilon=8.0, max_grad_norm=1.2, delta=1e-05, clipping_strategy='base', enable_morphology=False, morph_operation='both', morph_kernel_size=3, device='cuda')
 ######################################################################
2025-11-09 00:33:19.909904 Epoch [001/100], Step [0003/0003], [lateral-edge: 0.7662, lateral-2: 1.3229, lateral-3: 1.3654, lateral-4: 1.4631, lateral-5: 1.4385, epsilon: 0.0000]
2025-11-09 00:33:21.512630 Epoch [002/100], Step [0003/0003], [lateral-edge: 0.7577, lateral-2: 1.0373, lateral-3: 1.0992, lateral-4: 1.2380, lateral-5: 1.2534, epsilon: 0.0000]
2025-11-09 00:33:23.155222 Epoch [003/100], Step [0003/0003], [lateral-edge: 0.7523, lateral-2: 0.9448, lateral-3: 1.0403, lateral-4: 1.1866, lateral-5: 1.1461, epsilon: 0.0000]
2025-11-09 00:33:24.798007 Epoch [004/100], Step [0003/0003], [lateral-edge: 0.7454, lateral-2: 0.8921, lateral-3: 0.9805, lateral-4: 1.1164, lateral-5: 1.0710, epsilon: 0.0000]
2025-11-09 00:33:26.433123 Epoch [005/100], Step [0003/0003], [lateral-edge: 0.7436, lateral-2: 0.8718, lateral-3: 0.9341, lateral-4: 1.0285, lateral-5: 1.0067, epsilon: 0.0000]
2025-11-09 00:33:28.067160 Epoch [006/100], Step [0003/0003], [lateral-edge: 0.7399, lateral-2: 0.9359, lateral-3: 0.9937, lateral-4: 1.0974, lateral-5: 1.0600, epsilon: 0.0000]
2025-11-09 00:33:29.699048 Epoch [007/100], Step [0003/0003], [lateral-edge: 0.7348, lateral-2: 0.8814, lateral-3: 0.9617, lateral-4: 1.0748, lateral-5: 1.0054, epsilon: 0.0000]
2025-11-09 00:33:31.331521 Epoch [008/100], Step [0003/0003], [lateral-edge: 0.7355, lateral-2: 0.8552, lateral-3: 0.9104, lateral-4: 1.0268, lateral-5: 0.9727, epsilon: 0.0000]
2025-11-09 00:33:32.954289 Epoch [009/100], Step [0003/0003], [lateral-edge: 0.7330, lateral-2: 0.7962, lateral-3: 0.8711, lateral-4: 0.9912, lateral-5: 0.9329, epsilon: 0.0000]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_GroupNorm/batch_24/run_2/Inf-Net-10.pth
2025-11-09 00:33:34.884974 Epoch [010/100], Step [0003/0003], [lateral-edge: 0.7288, lateral-2: 0.8045, lateral-3: 0.9009, lateral-4: 1.0415, lateral-5: 0.9551, epsilon: 0.0000]
2025-11-09 00:33:36.532899 Epoch [011/100], Step [0003/0003], [lateral-edge: 0.7302, lateral-2: 0.7040, lateral-3: 0.7777, lateral-4: 0.8882, lateral-5: 0.8247, epsilon: 0.0000]
2025-11-09 00:33:38.170848 Epoch [012/100], Step [0003/0003], [lateral-edge: 0.7277, lateral-2: 0.7050, lateral-3: 0.8050, lateral-4: 0.9517, lateral-5: 0.8436, epsilon: 0.0000]
2025-11-09 00:33:39.815242 Epoch [013/100], Step [0003/0003], [lateral-edge: 0.7236, lateral-2: 0.7189, lateral-3: 0.8092, lateral-4: 0.9477, lateral-5: 0.8543, epsilon: 0.0000]
2025-11-09 00:33:41.474319 Epoch [014/100], Step [0003/0003], [lateral-edge: 0.7216, lateral-2: 0.7466, lateral-3: 0.8452, lateral-4: 0.9752, lateral-5: 0.8694, epsilon: 0.0000]
2025-11-09 00:33:43.108788 Epoch [015/100], Step [0003/0003], [lateral-edge: 0.7226, lateral-2: 0.7217, lateral-3: 0.8121, lateral-4: 0.9290, lateral-5: 0.8370, epsilon: 0.0000]
