Backbone loading: Res2Net50
Converting BatchNorm to GroupNorm for fair comparison with DP models
Model architecture converted to GroupNorm
Not loading weights from weights file
###################################################################### 
Start Training (Inf_Net-GroupNorm)
Network: Inf_Net
Batch Size: 64
DP: Disabled
Morphology: both
Architecture: GroupNorm (no DP)
Save Path: ./Snapshots/save_weights/Inf-Net_Morph_GroupNorm/both/batch_64/run_2
Run: 2
Namespace(network='Inf_Net', epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, init_features=32, n_classes=1, in_channels=3, backbone='Res2Net50', deep_supervision=False, train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=False, epsilon=8.0, max_grad_norm=1.2, delta=1e-05, clipping_strategy='base', enable_morphology=True, morph_operation='both', morph_kernel_size=3, device='cuda')
 ######################################################################
2025-11-09 00:33:18.723291 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7712, lateral-2: 1.4871, lateral-3: 1.5230, lateral-4: 1.6414, lateral-5: 1.5367, epsilon: 0.0000]
2025-11-09 00:33:20.521915 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7660, lateral-2: 1.2457, lateral-3: 1.3187, lateral-4: 1.3464, lateral-5: 1.3805, epsilon: 0.0000]
2025-11-09 00:33:22.250896 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7647, lateral-2: 1.1128, lateral-3: 1.2041, lateral-4: 1.2557, lateral-5: 1.2953, epsilon: 0.0000]
2025-11-09 00:33:23.986514 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7620, lateral-2: 1.0553, lateral-3: 1.1321, lateral-4: 1.2070, lateral-5: 1.2132, epsilon: 0.0000]
2025-11-09 00:33:25.720312 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7580, lateral-2: 1.0017, lateral-3: 1.0700, lateral-4: 1.1599, lateral-5: 1.1516, epsilon: 0.0000]
2025-11-09 00:33:27.455770 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7577, lateral-2: 0.9562, lateral-3: 1.0200, lateral-4: 1.1231, lateral-5: 1.1000, epsilon: 0.0000]
2025-11-09 00:33:29.230194 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7549, lateral-2: 0.9155, lateral-3: 0.9744, lateral-4: 1.0766, lateral-5: 1.0539, epsilon: 0.0000]
2025-11-09 00:33:31.007705 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7518, lateral-2: 0.8905, lateral-3: 0.9543, lateral-4: 1.0552, lateral-5: 1.0217, epsilon: 0.0000]
2025-11-09 00:33:32.772137 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7498, lateral-2: 0.8713, lateral-3: 0.9373, lateral-4: 1.0358, lateral-5: 0.9989, epsilon: 0.0000]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph_GroupNorm/both/batch_64/run_2/Inf-Net-10.pth
2025-11-09 00:33:34.696282 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7476, lateral-2: 0.8466, lateral-3: 0.9307, lateral-4: 1.0693, lateral-5: 1.0118, epsilon: 0.0000]
2025-11-09 00:33:36.457237 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7462, lateral-2: 0.8317, lateral-3: 0.9045, lateral-4: 1.0227, lateral-5: 0.9775, epsilon: 0.0000]
2025-11-09 00:33:38.203143 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7447, lateral-2: 0.8136, lateral-3: 0.8933, lateral-4: 1.0176, lateral-5: 0.9589, epsilon: 0.0000]
2025-11-09 00:33:39.981367 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7434, lateral-2: 0.8072, lateral-3: 0.8796, lateral-4: 0.9953, lateral-5: 0.9287, epsilon: 0.0000]
2025-11-09 00:33:41.757342 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7417, lateral-2: 0.7775, lateral-3: 0.8531, lateral-4: 0.9802, lateral-5: 0.9155, epsilon: 0.0000]
2025-11-09 00:33:43.499208 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7403, lateral-2: 0.7625, lateral-3: 0.8389, lateral-4: 0.9601, lateral-5: 0.8865, epsilon: 0.0000]
2025-11-09 00:33:45.231017 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7389, lateral-2: 0.7402, lateral-3: 0.8224, lateral-4: 0.9507, lateral-5: 0.8742, epsilon: 0.0000]
2025-11-09 00:33:46.991931 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7376, lateral-2: 0.7213, lateral-3: 0.8064, lateral-4: 0.9274, lateral-5: 0.8548, epsilon: 0.0000]
2025-11-09 00:33:48.751688 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7364, lateral-2: 0.7011, lateral-3: 0.7889, lateral-4: 0.9178, lateral-5: 0.8301, epsilon: 0.0000]
