Backbone loading: Res2Net50
Converting BatchNorm to GroupNorm for fair comparison with DP models
Model architecture converted to GroupNorm
Not loading weights from weights file
###################################################################### 
Start Training (Inf_Net-GroupNorm)
Network: Inf_Net
Batch Size: 24
DP: Disabled
Morphology: Disabled
Architecture: GroupNorm (no DP)
Save Path: ./Snapshots/save_weights/Inf-Net_GroupNorm/batch_24/run_3
Run: 3
Namespace(network='Inf_Net', epoch=100, lr=0.0001, batchsize=24, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, init_features=32, n_classes=1, in_channels=3, backbone='Res2Net50', deep_supervision=False, train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=False, epsilon=8.0, max_grad_norm=1.2, delta=1e-05, clipping_strategy='base', enable_morphology=False, morph_operation='both', morph_kernel_size=3, device='cuda')
 ######################################################################
2025-11-09 00:32:44.294147 Epoch [001/100], Step [0003/0003], [lateral-edge: 0.7644, lateral-2: 1.3344, lateral-3: 1.3779, lateral-4: 1.4604, lateral-5: 1.4466, epsilon: 0.0000]
2025-11-09 00:32:45.753047 Epoch [002/100], Step [0003/0003], [lateral-edge: 0.7621, lateral-2: 1.0319, lateral-3: 1.1181, lateral-4: 1.2475, lateral-5: 1.2952, epsilon: 0.0000]
2025-11-09 00:32:47.215872 Epoch [003/100], Step [0003/0003], [lateral-edge: 0.7519, lateral-2: 1.0811, lateral-3: 1.1546, lateral-4: 1.2845, lateral-5: 1.2514, epsilon: 0.0000]
2025-11-09 00:32:48.704350 Epoch [004/100], Step [0003/0003], [lateral-edge: 0.7485, lateral-2: 1.0110, lateral-3: 1.0637, lateral-4: 1.1528, lateral-5: 1.1167, epsilon: 0.0000]
2025-11-09 00:32:50.171917 Epoch [005/100], Step [0003/0003], [lateral-edge: 0.7449, lateral-2: 0.9397, lateral-3: 0.9976, lateral-4: 1.1048, lateral-5: 1.0888, epsilon: 0.0000]
2025-11-09 00:32:51.633151 Epoch [006/100], Step [0003/0003], [lateral-edge: 0.7399, lateral-2: 0.9478, lateral-3: 1.0133, lateral-4: 1.1172, lateral-5: 1.0783, epsilon: 0.0000]
2025-11-09 00:32:53.130522 Epoch [007/100], Step [0003/0003], [lateral-edge: 0.7392, lateral-2: 0.8653, lateral-3: 0.9187, lateral-4: 1.0283, lateral-5: 0.9909, epsilon: 0.0000]
2025-11-09 00:32:54.611336 Epoch [008/100], Step [0003/0003], [lateral-edge: 0.7325, lateral-2: 0.7941, lateral-3: 0.8954, lateral-4: 1.0488, lateral-5: 0.9517, epsilon: 0.0000]
2025-11-09 00:32:56.109111 Epoch [009/100], Step [0003/0003], [lateral-edge: 0.7308, lateral-2: 0.7881, lateral-3: 0.8603, lateral-4: 0.9788, lateral-5: 0.9035, epsilon: 0.0000]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_GroupNorm/batch_24/run_3/Inf-Net-10.pth
2025-11-09 00:32:57.782709 Epoch [010/100], Step [0003/0003], [lateral-edge: 0.7261, lateral-2: 0.8554, lateral-3: 0.9444, lateral-4: 1.0801, lateral-5: 0.9909, epsilon: 0.0000]
2025-11-09 00:32:59.331211 Epoch [011/100], Step [0003/0003], [lateral-edge: 0.7250, lateral-2: 0.8413, lateral-3: 0.9167, lateral-4: 1.0430, lateral-5: 0.9592, epsilon: 0.0000]
2025-11-09 00:33:00.873522 Epoch [012/100], Step [0003/0003], [lateral-edge: 0.7238, lateral-2: 0.7796, lateral-3: 0.8553, lateral-4: 0.9797, lateral-5: 0.8739, epsilon: 0.0000]
2025-11-09 00:33:02.385406 Epoch [013/100], Step [0003/0003], [lateral-edge: 0.7210, lateral-2: 0.7450, lateral-3: 0.8382, lateral-4: 0.9717, lateral-5: 0.8710, epsilon: 0.0000]
2025-11-09 00:33:03.909375 Epoch [014/100], Step [0003/0003], [lateral-edge: 0.7159, lateral-2: 0.7271, lateral-3: 0.8247, lateral-4: 0.9576, lateral-5: 0.8557, epsilon: 0.0000]
2025-11-09 00:33:05.445368 Epoch [015/100], Step [0003/0003], [lateral-edge: 0.7159, lateral-2: 0.6747, lateral-3: 0.7810, lateral-4: 0.9212, lateral-5: 0.7868, epsilon: 0.0000]
2025-11-09 00:33:06.962890 Epoch [016/100], Step [0003/0003], [lateral-edge: 0.7143, lateral-2: 0.7051, lateral-3: 0.7703, lateral-4: 0.8790, lateral-5: 0.7636, epsilon: 0.0000]
2025-11-09 00:33:08.489851 Epoch [017/100], Step [0003/0003], [lateral-edge: 0.7112, lateral-2: 0.7285, lateral-3: 0.8348, lateral-4: 0.9788, lateral-5: 0.8219, epsilon: 0.0000]
2025-11-09 00:33:10.009391 Epoch [018/100], Step [0003/0003], [lateral-edge: 0.7119, lateral-2: 0.6916, lateral-3: 0.7768, lateral-4: 0.8961, lateral-5: 0.7784, epsilon: 0.0000]
2025-11-09 00:33:11.540184 Epoch [019/100], Step [0003/0003], [lateral-edge: 0.7089, lateral-2: 0.6778, lateral-3: 0.7673, lateral-4: 0.9184, lateral-5: 0.7670, epsilon: 0.0000]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_GroupNorm/batch_24/run_3/Inf-Net-20.pth
2025-11-09 00:33:13.120178 Epoch [020/100], Step [0003/0003], [lateral-edge: 0.7062, lateral-2: 0.6250, lateral-3: 0.7244, lateral-4: 0.8644, lateral-5: 0.7133, epsilon: 0.0000]
2025-11-09 00:33:14.583270 Epoch [021/100], Step [0003/0003], [lateral-edge: 0.7045, lateral-2: 0.6532, lateral-3: 0.7631, lateral-4: 0.9031, lateral-5: 0.7522, epsilon: 0.0000]
