Backbone loading: Res2Net50
Converting BatchNorm to GroupNorm for fair comparison with DP models
Model architecture converted to GroupNorm
Not loading weights from weights file
###################################################################### 
Start Training (Inf_Net-GroupNorm)
Network: Inf_Net
Batch Size: 24
DP: Disabled
Morphology: both
Architecture: GroupNorm (no DP)
Save Path: ./Snapshots/save_weights/Inf-Net_Morph_GroupNorm/both/batch_24/run_3
Run: 3
Namespace(network='Inf_Net', epoch=100, lr=0.0001, batchsize=24, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, init_features=32, n_classes=1, in_channels=3, backbone='Res2Net50', deep_supervision=False, train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=False, epsilon=8.0, max_grad_norm=1.2, delta=1e-05, clipping_strategy='base', enable_morphology=True, morph_operation='both', morph_kernel_size=3, device='cuda')
 ######################################################################
2025-11-09 00:32:44.591228 Epoch [001/100], Step [0003/0003], [lateral-edge: 0.7665, lateral-2: 1.3695, lateral-3: 1.4278, lateral-4: 1.4600, lateral-5: 1.4520, epsilon: 0.0000]
2025-11-09 00:32:46.170014 Epoch [002/100], Step [0003/0003], [lateral-edge: 0.7586, lateral-2: 1.1342, lateral-3: 1.1635, lateral-4: 1.2469, lateral-5: 1.2538, epsilon: 0.0000]
2025-11-09 00:32:47.765939 Epoch [003/100], Step [0003/0003], [lateral-edge: 0.7549, lateral-2: 1.0421, lateral-3: 1.1229, lateral-4: 1.2558, lateral-5: 1.2514, epsilon: 0.0000]
2025-11-09 00:32:49.341821 Epoch [004/100], Step [0003/0003], [lateral-edge: 0.7478, lateral-2: 1.0023, lateral-3: 1.0574, lateral-4: 1.1740, lateral-5: 1.1679, epsilon: 0.0000]
2025-11-09 00:32:50.943877 Epoch [005/100], Step [0003/0003], [lateral-edge: 0.7418, lateral-2: 0.9491, lateral-3: 1.0404, lateral-4: 1.1893, lateral-5: 1.1398, epsilon: 0.0000]
2025-11-09 00:32:52.543540 Epoch [006/100], Step [0003/0003], [lateral-edge: 0.7382, lateral-2: 0.9412, lateral-3: 1.0068, lateral-4: 1.1313, lateral-5: 1.0994, epsilon: 0.0000]
2025-11-09 00:32:54.201878 Epoch [007/100], Step [0003/0003], [lateral-edge: 0.7313, lateral-2: 0.9049, lateral-3: 0.9844, lateral-4: 1.1240, lateral-5: 1.0837, epsilon: 0.0000]
2025-11-09 00:32:55.804033 Epoch [008/100], Step [0003/0003], [lateral-edge: 0.7321, lateral-2: 0.9373, lateral-3: 0.9860, lateral-4: 1.1291, lateral-5: 1.0781, epsilon: 0.0000]
2025-11-09 00:32:57.492025 Epoch [009/100], Step [0003/0003], [lateral-edge: 0.7278, lateral-2: 0.8795, lateral-3: 0.9484, lateral-4: 1.0930, lateral-5: 1.0267, epsilon: 0.0000]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph_GroupNorm/both/batch_24/run_3/Inf-Net-10.pth
2025-11-09 00:32:59.375217 Epoch [010/100], Step [0003/0003], [lateral-edge: 0.7249, lateral-2: 0.7729, lateral-3: 0.8579, lateral-4: 1.0006, lateral-5: 0.9425, epsilon: 0.0000]
