Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net/batch_32/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_morphology=False, morph_operation='close', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:18:51.988428 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7626, lateral-2: 1.5333, lateral-3: 1.5578, lateral-4: 1.5740, lateral-5: 1.5435]
2025-10-23 17:18:53.612501 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7508, lateral-2: 1.4198, lateral-3: 1.4413, lateral-4: 1.4979, lateral-5: 1.5232]
2025-10-23 17:18:55.224512 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7467, lateral-2: 1.3721, lateral-3: 1.4037, lateral-4: 1.4564, lateral-5: 1.5194]
2025-10-23 17:18:56.819801 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7426, lateral-2: 1.3418, lateral-3: 1.3819, lateral-4: 1.4448, lateral-5: 1.5156]
2025-10-23 17:18:58.433609 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7390, lateral-2: 1.3222, lateral-3: 1.3647, lateral-4: 1.4107, lateral-5: 1.5098]
2025-10-23 17:19:00.025885 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7359, lateral-2: 1.2808, lateral-3: 1.3266, lateral-4: 1.3962, lateral-5: 1.4927]
2025-10-23 17:19:01.625986 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7335, lateral-2: 1.2594, lateral-3: 1.3068, lateral-4: 1.3772, lateral-5: 1.4585]
2025-10-23 17:19:03.247131 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7313, lateral-2: 1.1898, lateral-3: 1.2373, lateral-4: 1.3132, lateral-5: 1.4538]
2025-10-23 17:19:04.818339 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7295, lateral-2: 1.0479, lateral-3: 1.1066, lateral-4: 1.1907, lateral-5: 1.5332]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/batch_32/run_2/Inf-Net-10.pth
2025-10-23 17:19:06.581994 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7280, lateral-2: 1.0289, lateral-3: 1.0842, lateral-4: 1.1733, lateral-5: 1.6093]
2025-10-23 17:19:08.203329 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7260, lateral-2: 0.9907, lateral-3: 1.0452, lateral-4: 1.1468, lateral-5: 1.5721]
2025-10-23 17:19:09.799358 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7242, lateral-2: 0.9613, lateral-3: 1.0234, lateral-4: 1.1249, lateral-5: 1.5426]
2025-10-23 17:19:11.427891 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7227, lateral-2: 0.9507, lateral-3: 1.0106, lateral-4: 1.1108, lateral-5: 1.5561]
2025-10-23 17:19:13.010837 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7209, lateral-2: 0.9160, lateral-3: 0.9784, lateral-4: 1.0879, lateral-5: 1.5460]
2025-10-23 17:19:14.621753 Epoch [015/100], Step [0002/0002], [lateral-edge: 0.7192, lateral-2: 0.8793, lateral-3: 0.9499, lateral-4: 1.0523, lateral-5: 1.5213]
2025-10-23 17:19:16.222677 Epoch [016/100], Step [0002/0002], [lateral-edge: 0.7178, lateral-2: 0.8456, lateral-3: 0.9165, lateral-4: 1.0324, lateral-5: 1.5300]
2025-10-23 17:19:17.841869 Epoch [017/100], Step [0002/0002], [lateral-edge: 0.7166, lateral-2: 0.8564, lateral-3: 0.9215, lateral-4: 1.0211, lateral-5: 1.4764]
2025-10-23 17:19:19.388460 Epoch [018/100], Step [0002/0002], [lateral-edge: 0.7148, lateral-2: 0.8227, lateral-3: 0.8928, lateral-4: 0.9984, lateral-5: 1.4801]
2025-10-23 17:19:21.004624 Epoch [019/100], Step [0002/0002], [lateral-edge: 0.7137, lateral-2: 0.8135, lateral-3: 0.8877, lateral-4: 1.0019, lateral-5: 1.4860]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/batch_32/run_2/Inf-Net-20.pth
2025-10-23 17:19:22.796609 Epoch [020/100], Step [0002/0002], [lateral-edge: 0.7121, lateral-2: 0.8153, lateral-3: 0.8929, lateral-4: 1.0028, lateral-5: 1.4418]
2025-10-23 17:19:24.383338 Epoch [021/100], Step [0002/0002], [lateral-edge: 0.7111, lateral-2: 0.7888, lateral-3: 0.8631, lateral-4: 0.9732, lateral-5: 1.4733]
2025-10-23 17:19:25.970379 Epoch [022/100], Step [0002/0002], [lateral-edge: 0.7096, lateral-2: 0.7450, lateral-3: 0.8324, lateral-4: 0.9606, lateral-5: 1.4448]
2025-10-23 17:19:27.537691 Epoch [023/100], Step [0002/0002], [lateral-edge: 0.7085, lateral-2: 0.7667, lateral-3: 0.8425, lateral-4: 0.9477, lateral-5: 1.3657]
2025-10-23 17:19:29.105731 Epoch [024/100], Step [0002/0002], [lateral-edge: 0.7079, lateral-2: 0.7407, lateral-3: 0.8224, lateral-4: 0.9307, lateral-5: 1.4043]
2025-10-23 17:19:30.656274 Epoch [025/100], Step [0002/0002], [lateral-edge: 0.7064, lateral-2: 0.7120, lateral-3: 0.8038, lateral-4: 0.9268, lateral-5: 1.4160]
2025-10-23 17:19:32.268416 Epoch [026/100], Step [0002/0002], [lateral-edge: 0.7053, lateral-2: 0.7190, lateral-3: 0.8118, lateral-4: 0.9286, lateral-5: 1.3789]
2025-10-23 17:19:33.822293 Epoch [027/100], Step [0002/0002], [lateral-edge: 0.7045, lateral-2: 0.7266, lateral-3: 0.8092, lateral-4: 0.9239, lateral-5: 1.3477]
2025-10-23 17:19:35.398678 Epoch [028/100], Step [0002/0002], [lateral-edge: 0.7042, lateral-2: 0.7036, lateral-3: 0.7947, lateral-4: 0.9096, lateral-5: 1.3207]
2025-10-23 17:19:36.974801 Epoch [029/100], Step [0002/0002], [lateral-edge: 0.7029, lateral-2: 0.6813, lateral-3: 0.7692, lateral-4: 0.8886, lateral-5: 1.3250]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/batch_32/run_2/Inf-Net-30.pth
2025-10-23 17:19:38.836594 Epoch [030/100], Step [0002/0002], [lateral-edge: 0.7021, lateral-2: 0.6879, lateral-3: 0.7816, lateral-4: 0.8994, lateral-5: 1.3101]
2025-10-23 17:19:40.417431 Epoch [031/100], Step [0002/0002], [lateral-edge: 0.7017, lateral-2: 0.6677, lateral-3: 0.7612, lateral-4: 0.8790, lateral-5: 1.2905]
2025-10-23 17:19:41.972889 Epoch [032/100], Step [0002/0002], [lateral-edge: 0.7009, lateral-2: 0.6656, lateral-3: 0.7588, lateral-4: 0.8802, lateral-5: 1.2652]
2025-10-23 17:19:43.551350 Epoch [033/100], Step [0002/0002], [lateral-edge: 0.7002, lateral-2: 0.6654, lateral-3: 0.7580, lateral-4: 0.8803, lateral-5: 1.2703]
2025-10-23 17:19:45.113362 Epoch [034/100], Step [0002/0002], [lateral-edge: 0.6996, lateral-2: 0.6668, lateral-3: 0.7632, lateral-4: 0.8804, lateral-5: 1.2019]
