Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:17:53.745406 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7859, lateral-2: 1.6293, lateral-3: 1.6225, lateral-4: 1.5891, lateral-5: 1.5231, epsilon: 5.1851]
2025-10-24 12:17:56.664137 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7861, lateral-2: 1.6055, lateral-3: 1.5953, lateral-4: 1.5648, lateral-5: 1.5210, epsilon: 7.8193]
2025-10-24 12:17:59.621845 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7862, lateral-2: 1.5850, lateral-3: 1.5723, lateral-4: 1.5441, lateral-5: 1.5186, epsilon: 10.0077]
2025-10-24 12:18:02.666660 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7861, lateral-2: 1.5691, lateral-3: 1.5540, lateral-4: 1.5280, lateral-5: 1.5158, epsilon: 11.9630]
2025-10-24 12:18:05.620728 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7860, lateral-2: 1.5564, lateral-3: 1.5397, lateral-4: 1.5171, lateral-5: 1.5133, epsilon: 13.7684]
2025-10-24 12:18:08.600435 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7859, lateral-2: 1.5458, lateral-3: 1.5286, lateral-4: 1.5098, lateral-5: 1.5109, epsilon: 15.4668]
2025-10-24 12:18:11.573682 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7857, lateral-2: 1.5364, lateral-3: 1.5191, lateral-4: 1.5039, lateral-5: 1.5088, epsilon: 17.0838]
2025-10-24 12:18:14.530638 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7855, lateral-2: 1.5274, lateral-3: 1.5107, lateral-4: 1.4985, lateral-5: 1.5069, epsilon: 18.6363]
2025-10-24 12:18:17.631355 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7852, lateral-2: 1.5188, lateral-3: 1.5033, lateral-4: 1.4933, lateral-5: 1.5051, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_3/Inf-Net-10.pth
2025-10-24 12:18:20.766631 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7849, lateral-2: 1.5111, lateral-3: 1.4965, lateral-4: 1.4884, lateral-5: 1.5032, epsilon: 21.5910]
2025-10-24 12:18:23.758480 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7846, lateral-2: 1.5040, lateral-3: 1.4904, lateral-4: 1.4838, lateral-5: 1.5014, epsilon: 23.0082]
2025-10-24 12:18:26.740349 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7843, lateral-2: 1.4972, lateral-3: 1.4846, lateral-4: 1.4796, lateral-5: 1.4995, epsilon: 24.3925]
2025-10-24 12:18:29.842683 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7840, lateral-2: 1.4909, lateral-3: 1.4792, lateral-4: 1.4754, lateral-5: 1.4976, epsilon: 25.7479]
2025-10-24 12:18:32.850577 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7837, lateral-2: 1.4851, lateral-3: 1.4741, lateral-4: 1.4718, lateral-5: 1.4958, epsilon: 27.0777]
2025-10-24 12:18:35.807723 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7835, lateral-2: 1.4795, lateral-3: 1.4693, lateral-4: 1.4684, lateral-5: 1.4939, epsilon: 28.3845]
2025-10-24 12:18:38.815729 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7832, lateral-2: 1.4740, lateral-3: 1.4646, lateral-4: 1.4649, lateral-5: 1.4920, epsilon: 29.6705]
2025-10-24 12:18:41.797663 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7829, lateral-2: 1.4681, lateral-3: 1.4600, lateral-4: 1.4614, lateral-5: 1.4901, epsilon: 30.9378]
2025-10-24 12:18:44.911095 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7826, lateral-2: 1.4620, lateral-3: 1.4554, lateral-4: 1.4579, lateral-5: 1.4882, epsilon: 32.1878]
2025-10-24 12:18:47.921463 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7822, lateral-2: 1.4559, lateral-3: 1.4509, lateral-4: 1.4548, lateral-5: 1.4864, epsilon: 33.4220]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_3/Inf-Net-20.pth
2025-10-24 12:18:51.114417 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7819, lateral-2: 1.4501, lateral-3: 1.4466, lateral-4: 1.4518, lateral-5: 1.4846, epsilon: 34.6416]
2025-10-24 12:18:54.148753 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7816, lateral-2: 1.4443, lateral-3: 1.4421, lateral-4: 1.4487, lateral-5: 1.4827, epsilon: 35.8478]
2025-10-24 12:18:57.298183 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7812, lateral-2: 1.4387, lateral-3: 1.4378, lateral-4: 1.4455, lateral-5: 1.4809, epsilon: 37.0413]
2025-10-24 12:19:00.376406 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7808, lateral-2: 1.4333, lateral-3: 1.4337, lateral-4: 1.4424, lateral-5: 1.4790, epsilon: 38.2232]
2025-10-24 12:19:03.436646 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7804, lateral-2: 1.4280, lateral-3: 1.4295, lateral-4: 1.4393, lateral-5: 1.4770, epsilon: 39.3941]
2025-10-24 12:19:06.446128 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7800, lateral-2: 1.4228, lateral-3: 1.4254, lateral-4: 1.4362, lateral-5: 1.4752, epsilon: 40.5547]
2025-10-24 12:19:09.438636 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7796, lateral-2: 1.4178, lateral-3: 1.4213, lateral-4: 1.4331, lateral-5: 1.4734, epsilon: 41.7056]
2025-10-24 12:19:12.670702 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7792, lateral-2: 1.4130, lateral-3: 1.4173, lateral-4: 1.4302, lateral-5: 1.4717, epsilon: 42.8474]
2025-10-24 12:19:15.709281 Epoch [028/100], Step [0001/0001], [lateral-edge: 0.7789, lateral-2: 1.4083, lateral-3: 1.4133, lateral-4: 1.4272, lateral-5: 1.4699, epsilon: 43.9805]
2025-10-24 12:19:18.744873 Epoch [029/100], Step [0001/0001], [lateral-edge: 0.7786, lateral-2: 1.4036, lateral-3: 1.4094, lateral-4: 1.4242, lateral-5: 1.4682, epsilon: 45.1054]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_3/Inf-Net-30.pth
