Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_2/noise_multiplier_1.5
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:58:14.161196 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7750, lateral-2: 1.6766, lateral-3: 1.7440, lateral-4: 1.6377, lateral-5: 1.5790, epsilon: 5.1851]
2025-10-24 13:58:17.187166 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7750, lateral-2: 1.6576, lateral-3: 1.7223, lateral-4: 1.6208, lateral-5: 1.5758, epsilon: 7.8193]
2025-10-24 13:58:20.184714 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7751, lateral-2: 1.6403, lateral-3: 1.7016, lateral-4: 1.6049, lateral-5: 1.5720, epsilon: 10.0077]
2025-10-24 13:58:23.313677 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7751, lateral-2: 1.6252, lateral-3: 1.6826, lateral-4: 1.5906, lateral-5: 1.5679, epsilon: 11.9630]
2025-10-24 13:58:26.361282 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7750, lateral-2: 1.6125, lateral-3: 1.6662, lateral-4: 1.5788, lateral-5: 1.5639, epsilon: 13.7684]
2025-10-24 13:58:29.383415 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7750, lateral-2: 1.6015, lateral-3: 1.6516, lateral-4: 1.5685, lateral-5: 1.5603, epsilon: 15.4668]
2025-10-24 13:58:32.418441 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7749, lateral-2: 1.5917, lateral-3: 1.6381, lateral-4: 1.5592, lateral-5: 1.5568, epsilon: 17.0838]
2025-10-24 13:58:35.453957 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7749, lateral-2: 1.5828, lateral-3: 1.6259, lateral-4: 1.5508, lateral-5: 1.5536, epsilon: 18.6363]
2025-10-24 13:58:38.621103 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7747, lateral-2: 1.5749, lateral-3: 1.6151, lateral-4: 1.5433, lateral-5: 1.5505, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_2/noise_multiplier_1.5/Inf-Net-10.pth
2025-10-24 13:58:41.905168 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7745, lateral-2: 1.5675, lateral-3: 1.6054, lateral-4: 1.5364, lateral-5: 1.5472, epsilon: 21.5910]
2025-10-24 13:58:44.959769 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7743, lateral-2: 1.5606, lateral-3: 1.5970, lateral-4: 1.5305, lateral-5: 1.5439, epsilon: 23.0082]
2025-10-24 13:58:47.978480 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7740, lateral-2: 1.5542, lateral-3: 1.5891, lateral-4: 1.5253, lateral-5: 1.5410, epsilon: 24.3925]
2025-10-24 13:58:51.180040 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7738, lateral-2: 1.5483, lateral-3: 1.5821, lateral-4: 1.5203, lateral-5: 1.5383, epsilon: 25.7479]
2025-10-24 13:58:54.264083 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7736, lateral-2: 1.5423, lateral-3: 1.5752, lateral-4: 1.5154, lateral-5: 1.5355, epsilon: 27.0777]
2025-10-24 13:58:57.312546 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7733, lateral-2: 1.5367, lateral-3: 1.5687, lateral-4: 1.5108, lateral-5: 1.5327, epsilon: 28.3845]
2025-10-24 13:59:00.381435 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7729, lateral-2: 1.5315, lateral-3: 1.5629, lateral-4: 1.5066, lateral-5: 1.5301, epsilon: 29.6705]
2025-10-24 13:59:03.435211 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7726, lateral-2: 1.5266, lateral-3: 1.5574, lateral-4: 1.5025, lateral-5: 1.5275, epsilon: 30.9378]
2025-10-24 13:59:06.680132 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7723, lateral-2: 1.5218, lateral-3: 1.5522, lateral-4: 1.4986, lateral-5: 1.5251, epsilon: 32.1878]
2025-10-24 13:59:09.798242 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7720, lateral-2: 1.5170, lateral-3: 1.5469, lateral-4: 1.4948, lateral-5: 1.5228, epsilon: 33.4220]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_2/noise_multiplier_1.5/Inf-Net-20.pth
2025-10-24 13:59:13.224953 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7717, lateral-2: 1.5126, lateral-3: 1.5419, lateral-4: 1.4913, lateral-5: 1.5208, epsilon: 34.6416]
2025-10-24 13:59:16.377555 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7714, lateral-2: 1.5083, lateral-3: 1.5368, lateral-4: 1.4879, lateral-5: 1.5185, epsilon: 35.8478]
2025-10-24 13:59:19.576031 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7711, lateral-2: 1.5040, lateral-3: 1.5318, lateral-4: 1.4844, lateral-5: 1.5161, epsilon: 37.0413]
2025-10-24 13:59:22.688820 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7708, lateral-2: 1.4999, lateral-3: 1.5269, lateral-4: 1.4806, lateral-5: 1.5141, epsilon: 38.2232]
2025-10-24 13:59:25.816735 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7704, lateral-2: 1.4960, lateral-3: 1.5221, lateral-4: 1.4769, lateral-5: 1.5121, epsilon: 39.3941]
2025-10-24 13:59:28.898970 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7701, lateral-2: 1.4925, lateral-3: 1.5175, lateral-4: 1.4736, lateral-5: 1.5101, epsilon: 40.5547]
2025-10-24 13:59:31.991185 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7698, lateral-2: 1.4892, lateral-3: 1.5131, lateral-4: 1.4701, lateral-5: 1.5082, epsilon: 41.7056]
2025-10-24 13:59:35.336490 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7695, lateral-2: 1.4858, lateral-3: 1.5090, lateral-4: 1.4670, lateral-5: 1.5063, epsilon: 42.8474]
2025-10-24 13:59:38.398672 Epoch [028/100], Step [0001/0001], [lateral-edge: 0.7691, lateral-2: 1.4823, lateral-3: 1.5052, lateral-4: 1.4639, lateral-5: 1.5043, epsilon: 43.9805]
2025-10-24 13:59:41.490166 Epoch [029/100], Step [0001/0001], [lateral-edge: 0.7688, lateral-2: 1.4788, lateral-3: 1.5016, lateral-4: 1.4611, lateral-5: 1.5024, epsilon: 45.1054]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_2/noise_multiplier_1.5/Inf-Net-30.pth
2025-10-24 13:59:45.043193 Epoch [030/100], Step [0001/0001], [lateral-edge: 0.7685, lateral-2: 1.4754, lateral-3: 1.4982, lateral-4: 1.4581, lateral-5: 1.5005, epsilon: 46.2226]
2025-10-24 13:59:48.233358 Epoch [031/100], Step [0001/0001], [lateral-edge: 0.7682, lateral-2: 1.4721, lateral-3: 1.4944, lateral-4: 1.4552, lateral-5: 1.4985, epsilon: 47.3324]
2025-10-24 13:59:51.544789 Epoch [032/100], Step [0001/0001], [lateral-edge: 0.7679, lateral-2: 1.4685, lateral-3: 1.4907, lateral-4: 1.4521, lateral-5: 1.4965, epsilon: 48.4352]
2025-10-24 13:59:54.649478 Epoch [033/100], Step [0001/0001], [lateral-edge: 0.7675, lateral-2: 1.4649, lateral-3: 1.4870, lateral-4: 1.4490, lateral-5: 1.4945, epsilon: 49.5313]
2025-10-24 13:59:57.826335 Epoch [034/100], Step [0001/0001], [lateral-edge: 0.7672, lateral-2: 1.4614, lateral-3: 1.4832, lateral-4: 1.4461, lateral-5: 1.4926, epsilon: 50.6210]
2025-10-24 14:00:01.070134 Epoch [035/100], Step [0001/0001], [lateral-edge: 0.7670, lateral-2: 1.4578, lateral-3: 1.4795, lateral-4: 1.4434, lateral-5: 1.4908, epsilon: 51.7045]
2025-10-24 14:00:04.328724 Epoch [036/100], Step [0001/0001], [lateral-edge: 0.7668, lateral-2: 1.4542, lateral-3: 1.4760, lateral-4: 1.4406, lateral-5: 1.4890, epsilon: 52.7822]
