Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_2/noise_multiplier_0.05
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:59:55.465485 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7955, lateral-2: 1.5365, lateral-3: 1.5583, lateral-4: 1.5058, lateral-5: 1.5166, epsilon: inf]
2025-10-24 13:59:59.776530 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7819, lateral-2: 1.4188, lateral-3: 1.4326, lateral-4: 1.4437, lateral-5: 1.4711, epsilon: inf]
2025-10-24 14:00:05.108796 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7662, lateral-2: 1.3259, lateral-3: 1.3554, lateral-4: 1.3900, lateral-5: 1.4348, epsilon: inf]
2025-10-24 14:00:12.049859 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7649, lateral-2: 1.2519, lateral-3: 1.2844, lateral-4: 1.3456, lateral-5: 1.4014, epsilon: inf]
2025-10-24 14:00:20.029780 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7649, lateral-2: 1.1950, lateral-3: 1.2253, lateral-4: 1.3048, lateral-5: 1.3713, epsilon: inf]
2025-10-24 14:00:29.825272 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7630, lateral-2: 1.1423, lateral-3: 1.1788, lateral-4: 1.2714, lateral-5: 1.3459, epsilon: inf]
2025-10-24 14:00:41.689398 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7603, lateral-2: 1.0975, lateral-3: 1.1460, lateral-4: 1.2476, lateral-5: 1.3230, epsilon: inf]
2025-10-24 14:01:04.786134 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7580, lateral-2: 1.0646, lateral-3: 1.1221, lateral-4: 1.2279, lateral-5: 1.2971, epsilon: inf]
2025-10-24 14:01:20.873539 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7569, lateral-2: 1.0414, lateral-3: 1.1039, lateral-4: 1.2099, lateral-5: 1.2681, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_2/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 14:01:40.301175 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7562, lateral-2: 1.0226, lateral-3: 1.0872, lateral-4: 1.1910, lateral-5: 1.2382, epsilon: inf]
2025-10-24 14:02:01.964566 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7550, lateral-2: 1.0058, lateral-3: 1.0680, lateral-4: 1.1699, lateral-5: 1.2114, epsilon: inf]
2025-10-24 14:02:24.949094 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7536, lateral-2: 0.9912, lateral-3: 1.0500, lateral-4: 1.1507, lateral-5: 1.1894, epsilon: inf]
2025-10-24 14:02:57.321657 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7525, lateral-2: 0.9775, lateral-3: 1.0348, lateral-4: 1.1341, lateral-5: 1.1704, epsilon: inf]
2025-10-24 14:03:26.995363 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7516, lateral-2: 0.9641, lateral-3: 1.0205, lateral-4: 1.1192, lateral-5: 1.1522, epsilon: inf]
2025-10-24 14:04:01.658365 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7507, lateral-2: 0.9515, lateral-3: 1.0064, lateral-4: 1.1041, lateral-5: 1.1338, epsilon: inf]
2025-10-24 14:04:38.243011 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7498, lateral-2: 0.9397, lateral-3: 0.9932, lateral-4: 1.0889, lateral-5: 1.1166, epsilon: inf]
2025-10-24 14:05:12.399717 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7491, lateral-2: 0.9277, lateral-3: 0.9809, lateral-4: 1.0751, lateral-5: 1.1010, epsilon: inf]
2025-10-24 14:05:56.438452 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7484, lateral-2: 0.9154, lateral-3: 0.9695, lateral-4: 1.0629, lateral-5: 1.0871, epsilon: inf]
Training completed at Fri Oct 24 14:06:32 CEST 2025
