Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:38:05.085026 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7716, lateral-2: 1.7113, lateral-3: 1.7175, lateral-4: 1.6774, lateral-5: 1.5617, epsilon: 5.1851]
2025-10-24 12:38:08.176575 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7715, lateral-2: 1.6611, lateral-3: 1.6658, lateral-4: 1.6381, lateral-5: 1.5572, epsilon: 7.8193]
2025-10-24 12:38:11.236356 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7714, lateral-2: 1.6223, lateral-3: 1.6215, lateral-4: 1.5975, lateral-5: 1.5533, epsilon: 10.0077]
2025-10-24 12:38:14.447144 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7713, lateral-2: 1.5957, lateral-3: 1.5892, lateral-4: 1.5648, lateral-5: 1.5494, epsilon: 11.9630]
2025-10-24 12:38:17.557427 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7712, lateral-2: 1.5774, lateral-3: 1.5673, lateral-4: 1.5445, lateral-5: 1.5456, epsilon: 13.7684]
2025-10-24 12:38:20.596960 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7711, lateral-2: 1.5646, lateral-3: 1.5534, lateral-4: 1.5346, lateral-5: 1.5420, epsilon: 15.4668]
2025-10-24 12:38:23.669910 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7709, lateral-2: 1.5542, lateral-3: 1.5433, lateral-4: 1.5290, lateral-5: 1.5387, epsilon: 17.0838]
2025-10-24 12:38:26.716544 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7708, lateral-2: 1.5447, lateral-3: 1.5349, lateral-4: 1.5238, lateral-5: 1.5355, epsilon: 18.6363]
2025-10-24 12:38:29.934434 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7706, lateral-2: 1.5361, lateral-3: 1.5274, lateral-4: 1.5180, lateral-5: 1.5323, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_3/Inf-Net-10.pth
2025-10-24 12:38:33.146256 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7704, lateral-2: 1.5280, lateral-3: 1.5207, lateral-4: 1.5117, lateral-5: 1.5292, epsilon: 21.5910]
2025-10-24 12:38:36.222437 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7703, lateral-2: 1.5205, lateral-3: 1.5149, lateral-4: 1.5049, lateral-5: 1.5263, epsilon: 23.0082]
2025-10-24 12:38:39.268161 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7702, lateral-2: 1.5135, lateral-3: 1.5097, lateral-4: 1.4982, lateral-5: 1.5235, epsilon: 24.3925]
2025-10-24 12:38:42.506549 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7701, lateral-2: 1.5071, lateral-3: 1.5051, lateral-4: 1.4922, lateral-5: 1.5208, epsilon: 25.7479]
2025-10-24 12:38:45.587833 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7700, lateral-2: 1.5006, lateral-3: 1.5006, lateral-4: 1.4869, lateral-5: 1.5181, epsilon: 27.0777]
2025-10-24 12:38:48.652175 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7698, lateral-2: 1.4941, lateral-3: 1.4957, lateral-4: 1.4826, lateral-5: 1.5153, epsilon: 28.3845]
2025-10-24 12:38:51.701605 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7697, lateral-2: 1.4874, lateral-3: 1.4909, lateral-4: 1.4787, lateral-5: 1.5123, epsilon: 29.6705]
2025-10-24 12:38:54.799821 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7695, lateral-2: 1.4808, lateral-3: 1.4861, lateral-4: 1.4751, lateral-5: 1.5094, epsilon: 30.9378]
2025-10-24 12:38:58.017235 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7692, lateral-2: 1.4742, lateral-3: 1.4816, lateral-4: 1.4715, lateral-5: 1.5066, epsilon: 32.1878]
2025-10-24 12:39:01.140208 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7689, lateral-2: 1.4678, lateral-3: 1.4771, lateral-4: 1.4681, lateral-5: 1.5040, epsilon: 33.4220]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_3/Inf-Net-20.pth
2025-10-24 12:39:04.364971 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7688, lateral-2: 1.4615, lateral-3: 1.4726, lateral-4: 1.4649, lateral-5: 1.5012, epsilon: 34.6416]
2025-10-24 12:39:07.482652 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7686, lateral-2: 1.4554, lateral-3: 1.4681, lateral-4: 1.4614, lateral-5: 1.4987, epsilon: 35.8478]
2025-10-24 12:39:10.697966 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7685, lateral-2: 1.4494, lateral-3: 1.4638, lateral-4: 1.4579, lateral-5: 1.4961, epsilon: 37.0413]
2025-10-24 12:39:13.869116 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7683, lateral-2: 1.4437, lateral-3: 1.4593, lateral-4: 1.4543, lateral-5: 1.4935, epsilon: 38.2232]
2025-10-24 12:39:17.004662 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7681, lateral-2: 1.4378, lateral-3: 1.4548, lateral-4: 1.4506, lateral-5: 1.4908, epsilon: 39.3941]
2025-10-24 12:39:20.101301 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7679, lateral-2: 1.4324, lateral-3: 1.4506, lateral-4: 1.4471, lateral-5: 1.4883, epsilon: 40.5547]
2025-10-24 12:39:23.227100 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7676, lateral-2: 1.4268, lateral-3: 1.4464, lateral-4: 1.4438, lateral-5: 1.4860, epsilon: 41.7056]
2025-10-24 12:39:26.636962 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7674, lateral-2: 1.4211, lateral-3: 1.4421, lateral-4: 1.4406, lateral-5: 1.4837, epsilon: 42.8474]
2025-10-24 12:39:29.739026 Epoch [028/100], Step [0001/0001], [lateral-edge: 0.7672, lateral-2: 1.4157, lateral-3: 1.4379, lateral-4: 1.4372, lateral-5: 1.4814, epsilon: 43.9805]
2025-10-24 12:39:32.848363 Epoch [029/100], Step [0001/0001], [lateral-edge: 0.7670, lateral-2: 1.4104, lateral-3: 1.4338, lateral-4: 1.4337, lateral-5: 1.4790, epsilon: 45.1054]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_3/Inf-Net-30.pth
2025-10-24 12:39:36.190078 Epoch [030/100], Step [0001/0001], [lateral-edge: 0.7668, lateral-2: 1.4052, lateral-3: 1.4299, lateral-4: 1.4299, lateral-5: 1.4767, epsilon: 46.2226]
2025-10-24 12:39:39.365086 Epoch [031/100], Step [0001/0001], [lateral-edge: 0.7666, lateral-2: 1.4002, lateral-3: 1.4259, lateral-4: 1.4263, lateral-5: 1.4742, epsilon: 47.3324]
2025-10-24 12:39:42.684908 Epoch [032/100], Step [0001/0001], [lateral-edge: 0.7665, lateral-2: 1.3955, lateral-3: 1.4221, lateral-4: 1.4229, lateral-5: 1.4717, epsilon: 48.4352]
2025-10-24 12:39:45.809119 Epoch [033/100], Step [0001/0001], [lateral-edge: 0.7663, lateral-2: 1.3907, lateral-3: 1.4181, lateral-4: 1.4196, lateral-5: 1.4691, epsilon: 49.5313]
2025-10-24 12:39:48.975330 Epoch [034/100], Step [0001/0001], [lateral-edge: 0.7661, lateral-2: 1.3862, lateral-3: 1.4142, lateral-4: 1.4162, lateral-5: 1.4666, epsilon: 50.6210]
2025-10-24 12:39:52.202408 Epoch [035/100], Step [0001/0001], [lateral-edge: 0.7659, lateral-2: 1.3816, lateral-3: 1.4102, lateral-4: 1.4127, lateral-5: 1.4641, epsilon: 51.7045]
2025-10-24 12:39:55.474412 Epoch [036/100], Step [0001/0001], [lateral-edge: 0.7657, lateral-2: 1.3771, lateral-3: 1.4061, lateral-4: 1.4091, lateral-5: 1.4617, epsilon: 52.7822]
2025-10-24 12:39:58.772294 Epoch [037/100], Step [0001/0001], [lateral-edge: 0.7656, lateral-2: 1.3726, lateral-3: 1.4021, lateral-4: 1.4058, lateral-5: 1.4594, epsilon: 53.8542]
2025-10-24 12:40:01.994266 Epoch [038/100], Step [0001/0001], [lateral-edge: 0.7654, lateral-2: 1.3681, lateral-3: 1.3982, lateral-4: 1.4025, lateral-5: 1.4571, epsilon: 54.9209]
2025-10-24 12:40:05.234998 Epoch [039/100], Step [0001/0001], [lateral-edge: 0.7651, lateral-2: 1.3640, lateral-3: 1.3944, lateral-4: 1.3990, lateral-5: 1.4548, epsilon: 55.9824]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_3/Inf-Net-40.pth
2025-10-24 12:40:08.620302 Epoch [040/100], Step [0001/0001], [lateral-edge: 0.7649, lateral-2: 1.3599, lateral-3: 1.3906, lateral-4: 1.3953, lateral-5: 1.4525, epsilon: 57.0388]
2025-10-24 12:40:12.076467 Epoch [041/100], Step [0001/0001], [lateral-edge: 0.7647, lateral-2: 1.3558, lateral-3: 1.3868, lateral-4: 1.3917, lateral-5: 1.4502, epsilon: 58.0905]
2025-10-24 12:40:15.259420 Epoch [042/100], Step [0001/0001], [lateral-edge: 0.7645, lateral-2: 1.3517, lateral-3: 1.3830, lateral-4: 1.3883, lateral-5: 1.4480, epsilon: 59.1375]
2025-10-24 12:40:18.432230 Epoch [043/100], Step [0001/0001], [lateral-edge: 0.7642, lateral-2: 1.3478, lateral-3: 1.3793, lateral-4: 1.3851, lateral-5: 1.4458, epsilon: 60.1801]
2025-10-24 12:40:21.745593 Epoch [044/100], Step [0001/0001], [lateral-edge: 0.7640, lateral-2: 1.3438, lateral-3: 1.3758, lateral-4: 1.3820, lateral-5: 1.4436, epsilon: 61.2184]
2025-10-24 12:40:25.109203 Epoch [045/100], Step [0001/0001], [lateral-edge: 0.7638, lateral-2: 1.3398, lateral-3: 1.3720, lateral-4: 1.3791, lateral-5: 1.4416, epsilon: 62.2524]
2025-10-24 12:40:28.398571 Epoch [046/100], Step [0001/0001], [lateral-edge: 0.7636, lateral-2: 1.3357, lateral-3: 1.3683, lateral-4: 1.3764, lateral-5: 1.4395, epsilon: 63.2825]
2025-10-24 12:40:31.772637 Epoch [047/100], Step [0001/0001], [lateral-edge: 0.7634, lateral-2: 1.3317, lateral-3: 1.3646, lateral-4: 1.3737, lateral-5: 1.4374, epsilon: 64.3086]
2025-10-24 12:40:35.147344 Epoch [048/100], Step [0001/0001], [lateral-edge: 0.7632, lateral-2: 1.3276, lateral-3: 1.3608, lateral-4: 1.3711, lateral-5: 1.4352, epsilon: 65.3310]
2025-10-24 12:40:38.551860 Epoch [049/100], Step [0001/0001], [lateral-edge: 0.7630, lateral-2: 1.3235, lateral-3: 1.3571, lateral-4: 1.3683, lateral-5: 1.4332, epsilon: 66.3497]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_3/Inf-Net-50.pth
2025-10-24 12:40:42.014663 Epoch [050/100], Step [0001/0001], [lateral-edge: 0.7630, lateral-2: 1.3208, lateral-3: 1.3544, lateral-4: 1.3663, lateral-5: 1.4316, epsilon: 67.3649]
2025-10-24 12:40:45.231060 Epoch [051/100], Step [0001/0001], [lateral-edge: 0.7629, lateral-2: 1.3205, lateral-3: 1.3542, lateral-4: 1.3661, lateral-5: 1.4314, epsilon: 68.3766]
2025-10-24 12:40:48.477543 Epoch [052/100], Step [0001/0001], [lateral-edge: 0.7629, lateral-2: 1.3205, lateral-3: 1.3541, lateral-4: 1.3661, lateral-5: 1.4314, epsilon: 69.3850]
2025-10-24 12:40:51.880273 Epoch [053/100], Step [0001/0001], [lateral-edge: 0.7629, lateral-2: 1.3205, lateral-3: 1.3541, lateral-4: 1.3660, lateral-5: 1.4314, epsilon: 70.3901]
2025-10-24 12:40:55.302517 Epoch [054/100], Step [0001/0001], [lateral-edge: 0.7629, lateral-2: 1.3205, lateral-3: 1.3541, lateral-4: 1.3661, lateral-5: 1.4314, epsilon: 71.3920]
2025-10-24 12:40:58.732827 Epoch [055/100], Step [0001/0001], [lateral-edge: 0.7629, lateral-2: 1.3205, lateral-3: 1.3541, lateral-4: 1.3660, lateral-5: 1.4314, epsilon: 72.3909]
2025-10-24 12:41:02.031220 Epoch [056/100], Step [0001/0001], [lateral-edge: 0.7629, lateral-2: 1.3205, lateral-3: 1.3541, lateral-4: 1.3661, lateral-5: 1.4314, epsilon: 73.3868]
2025-10-24 12:41:05.531199 Epoch [057/100], Step [0001/0001], [lateral-edge: 0.7629, lateral-2: 1.3205, lateral-3: 1.3541, lateral-4: 1.3661, lateral-5: 1.4314, epsilon: 74.3798]
