Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_3/noise_multiplier_1.5
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 14:09:01.660392 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7710, lateral-2: 1.6746, lateral-3: 1.5940, lateral-4: 1.6064, lateral-5: 1.6139, epsilon: 5.1851]
2025-10-24 14:09:04.868502 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7708, lateral-2: 1.6496, lateral-3: 1.5729, lateral-4: 1.5803, lateral-5: 1.6068, epsilon: 7.8193]
2025-10-24 14:09:08.100995 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7706, lateral-2: 1.6315, lateral-3: 1.5581, lateral-4: 1.5605, lateral-5: 1.5991, epsilon: 10.0077]
2025-10-24 14:09:11.547645 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7704, lateral-2: 1.6183, lateral-3: 1.5472, lateral-4: 1.5455, lateral-5: 1.5913, epsilon: 11.9630]
2025-10-24 14:09:14.715165 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7702, lateral-2: 1.6081, lateral-3: 1.5393, lateral-4: 1.5343, lateral-5: 1.5841, epsilon: 13.7684]
2025-10-24 14:09:17.878932 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7699, lateral-2: 1.5996, lateral-3: 1.5327, lateral-4: 1.5256, lateral-5: 1.5779, epsilon: 15.4668]
2025-10-24 14:09:21.178329 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7695, lateral-2: 1.5919, lateral-3: 1.5265, lateral-4: 1.5186, lateral-5: 1.5719, epsilon: 17.0838]
2025-10-24 14:09:24.457637 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7690, lateral-2: 1.5846, lateral-3: 1.5208, lateral-4: 1.5124, lateral-5: 1.5660, epsilon: 18.6363]
2025-10-24 14:09:28.003499 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7685, lateral-2: 1.5773, lateral-3: 1.5153, lateral-4: 1.5068, lateral-5: 1.5609, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_3/noise_multiplier_1.5/Inf-Net-10.pth
2025-10-24 14:09:31.380728 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7679, lateral-2: 1.5702, lateral-3: 1.5102, lateral-4: 1.5021, lateral-5: 1.5561, epsilon: 21.5910]
2025-10-24 14:09:34.518950 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7674, lateral-2: 1.5633, lateral-3: 1.5051, lateral-4: 1.4977, lateral-5: 1.5515, epsilon: 23.0082]
2025-10-24 14:09:37.766018 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7669, lateral-2: 1.5566, lateral-3: 1.5002, lateral-4: 1.4939, lateral-5: 1.5469, epsilon: 24.3925]
2025-10-24 14:09:41.316738 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7665, lateral-2: 1.5499, lateral-3: 1.4952, lateral-4: 1.4901, lateral-5: 1.5423, epsilon: 25.7479]
2025-10-24 14:09:44.569509 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7662, lateral-2: 1.5428, lateral-3: 1.4902, lateral-4: 1.4865, lateral-5: 1.5378, epsilon: 27.0777]
2025-10-24 14:09:47.795030 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7658, lateral-2: 1.5360, lateral-3: 1.4853, lateral-4: 1.4827, lateral-5: 1.5334, epsilon: 28.3845]
2025-10-24 14:09:51.085059 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7654, lateral-2: 1.5296, lateral-3: 1.4804, lateral-4: 1.4792, lateral-5: 1.5293, epsilon: 29.6705]
2025-10-24 14:09:54.364292 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7651, lateral-2: 1.5231, lateral-3: 1.4755, lateral-4: 1.4757, lateral-5: 1.5253, epsilon: 30.9378]
2025-10-24 14:09:57.814330 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7646, lateral-2: 1.5165, lateral-3: 1.4706, lateral-4: 1.4723, lateral-5: 1.5213, epsilon: 32.1878]
2025-10-24 14:10:01.134765 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7641, lateral-2: 1.5100, lateral-3: 1.4660, lateral-4: 1.4688, lateral-5: 1.5175, epsilon: 33.4220]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_3/noise_multiplier_1.5/Inf-Net-20.pth
2025-10-24 14:10:04.604877 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7637, lateral-2: 1.5039, lateral-3: 1.4618, lateral-4: 1.4654, lateral-5: 1.5140, epsilon: 34.6416]
2025-10-24 14:10:07.918294 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7634, lateral-2: 1.4981, lateral-3: 1.4577, lateral-4: 1.4621, lateral-5: 1.5104, epsilon: 35.8478]
2025-10-24 14:10:11.368378 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7630, lateral-2: 1.4923, lateral-3: 1.4535, lateral-4: 1.4590, lateral-5: 1.5070, epsilon: 37.0413]
2025-10-24 14:10:14.702553 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7627, lateral-2: 1.4871, lateral-3: 1.4494, lateral-4: 1.4559, lateral-5: 1.5037, epsilon: 38.2232]
2025-10-24 14:10:18.088769 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7625, lateral-2: 1.4818, lateral-3: 1.4453, lateral-4: 1.4527, lateral-5: 1.5006, epsilon: 39.3941]
2025-10-24 14:10:21.446249 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7623, lateral-2: 1.4766, lateral-3: 1.4414, lateral-4: 1.4494, lateral-5: 1.4977, epsilon: 40.5547]
2025-10-24 14:10:24.673091 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7621, lateral-2: 1.4716, lateral-3: 1.4374, lateral-4: 1.4464, lateral-5: 1.4949, epsilon: 41.7056]
2025-10-24 14:10:28.318985 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7618, lateral-2: 1.4665, lateral-3: 1.4333, lateral-4: 1.4433, lateral-5: 1.4921, epsilon: 42.8474]
