Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:39:35.607709 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7754, lateral-2: 1.5951, lateral-3: 1.6413, lateral-4: 1.5610, lateral-5: 1.5234, epsilon: inf]
2025-10-24 12:39:39.935365 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7737, lateral-2: 1.4486, lateral-3: 1.4418, lateral-4: 1.4409, lateral-5: 1.4647, epsilon: inf]
2025-10-24 12:39:45.219726 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7716, lateral-2: 1.3613, lateral-3: 1.3692, lateral-4: 1.3873, lateral-5: 1.4224, epsilon: inf]
2025-10-24 12:39:52.009054 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7701, lateral-2: 1.2609, lateral-3: 1.2955, lateral-4: 1.3413, lateral-5: 1.3822, epsilon: inf]
2025-10-24 12:39:59.956205 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7691, lateral-2: 1.1754, lateral-3: 1.2301, lateral-4: 1.3049, lateral-5: 1.3473, epsilon: inf]
2025-10-24 12:40:09.479952 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7683, lateral-2: 1.1295, lateral-3: 1.1783, lateral-4: 1.2686, lateral-5: 1.3187, epsilon: inf]
2025-10-24 12:40:21.101584 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7675, lateral-2: 1.1011, lateral-3: 1.1413, lateral-4: 1.2351, lateral-5: 1.2959, epsilon: inf]
2025-10-24 12:40:45.570075 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7666, lateral-2: 1.0758, lateral-3: 1.1149, lateral-4: 1.2104, lateral-5: 1.2736, epsilon: inf]
2025-10-24 12:41:01.842388 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7655, lateral-2: 1.0505, lateral-3: 1.0928, lateral-4: 1.1892, lateral-5: 1.2451, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_1/Inf-Net-10.pth
2025-10-24 12:41:20.628057 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7644, lateral-2: 1.0283, lateral-3: 1.0739, lateral-4: 1.1694, lateral-5: 1.2095, epsilon: inf]
2025-10-24 12:41:41.355037 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7631, lateral-2: 1.0100, lateral-3: 1.0573, lateral-4: 1.1510, lateral-5: 1.1757, epsilon: inf]
2025-10-24 12:42:03.804412 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7619, lateral-2: 0.9952, lateral-3: 1.0416, lateral-4: 1.1319, lateral-5: 1.1510, epsilon: inf]
2025-10-24 12:42:38.358800 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7608, lateral-2: 0.9825, lateral-3: 1.0260, lateral-4: 1.1123, lateral-5: 1.1355, epsilon: inf]
2025-10-24 12:43:07.307815 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7597, lateral-2: 0.9690, lateral-3: 1.0114, lateral-4: 1.0951, lateral-5: 1.1223, epsilon: inf]
2025-10-24 12:43:39.757952 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7587, lateral-2: 0.9544, lateral-3: 0.9984, lateral-4: 1.0817, lateral-5: 1.1063, epsilon: inf]
2025-10-24 12:44:14.537215 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7578, lateral-2: 0.9413, lateral-3: 0.9867, lateral-4: 1.0691, lateral-5: 1.0910, epsilon: inf]
2025-10-24 12:44:45.616903 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7570, lateral-2: 0.9295, lateral-3: 0.9750, lateral-4: 1.0557, lateral-5: 1.0783, epsilon: inf]
2025-10-24 12:45:27.797735 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7562, lateral-2: 0.9179, lateral-3: 0.9635, lateral-4: 1.0427, lateral-5: 1.0666, epsilon: inf]
Training completed at Fri Oct 24 12:45:50 CEST 2025
