Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_2/noise_multiplier_0.05
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 14:01:38.160349 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.8026, lateral-2: 1.7158, lateral-3: 1.6788, lateral-4: 1.5557, lateral-5: 1.5145, epsilon: inf]
2025-10-24 14:01:42.556558 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.8000, lateral-2: 1.4890, lateral-3: 1.4620, lateral-4: 1.4767, lateral-5: 1.4870, epsilon: inf]
2025-10-24 14:01:47.964263 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7870, lateral-2: 1.3939, lateral-3: 1.3904, lateral-4: 1.4039, lateral-5: 1.4561, epsilon: inf]
2025-10-24 14:01:54.824987 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7612, lateral-2: 1.2927, lateral-3: 1.3250, lateral-4: 1.3457, lateral-5: 1.4171, epsilon: inf]
2025-10-24 14:02:02.319134 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7564, lateral-2: 1.2098, lateral-3: 1.2594, lateral-4: 1.2982, lateral-5: 1.3742, epsilon: inf]
2025-10-24 14:02:11.993704 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7590, lateral-2: 1.1526, lateral-3: 1.1990, lateral-4: 1.2610, lateral-5: 1.3312, epsilon: inf]
2025-10-24 14:02:23.510467 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7577, lateral-2: 1.1207, lateral-3: 1.1576, lateral-4: 1.2302, lateral-5: 1.2913, epsilon: inf]
2025-10-24 14:02:44.530273 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7544, lateral-2: 1.0942, lateral-3: 1.1310, lateral-4: 1.2034, lateral-5: 1.2573, epsilon: inf]
2025-10-24 14:03:00.039060 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7510, lateral-2: 1.0660, lateral-3: 1.1093, lateral-4: 1.1816, lateral-5: 1.2297, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_2/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 14:03:18.944006 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7485, lateral-2: 1.0427, lateral-3: 1.0908, lateral-4: 1.1645, lateral-5: 1.2058, epsilon: inf]
2025-10-24 14:03:40.090868 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7470, lateral-2: 1.0211, lateral-3: 1.0739, lateral-4: 1.1503, lateral-5: 1.1833, epsilon: inf]
2025-10-24 14:04:02.167274 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7458, lateral-2: 1.0006, lateral-3: 1.0589, lateral-4: 1.1385, lateral-5: 1.1643, epsilon: inf]
2025-10-24 14:04:31.342761 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7444, lateral-2: 0.9834, lateral-3: 1.0446, lateral-4: 1.1272, lateral-5: 1.1496, epsilon: inf]
2025-10-24 14:04:58.848838 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7431, lateral-2: 0.9693, lateral-3: 1.0306, lateral-4: 1.1151, lateral-5: 1.1374, epsilon: inf]
2025-10-24 14:05:30.416460 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7419, lateral-2: 0.9570, lateral-3: 1.0171, lateral-4: 1.1030, lateral-5: 1.1226, epsilon: inf]
2025-10-24 14:06:04.536995 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7408, lateral-2: 0.9454, lateral-3: 1.0046, lateral-4: 1.0921, lateral-5: 1.1058, epsilon: inf]
2025-10-24 14:06:35.231854 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7397, lateral-2: 0.9347, lateral-3: 0.9935, lateral-4: 1.0817, lateral-5: 1.0915, epsilon: inf]
2025-10-24 14:07:16.379598 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7386, lateral-2: 0.9248, lateral-3: 0.9826, lateral-4: 1.0698, lateral-5: 1.0804, epsilon: inf]
Training completed at Fri Oct 24 14:07:37 CEST 2025
