Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_32/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:46:15.233542 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7655, lateral-2: 2.0186, lateral-3: 1.9072, lateral-4: 1.7189, lateral-5: 1.5989, epsilon: 4.5424]
2025-10-24 12:46:19.822146 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7663, lateral-2: 1.9191, lateral-3: 1.8228, lateral-4: 1.6695, lateral-5: 1.5927, epsilon: 6.4178]
2025-10-24 12:46:24.368818 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7651, lateral-2: 1.7988, lateral-3: 1.7340, lateral-4: 1.6174, lateral-5: 1.5777, epsilon: 7.9389]
2025-10-24 12:46:29.482810 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7666, lateral-2: 1.7655, lateral-3: 1.7082, lateral-4: 1.6026, lateral-5: 1.5894, epsilon: 9.2777]
2025-10-24 12:46:34.227766 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7665, lateral-2: 1.6910, lateral-3: 1.6541, lateral-4: 1.5602, lateral-5: 1.5713, epsilon: 10.5000]
2025-10-24 12:46:38.832443 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7662, lateral-2: 1.6953, lateral-3: 1.6732, lateral-4: 1.5758, lateral-5: 1.5891, epsilon: 11.6397]
2025-10-24 12:46:43.315326 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7652, lateral-2: 1.6160, lateral-3: 1.6066, lateral-4: 1.5247, lateral-5: 1.5590, epsilon: 12.7166]
2025-10-24 12:46:47.316016 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7651, lateral-2: 1.6431, lateral-3: 1.6369, lateral-4: 1.5507, lateral-5: 1.5849, epsilon: 13.7439]
2025-10-24 12:46:51.702567 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7640, lateral-2: 1.6271, lateral-3: 1.6297, lateral-4: 1.5426, lateral-5: 1.5837, epsilon: 14.7305]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_32/run_3/Inf-Net-10.pth
2025-10-24 12:46:55.763552 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7665, lateral-2: 1.5829, lateral-3: 1.5895, lateral-4: 1.5051, lateral-5: 1.5631, epsilon: 15.6831]
2025-10-24 12:47:00.315404 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7650, lateral-2: 1.5629, lateral-3: 1.5729, lateral-4: 1.4965, lateral-5: 1.5559, epsilon: 16.6066]
2025-10-24 12:47:04.350844 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7645, lateral-2: 1.5222, lateral-3: 1.5292, lateral-4: 1.4608, lateral-5: 1.5339, epsilon: 17.5049]
2025-10-24 12:47:09.051763 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7642, lateral-2: 1.5698, lateral-3: 1.5849, lateral-4: 1.5072, lateral-5: 1.5672, epsilon: 18.3811]
2025-10-24 12:47:13.858841 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7638, lateral-2: 1.5706, lateral-3: 1.5863, lateral-4: 1.5112, lateral-5: 1.5698, epsilon: 19.2376]
2025-10-24 12:47:18.528744 Epoch [015/100], Step [0002/0002], [lateral-edge: 0.7639, lateral-2: 1.5457, lateral-3: 1.5671, lateral-4: 1.4955, lateral-5: 1.5581, epsilon: 20.0766]
2025-10-24 12:47:22.865960 Epoch [016/100], Step [0002/0002], [lateral-edge: 0.7630, lateral-2: 1.5298, lateral-3: 1.5549, lateral-4: 1.4858, lateral-5: 1.5526, epsilon: 20.8997]
