Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_3/noise_multiplier_0.05
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:20:02.172701 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7763, lateral-2: 1.6266, lateral-3: 1.6401, lateral-4: 1.5531, lateral-5: 1.5701, epsilon: inf]
2025-10-24 13:20:06.313544 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7748, lateral-2: 1.4940, lateral-3: 1.4819, lateral-4: 1.4463, lateral-5: 1.5139, epsilon: inf]
2025-10-24 13:20:11.466699 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7717, lateral-2: 1.4159, lateral-3: 1.3967, lateral-4: 1.3986, lateral-5: 1.4662, epsilon: inf]
2025-10-24 13:20:17.912591 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7673, lateral-2: 1.3213, lateral-3: 1.3376, lateral-4: 1.3507, lateral-5: 1.4219, epsilon: inf]
2025-10-24 13:20:24.948242 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7631, lateral-2: 1.2372, lateral-3: 1.2937, lateral-4: 1.3085, lateral-5: 1.3818, epsilon: inf]
2025-10-24 13:20:34.110274 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7599, lateral-2: 1.1690, lateral-3: 1.2344, lateral-4: 1.2711, lateral-5: 1.3479, epsilon: inf]
2025-10-24 13:20:44.782617 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7576, lateral-2: 1.1223, lateral-3: 1.1822, lateral-4: 1.2489, lateral-5: 1.3205, epsilon: inf]
2025-10-24 13:21:04.863064 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7558, lateral-2: 1.0971, lateral-3: 1.1507, lateral-4: 1.2327, lateral-5: 1.2950, epsilon: inf]
2025-10-24 13:21:19.440674 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7540, lateral-2: 1.0767, lateral-3: 1.1283, lateral-4: 1.2157, lateral-5: 1.2667, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_3/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:21:38.737319 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7520, lateral-2: 1.0545, lateral-3: 1.1059, lateral-4: 1.1968, lateral-5: 1.2362, epsilon: inf]
2025-10-24 13:21:58.287251 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7501, lateral-2: 1.0341, lateral-3: 1.0864, lateral-4: 1.1778, lateral-5: 1.2078, epsilon: inf]
2025-10-24 13:22:18.980718 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7486, lateral-2: 1.0185, lateral-3: 1.0695, lateral-4: 1.1571, lateral-5: 1.1839, epsilon: inf]
2025-10-24 13:22:46.878706 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7474, lateral-2: 1.0049, lateral-3: 1.0529, lateral-4: 1.1377, lateral-5: 1.1634, epsilon: inf]
2025-10-24 13:23:13.160993 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7463, lateral-2: 0.9906, lateral-3: 1.0388, lateral-4: 1.1233, lateral-5: 1.1460, epsilon: inf]
2025-10-24 13:23:44.128088 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7454, lateral-2: 0.9772, lateral-3: 1.0275, lateral-4: 1.1130, lateral-5: 1.1321, epsilon: inf]
2025-10-24 13:24:16.427668 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7445, lateral-2: 0.9649, lateral-3: 1.0152, lateral-4: 1.1024, lateral-5: 1.1197, epsilon: inf]
2025-10-24 13:24:46.070293 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7438, lateral-2: 0.9530, lateral-3: 1.0028, lateral-4: 1.0912, lateral-5: 1.1076, epsilon: inf]
2025-10-24 13:25:26.999507 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7431, lateral-2: 0.9413, lateral-3: 0.9928, lateral-4: 1.0814, lateral-5: 1.0963, epsilon: inf]
Training completed at Fri Oct 24 13:25:48 CEST 2025
