Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_1/noise_multiplier_0.3
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:59:43.123273 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7835, lateral-2: 1.6791, lateral-3: 1.6977, lateral-4: 1.6344, lateral-5: 1.5265, epsilon: 40.5547]
2025-10-24 13:59:46.304772 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7827, lateral-2: 1.5995, lateral-3: 1.5990, lateral-4: 1.5426, lateral-5: 1.5132, epsilon: 67.3649]
2025-10-24 13:59:49.461435 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7820, lateral-2: 1.5718, lateral-3: 1.5771, lateral-4: 1.5149, lateral-5: 1.5058, epsilon: 91.8295]
2025-10-24 13:59:52.702383 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7813, lateral-2: 1.5466, lateral-3: 1.5424, lateral-4: 1.4995, lateral-5: 1.5004, epsilon: 115.0760]
2025-10-24 13:59:55.997977 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7807, lateral-2: 1.5320, lateral-3: 1.5176, lateral-4: 1.4958, lateral-5: 1.4956, epsilon: 137.5426]
2025-10-24 13:59:59.291497 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7800, lateral-2: 1.5166, lateral-3: 1.4993, lateral-4: 1.4860, lateral-5: 1.4908, epsilon: 159.4546]
2025-10-24 14:00:02.655003 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7793, lateral-2: 1.4984, lateral-3: 1.4854, lateral-4: 1.4718, lateral-5: 1.4858, epsilon: 180.9461]
2025-10-24 14:00:06.088928 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7785, lateral-2: 1.4804, lateral-3: 1.4749, lateral-4: 1.4601, lateral-5: 1.4808, epsilon: 202.1045]
2025-10-24 14:00:09.448251 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7776, lateral-2: 1.4641, lateral-3: 1.4625, lateral-4: 1.4499, lateral-5: 1.4759, epsilon: 222.9906]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_1/noise_multiplier_0.3/Inf-Net-10.pth
2025-10-24 14:00:13.239753 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7767, lateral-2: 1.4504, lateral-3: 1.4467, lateral-4: 1.4390, lateral-5: 1.4711, epsilon: 243.6485]
2025-10-24 14:00:16.601439 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7758, lateral-2: 1.4383, lateral-3: 1.4308, lateral-4: 1.4280, lateral-5: 1.4663, epsilon: 264.1117]
2025-10-24 14:00:20.353989 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7749, lateral-2: 1.4248, lateral-3: 1.4164, lateral-4: 1.4169, lateral-5: 1.4610, epsilon: 284.4063]
2025-10-24 14:00:24.327151 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7740, lateral-2: 1.4087, lateral-3: 1.4041, lateral-4: 1.4053, lateral-5: 1.4554, epsilon: 304.5528]
2025-10-24 14:00:28.251635 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7731, lateral-2: 1.3915, lateral-3: 1.3933, lateral-4: 1.3942, lateral-5: 1.4497, epsilon: 324.5681]
2025-10-24 14:00:32.336425 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7723, lateral-2: 1.3757, lateral-3: 1.3811, lateral-4: 1.3827, lateral-5: 1.4440, epsilon: 344.4660]
2025-10-24 14:00:36.448871 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7715, lateral-2: 1.3616, lateral-3: 1.3665, lateral-4: 1.3710, lateral-5: 1.4384, epsilon: 364.2579]
2025-10-24 14:00:39.984404 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7707, lateral-2: 1.3475, lateral-3: 1.3524, lateral-4: 1.3596, lateral-5: 1.4325, epsilon: 383.9538]
2025-10-24 14:00:43.683863 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7699, lateral-2: 1.3326, lateral-3: 1.3393, lateral-4: 1.3480, lateral-5: 1.4264, epsilon: 403.5620]
2025-10-24 14:00:48.051424 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7692, lateral-2: 1.3171, lateral-3: 1.3275, lateral-4: 1.3368, lateral-5: 1.4201, epsilon: 423.0896]
