Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_128/run_1/noise_multiplier_0.05
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:43:50.213134 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7708, lateral-2: 1.5044, lateral-3: 1.5007, lateral-4: 1.5321, lateral-5: 1.4954, epsilon: inf]
2025-10-24 13:43:54.492556 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7678, lateral-2: 1.3862, lateral-3: 1.4111, lateral-4: 1.4548, lateral-5: 1.4513, epsilon: inf]
2025-10-24 13:43:59.856455 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7639, lateral-2: 1.3137, lateral-3: 1.3578, lateral-4: 1.3852, lateral-5: 1.4187, epsilon: inf]
2025-10-24 13:44:06.613616 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7608, lateral-2: 1.2500, lateral-3: 1.3107, lateral-4: 1.3424, lateral-5: 1.3897, epsilon: inf]
2025-10-24 13:44:14.530841 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7586, lateral-2: 1.1978, lateral-3: 1.2582, lateral-4: 1.2985, lateral-5: 1.3592, epsilon: inf]
2025-10-24 13:44:24.188863 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7567, lateral-2: 1.1531, lateral-3: 1.2065, lateral-4: 1.2636, lateral-5: 1.3276, epsilon: inf]
2025-10-24 13:44:35.697262 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7548, lateral-2: 1.1152, lateral-3: 1.1630, lateral-4: 1.2283, lateral-5: 1.2977, epsilon: inf]
2025-10-24 13:45:01.401679 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7527, lateral-2: 1.0835, lateral-3: 1.1327, lateral-4: 1.1932, lateral-5: 1.2713, epsilon: inf]
2025-10-24 13:45:17.294306 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7508, lateral-2: 1.0592, lateral-3: 1.1068, lateral-4: 1.1676, lateral-5: 1.2462, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_128/run_1/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:45:36.541708 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7491, lateral-2: 1.0382, lateral-3: 1.0853, lateral-4: 1.1508, lateral-5: 1.2221, epsilon: inf]
2025-10-24 13:45:57.855063 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7475, lateral-2: 1.0199, lateral-3: 1.0691, lateral-4: 1.1356, lateral-5: 1.2015, epsilon: inf]
2025-10-24 13:46:20.691941 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7461, lateral-2: 1.0022, lateral-3: 1.0527, lateral-4: 1.1180, lateral-5: 1.1835, epsilon: inf]
2025-10-24 13:46:52.909010 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7448, lateral-2: 0.9863, lateral-3: 1.0394, lateral-4: 1.1040, lateral-5: 1.1680, epsilon: inf]
2025-10-24 13:47:21.814054 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7437, lateral-2: 0.9714, lateral-3: 1.0253, lateral-4: 1.0939, lateral-5: 1.1551, epsilon: inf]
2025-10-24 13:47:55.840106 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7426, lateral-2: 0.9585, lateral-3: 1.0128, lateral-4: 1.0809, lateral-5: 1.1413, epsilon: inf]
2025-10-24 13:48:32.956429 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7416, lateral-2: 0.9468, lateral-3: 1.0011, lateral-4: 1.0706, lateral-5: 1.1275, epsilon: inf]
2025-10-24 13:49:11.935624 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7407, lateral-2: 0.9361, lateral-3: 0.9901, lateral-4: 1.0604, lateral-5: 1.1144, epsilon: inf]
2025-10-24 13:49:56.051840 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7399, lateral-2: 0.9255, lateral-3: 0.9802, lateral-4: 1.0518, lateral-5: 1.1028, epsilon: inf]
Training completed at Fri Oct 24 13:50:19 CEST 2025
