Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: open
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_128/run_2/noise_multiplier_0.05
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='open', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:53:22.804780 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7901, lateral-2: 1.6215, lateral-3: 1.5464, lateral-4: 1.5513, lateral-5: 1.5065, epsilon: inf]
2025-10-24 13:53:27.651844 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7816, lateral-2: 1.4415, lateral-3: 1.4092, lateral-4: 1.4378, lateral-5: 1.4417, epsilon: inf]
2025-10-24 13:53:33.671585 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7702, lateral-2: 1.3217, lateral-3: 1.3305, lateral-4: 1.3809, lateral-5: 1.4084, epsilon: inf]
2025-10-24 13:53:41.658521 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7637, lateral-2: 1.2324, lateral-3: 1.2676, lateral-4: 1.3327, lateral-5: 1.3780, epsilon: inf]
2025-10-24 13:53:50.563496 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7610, lateral-2: 1.1729, lateral-3: 1.2140, lateral-4: 1.2918, lateral-5: 1.3495, epsilon: inf]
2025-10-24 13:54:01.868960 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7591, lateral-2: 1.1205, lateral-3: 1.1735, lateral-4: 1.2591, lateral-5: 1.3250, epsilon: inf]
2025-10-24 13:54:14.718231 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7575, lateral-2: 1.0788, lateral-3: 1.1407, lateral-4: 1.2326, lateral-5: 1.3030, epsilon: inf]
2025-10-24 13:54:42.917764 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7562, lateral-2: 1.0458, lateral-3: 1.1122, lateral-4: 1.2053, lateral-5: 1.2803, epsilon: inf]
2025-10-24 13:55:02.246110 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7550, lateral-2: 1.0202, lateral-3: 1.0874, lateral-4: 1.1760, lateral-5: 1.2572, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_128/run_2/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:55:24.549734 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7538, lateral-2: 1.0002, lateral-3: 1.0687, lateral-4: 1.1506, lateral-5: 1.2339, epsilon: inf]
2025-10-24 13:55:49.906100 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7527, lateral-2: 0.9839, lateral-3: 1.0529, lateral-4: 1.1277, lateral-5: 1.2122, epsilon: inf]
2025-10-24 13:56:16.676348 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7515, lateral-2: 0.9689, lateral-3: 1.0385, lateral-4: 1.1103, lateral-5: 1.1914, epsilon: inf]
2025-10-24 13:56:58.211692 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7504, lateral-2: 0.9552, lateral-3: 1.0235, lateral-4: 1.0972, lateral-5: 1.1727, epsilon: inf]
2025-10-24 13:57:31.403332 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7495, lateral-2: 0.9417, lateral-3: 1.0092, lateral-4: 1.0871, lateral-5: 1.1561, epsilon: inf]
2025-10-24 13:58:07.843956 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7487, lateral-2: 0.9304, lateral-3: 0.9956, lateral-4: 1.0765, lateral-5: 1.1412, epsilon: inf]
2025-10-24 13:58:49.320757 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7479, lateral-2: 0.9196, lateral-3: 0.9834, lateral-4: 1.0657, lateral-5: 1.1275, epsilon: inf]
2025-10-24 13:59:29.739908 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7472, lateral-2: 0.9099, lateral-3: 0.9727, lateral-4: 1.0560, lateral-5: 1.1144, epsilon: inf]
2025-10-24 14:00:19.540654 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7466, lateral-2: 0.9006, lateral-3: 0.9623, lateral-4: 1.0457, lateral-5: 1.1015, epsilon: inf]
Training completed at Fri Oct 24 14:00:46 CEST 2025
