Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: open
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_64/run_3/noise_multiplier_0.3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='open', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:37:44.775373 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7699, lateral-2: 1.6758, lateral-3: 1.7121, lateral-4: 1.6089, lateral-5: 1.5309, epsilon: 40.5547]
2025-10-24 13:37:47.950421 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7693, lateral-2: 1.5544, lateral-3: 1.6187, lateral-4: 1.5447, lateral-5: 1.5202, epsilon: 67.3649]
2025-10-24 13:37:51.133129 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7688, lateral-2: 1.4997, lateral-3: 1.5601, lateral-4: 1.5089, lateral-5: 1.5118, epsilon: 91.8295]
2025-10-24 13:37:54.459013 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7681, lateral-2: 1.4746, lateral-3: 1.5202, lateral-4: 1.4896, lateral-5: 1.5042, epsilon: 115.0760]
2025-10-24 13:37:57.744697 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7674, lateral-2: 1.4561, lateral-3: 1.4898, lateral-4: 1.4740, lateral-5: 1.4963, epsilon: 137.5426]
2025-10-24 13:38:01.043151 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7667, lateral-2: 1.4365, lateral-3: 1.4641, lateral-4: 1.4564, lateral-5: 1.4877, epsilon: 159.4546]
2025-10-24 13:38:04.447500 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7660, lateral-2: 1.4164, lateral-3: 1.4421, lateral-4: 1.4404, lateral-5: 1.4787, epsilon: 180.9461]
2025-10-24 13:38:07.911908 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7652, lateral-2: 1.3955, lateral-3: 1.4216, lateral-4: 1.4255, lateral-5: 1.4693, epsilon: 202.1045]
2025-10-24 13:38:11.367958 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7644, lateral-2: 1.3742, lateral-3: 1.4008, lateral-4: 1.4098, lateral-5: 1.4600, epsilon: 222.9906]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_64/run_3/noise_multiplier_0.3/Inf-Net-10.pth
2025-10-24 13:38:15.157605 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7636, lateral-2: 1.3530, lateral-3: 1.3790, lateral-4: 1.3926, lateral-5: 1.4508, epsilon: 243.6485]
2025-10-24 13:38:18.494716 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7628, lateral-2: 1.3327, lateral-3: 1.3571, lateral-4: 1.3759, lateral-5: 1.4419, epsilon: 264.1117]
2025-10-24 13:38:22.297985 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7621, lateral-2: 1.3124, lateral-3: 1.3373, lateral-4: 1.3613, lateral-5: 1.4331, epsilon: 284.4063]
2025-10-24 13:38:26.271885 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7614, lateral-2: 1.2919, lateral-3: 1.3197, lateral-4: 1.3478, lateral-5: 1.4244, epsilon: 304.5528]
2025-10-24 13:38:30.245334 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7607, lateral-2: 1.2727, lateral-3: 1.3037, lateral-4: 1.3348, lateral-5: 1.4161, epsilon: 324.5681]
2025-10-24 13:38:34.337334 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7601, lateral-2: 1.2555, lateral-3: 1.2875, lateral-4: 1.3214, lateral-5: 1.4078, epsilon: 344.4660]
2025-10-24 13:38:38.462659 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7594, lateral-2: 1.2399, lateral-3: 1.2710, lateral-4: 1.3082, lateral-5: 1.4000, epsilon: 364.2579]
2025-10-24 13:38:42.072838 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7588, lateral-2: 1.2256, lateral-3: 1.2554, lateral-4: 1.2959, lateral-5: 1.3927, epsilon: 383.9538]
2025-10-24 13:38:45.829614 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7582, lateral-2: 1.2117, lateral-3: 1.2418, lateral-4: 1.2844, lateral-5: 1.3858, epsilon: 403.5620]
2025-10-24 13:38:50.300387 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7577, lateral-2: 1.1987, lateral-3: 1.2296, lateral-4: 1.2736, lateral-5: 1.3792, epsilon: 423.0896]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_64/run_3/noise_multiplier_0.3/Inf-Net-20.pth
2025-10-24 13:38:54.873432 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7572, lateral-2: 1.1868, lateral-3: 1.2177, lateral-4: 1.2640, lateral-5: 1.3730, epsilon: 442.5429]
2025-10-24 13:38:59.533666 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7566, lateral-2: 1.1759, lateral-3: 1.2062, lateral-4: 1.2550, lateral-5: 1.3669, epsilon: 461.9275]
2025-10-24 13:39:03.853462 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7561, lateral-2: 1.1656, lateral-3: 1.1957, lateral-4: 1.2467, lateral-5: 1.3612, epsilon: 481.2481]
2025-10-24 13:39:07.858266 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7557, lateral-2: 1.1562, lateral-3: 1.1868, lateral-4: 1.2388, lateral-5: 1.3558, epsilon: 500.5092]
