Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_morphology=True, morph_operation='close', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:22:12.184559 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7551, lateral-2: 1.6027, lateral-3: 1.5985, lateral-4: 1.5661, lateral-5: 1.5307]
2025-10-23 17:22:13.928711 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7494, lateral-2: 1.4686, lateral-3: 1.4753, lateral-4: 1.4809, lateral-5: 1.5262]
2025-10-23 17:22:15.712374 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7449, lateral-2: 1.4097, lateral-3: 1.4262, lateral-4: 1.4429, lateral-5: 1.5175]
2025-10-23 17:22:17.498365 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7417, lateral-2: 1.3805, lateral-3: 1.3918, lateral-4: 1.4249, lateral-5: 1.5089]
2025-10-23 17:22:19.279264 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7393, lateral-2: 1.3464, lateral-3: 1.3633, lateral-4: 1.4039, lateral-5: 1.4928]
2025-10-23 17:22:21.036450 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7371, lateral-2: 1.3049, lateral-3: 1.3262, lateral-4: 1.3780, lateral-5: 1.4500]
2025-10-23 17:22:22.829298 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7350, lateral-2: 1.2511, lateral-3: 1.2781, lateral-4: 1.3499, lateral-5: 1.4013]
2025-10-23 17:22:24.599328 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7331, lateral-2: 1.1868, lateral-3: 1.2207, lateral-4: 1.2874, lateral-5: 1.3816]
2025-10-23 17:22:26.372550 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7313, lateral-2: 1.0987, lateral-3: 1.1380, lateral-4: 1.2205, lateral-5: 1.3731]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_64/run_2/Inf-Net-10.pth
2025-10-23 17:22:28.481098 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7296, lateral-2: 1.0469, lateral-3: 1.0978, lateral-4: 1.2029, lateral-5: 1.4291]
2025-10-23 17:22:30.257501 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7281, lateral-2: 1.0017, lateral-3: 1.0572, lateral-4: 1.1459, lateral-5: 1.5005]
2025-10-23 17:22:32.016194 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7266, lateral-2: 0.9151, lateral-3: 0.9711, lateral-4: 1.0736, lateral-5: 1.4785]
