Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:25:09.972913 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7620, lateral-2: 1.6722, lateral-3: 1.6174, lateral-4: 1.5704, lateral-5: 1.5422]
2025-10-23 17:25:11.617690 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7540, lateral-2: 1.5079, lateral-3: 1.4987, lateral-4: 1.5020, lateral-5: 1.5389]
2025-10-23 17:25:13.306173 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7496, lateral-2: 1.4684, lateral-3: 1.4722, lateral-4: 1.4707, lateral-5: 1.5321]
2025-10-23 17:25:14.989216 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7466, lateral-2: 1.4385, lateral-3: 1.4445, lateral-4: 1.4501, lateral-5: 1.5309]
2025-10-23 17:25:16.677932 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7440, lateral-2: 1.4194, lateral-3: 1.4125, lateral-4: 1.4466, lateral-5: 1.5226]
2025-10-23 17:25:18.356226 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7420, lateral-2: 1.3908, lateral-3: 1.4063, lateral-4: 1.4218, lateral-5: 1.5182]
2025-10-23 17:25:20.045618 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7397, lateral-2: 1.3697, lateral-3: 1.3766, lateral-4: 1.4066, lateral-5: 1.5135]
2025-10-23 17:25:21.722813 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7377, lateral-2: 1.3322, lateral-3: 1.3558, lateral-4: 1.3795, lateral-5: 1.4958]
2025-10-23 17:25:23.404139 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7359, lateral-2: 1.2937, lateral-3: 1.3455, lateral-4: 1.3508, lateral-5: 1.4556]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_1/Inf-Net-10.pth
2025-10-23 17:25:25.312386 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7346, lateral-2: 1.2604, lateral-3: 1.2837, lateral-4: 1.3255, lateral-5: 1.4191]
2025-10-23 17:25:27.013873 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7334, lateral-2: 1.2251, lateral-3: 1.2396, lateral-4: 1.3105, lateral-5: 1.4160]
2025-10-23 17:25:28.714621 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7322, lateral-2: 1.1478, lateral-3: 1.1913, lateral-4: 1.2391, lateral-5: 1.4389]
2025-10-23 17:25:30.401000 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7313, lateral-2: 1.0804, lateral-3: 1.0989, lateral-4: 1.1687, lateral-5: 1.4771]
2025-10-23 17:25:32.102614 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7303, lateral-2: 0.9901, lateral-3: 1.0233, lateral-4: 1.1089, lateral-5: 1.5512]
2025-10-23 17:25:33.823702 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7294, lateral-2: 0.9229, lateral-3: 0.9666, lateral-4: 1.0590, lateral-5: 1.6036]
2025-10-23 17:25:35.548986 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7286, lateral-2: 0.8842, lateral-3: 0.9391, lateral-4: 1.0358, lateral-5: 1.6160]
2025-10-23 17:25:37.253048 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7277, lateral-2: 0.8677, lateral-3: 0.9218, lateral-4: 1.0313, lateral-5: 1.5947]
2025-10-23 17:25:38.986101 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7268, lateral-2: 0.8511, lateral-3: 0.9134, lateral-4: 1.0101, lateral-5: 1.5750]
2025-10-23 17:25:40.692006 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7261, lateral-2: 0.8248, lateral-3: 0.8883, lateral-4: 0.9965, lateral-5: 1.5352]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_1/Inf-Net-20.pth
2025-10-23 17:25:42.622010 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7252, lateral-2: 0.8091, lateral-3: 0.8762, lateral-4: 0.9801, lateral-5: 1.5208]
2025-10-23 17:25:44.302529 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7246, lateral-2: 0.7928, lateral-3: 0.8597, lateral-4: 0.9655, lateral-5: 1.5014]
2025-10-23 17:25:46.016876 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7238, lateral-2: 0.7759, lateral-3: 0.8474, lateral-4: 0.9567, lateral-5: 1.4894]
2025-10-23 17:25:47.706138 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7230, lateral-2: 0.7584, lateral-3: 0.8306, lateral-4: 0.9401, lateral-5: 1.4584]
2025-10-23 17:25:49.401047 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7222, lateral-2: 0.7340, lateral-3: 0.8115, lateral-4: 0.9247, lateral-5: 1.4391]
2025-10-23 17:25:51.083056 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7215, lateral-2: 0.7239, lateral-3: 0.8027, lateral-4: 0.9162, lateral-5: 1.4148]
2025-10-23 17:25:52.789197 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7207, lateral-2: 0.7068, lateral-3: 0.7893, lateral-4: 0.9052, lateral-5: 1.4103]
2025-10-23 17:25:54.475021 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7200, lateral-2: 0.6976, lateral-3: 0.7803, lateral-4: 0.8966, lateral-5: 1.3798]
2025-10-23 17:25:56.187454 Epoch [028/100], Step [0001/0001], [lateral-edge: 0.7192, lateral-2: 0.6971, lateral-3: 0.7809, lateral-4: 0.8991, lateral-5: 1.3664]
2025-10-23 17:25:57.894141 Epoch [029/100], Step [0001/0001], [lateral-edge: 0.7184, lateral-2: 0.6924, lateral-3: 0.7772, lateral-4: 0.8980, lateral-5: 1.3545]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_1/Inf-Net-30.pth
2025-10-23 17:25:59.817618 Epoch [030/100], Step [0001/0001], [lateral-edge: 0.7177, lateral-2: 0.6832, lateral-3: 0.7692, lateral-4: 0.8876, lateral-5: 1.3293]
2025-10-23 17:26:01.514511 Epoch [031/100], Step [0001/0001], [lateral-edge: 0.7169, lateral-2: 0.6702, lateral-3: 0.7585, lateral-4: 0.8785, lateral-5: 1.3111]
2025-10-23 17:26:03.209435 Epoch [032/100], Step [0001/0001], [lateral-edge: 0.7162, lateral-2: 0.6578, lateral-3: 0.7479, lateral-4: 0.8711, lateral-5: 1.2974]
2025-10-23 17:26:04.896890 Epoch [033/100], Step [0001/0001], [lateral-edge: 0.7154, lateral-2: 0.6403, lateral-3: 0.7341, lateral-4: 0.8613, lateral-5: 1.2841]
2025-10-23 17:26:06.609784 Epoch [034/100], Step [0001/0001], [lateral-edge: 0.7147, lateral-2: 0.6334, lateral-3: 0.7278, lateral-4: 0.8529, lateral-5: 1.2552]
2025-10-23 17:26:08.289732 Epoch [035/100], Step [0001/0001], [lateral-edge: 0.7140, lateral-2: 0.6228, lateral-3: 0.7191, lateral-4: 0.8476, lateral-5: 1.2473]
2025-10-23 17:26:09.976162 Epoch [036/100], Step [0001/0001], [lateral-edge: 0.7133, lateral-2: 0.6190, lateral-3: 0.7162, lateral-4: 0.8419, lateral-5: 1.2279]
2025-10-23 17:26:11.657192 Epoch [037/100], Step [0001/0001], [lateral-edge: 0.7126, lateral-2: 0.6081, lateral-3: 0.7095, lateral-4: 0.8416, lateral-5: 1.2157]
2025-10-23 17:26:13.335780 Epoch [038/100], Step [0001/0001], [lateral-edge: 0.7119, lateral-2: 0.6095, lateral-3: 0.7126, lateral-4: 0.8445, lateral-5: 1.2090]
2025-10-23 17:26:15.038684 Epoch [039/100], Step [0001/0001], [lateral-edge: 0.7112, lateral-2: 0.6020, lateral-3: 0.7036, lateral-4: 0.8374, lateral-5: 1.1927]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_1/Inf-Net-40.pth
2025-10-23 17:26:17.093533 Epoch [040/100], Step [0001/0001], [lateral-edge: 0.7106, lateral-2: 0.5981, lateral-3: 0.7033, lateral-4: 0.8372, lateral-5: 1.1845]
2025-10-23 17:26:18.787317 Epoch [041/100], Step [0001/0001], [lateral-edge: 0.7100, lateral-2: 0.5877, lateral-3: 0.6941, lateral-4: 0.8319, lateral-5: 1.1814]
2025-10-23 17:26:20.486641 Epoch [042/100], Step [0001/0001], [lateral-edge: 0.7093, lateral-2: 0.5813, lateral-3: 0.6889, lateral-4: 0.8277, lateral-5: 1.1562]
2025-10-23 17:26:22.173022 Epoch [043/100], Step [0001/0001], [lateral-edge: 0.7088, lateral-2: 0.5767, lateral-3: 0.6872, lateral-4: 0.8278, lateral-5: 1.1546]
2025-10-23 17:26:23.855621 Epoch [044/100], Step [0001/0001], [lateral-edge: 0.7082, lateral-2: 0.5706, lateral-3: 0.6824, lateral-4: 0.8235, lateral-5: 1.1472]
2025-10-23 17:26:25.553248 Epoch [045/100], Step [0001/0001], [lateral-edge: 0.7076, lateral-2: 0.5778, lateral-3: 0.6904, lateral-4: 0.8305, lateral-5: 1.1290]
