Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:22:13.548995 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7673, lateral-2: 1.4618, lateral-3: 1.5016, lateral-4: 1.5211, lateral-5: 1.5181]
2025-10-23 17:22:15.070894 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7532, lateral-2: 1.3539, lateral-3: 1.4085, lateral-4: 1.4752, lateral-5: 1.5068]
2025-10-23 17:22:16.674521 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7481, lateral-2: 1.2827, lateral-3: 1.3515, lateral-4: 1.4205, lateral-5: 1.4976]
2025-10-23 17:22:18.291219 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7445, lateral-2: 1.2566, lateral-3: 1.3223, lateral-4: 1.3864, lateral-5: 1.4829]
2025-10-23 17:22:19.888854 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7402, lateral-2: 1.2145, lateral-3: 1.2882, lateral-4: 1.3719, lateral-5: 1.4439]
2025-10-23 17:22:21.529281 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7377, lateral-2: 1.1328, lateral-3: 1.2005, lateral-4: 1.2919, lateral-5: 1.4147]
2025-10-23 17:22:23.139553 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7356, lateral-2: 1.0535, lateral-3: 1.1200, lateral-4: 1.2082, lateral-5: 1.4656]
2025-10-23 17:22:24.763605 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7334, lateral-2: 0.9571, lateral-3: 1.0382, lateral-4: 1.1504, lateral-5: 1.5173]
2025-10-23 17:22:26.399703 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7315, lateral-2: 0.9293, lateral-3: 1.0068, lateral-4: 1.1133, lateral-5: 1.5126]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_3/Inf-Net-10.pth
2025-10-23 17:22:28.275117 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7296, lateral-2: 0.9210, lateral-3: 0.9982, lateral-4: 1.0999, lateral-5: 1.4668]
