Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Morphology: open
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_morphology=True, morph_operation='open', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:18:51.996963 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7641, lateral-2: 1.4776, lateral-3: 1.5139, lateral-4: 1.5273, lateral-5: 1.5153]
2025-10-23 17:18:53.668539 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7546, lateral-2: 1.3895, lateral-3: 1.4193, lateral-4: 1.4696, lateral-5: 1.5054]
2025-10-23 17:18:55.312596 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7484, lateral-2: 1.3405, lateral-3: 1.3885, lateral-4: 1.4544, lateral-5: 1.5069]
2025-10-23 17:18:56.953314 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7425, lateral-2: 1.3128, lateral-3: 1.3560, lateral-4: 1.4283, lateral-5: 1.4802]
2025-10-23 17:18:58.614174 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7388, lateral-2: 1.2740, lateral-3: 1.3239, lateral-4: 1.4173, lateral-5: 1.4545]
2025-10-23 17:19:00.267056 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7352, lateral-2: 1.2038, lateral-3: 1.2465, lateral-4: 1.3389, lateral-5: 1.4535]
2025-10-23 17:19:01.904285 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7324, lateral-2: 1.0834, lateral-3: 1.1345, lateral-4: 1.2350, lateral-5: 1.5373]
2025-10-23 17:19:03.545735 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7295, lateral-2: 1.0106, lateral-3: 1.0609, lateral-4: 1.1535, lateral-5: 1.5975]
2025-10-23 17:19:05.197235 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7267, lateral-2: 0.9464, lateral-3: 1.0095, lateral-4: 1.1149, lateral-5: 1.5736]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1/Inf-Net-10.pth
2025-10-23 17:19:07.725737 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7250, lateral-2: 0.9500, lateral-3: 1.0099, lateral-4: 1.1047, lateral-5: 1.5342]
2025-10-23 17:19:09.381938 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7227, lateral-2: 0.9378, lateral-3: 0.9994, lateral-4: 1.1049, lateral-5: 1.5366]
2025-10-23 17:19:11.043907 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7204, lateral-2: 0.8991, lateral-3: 0.9712, lateral-4: 1.0819, lateral-5: 1.5429]
2025-10-23 17:19:12.804947 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7190, lateral-2: 0.8724, lateral-3: 0.9423, lateral-4: 1.0570, lateral-5: 1.5043]
2025-10-23 17:19:14.486369 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7174, lateral-2: 0.8571, lateral-3: 0.9253, lateral-4: 1.0336, lateral-5: 1.4966]
2025-10-23 17:19:16.185339 Epoch [015/100], Step [0002/0002], [lateral-edge: 0.7156, lateral-2: 0.8509, lateral-3: 0.9231, lateral-4: 1.0274, lateral-5: 1.4507]
2025-10-23 17:19:17.841558 Epoch [016/100], Step [0002/0002], [lateral-edge: 0.7142, lateral-2: 0.7974, lateral-3: 0.8749, lateral-4: 0.9932, lateral-5: 1.4776]
2025-10-23 17:19:19.514664 Epoch [017/100], Step [0002/0002], [lateral-edge: 0.7129, lateral-2: 0.7849, lateral-3: 0.8651, lateral-4: 0.9752, lateral-5: 1.4589]
2025-10-23 17:19:21.155715 Epoch [018/100], Step [0002/0002], [lateral-edge: 0.7116, lateral-2: 0.7614, lateral-3: 0.8420, lateral-4: 0.9560, lateral-5: 1.4387]
2025-10-23 17:19:22.804282 Epoch [019/100], Step [0002/0002], [lateral-edge: 0.7103, lateral-2: 0.7503, lateral-3: 0.8322, lateral-4: 0.9470, lateral-5: 1.4420]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1/Inf-Net-20.pth
2025-10-23 17:19:24.720488 Epoch [020/100], Step [0002/0002], [lateral-edge: 0.7095, lateral-2: 0.7180, lateral-3: 0.8096, lateral-4: 0.9315, lateral-5: 1.3957]
2025-10-23 17:19:26.378584 Epoch [021/100], Step [0002/0002], [lateral-edge: 0.7088, lateral-2: 0.7325, lateral-3: 0.8157, lateral-4: 0.9290, lateral-5: 1.3963]
2025-10-23 17:19:28.027290 Epoch [022/100], Step [0002/0002], [lateral-edge: 0.7078, lateral-2: 0.7066, lateral-3: 0.7990, lateral-4: 0.9232, lateral-5: 1.3861]
2025-10-23 17:19:29.679126 Epoch [023/100], Step [0002/0002], [lateral-edge: 0.7067, lateral-2: 0.7158, lateral-3: 0.8075, lateral-4: 0.9285, lateral-5: 1.3477]
2025-10-23 17:19:31.363970 Epoch [024/100], Step [0002/0002], [lateral-edge: 0.7060, lateral-2: 0.6990, lateral-3: 0.7927, lateral-4: 0.9171, lateral-5: 1.3407]
2025-10-23 17:19:33.028650 Epoch [025/100], Step [0002/0002], [lateral-edge: 0.7053, lateral-2: 0.7546, lateral-3: 0.8328, lateral-4: 0.9476, lateral-5: 1.3133]
2025-10-23 17:19:34.703126 Epoch [026/100], Step [0002/0002], [lateral-edge: 0.7045, lateral-2: 0.7206, lateral-3: 0.8108, lateral-4: 0.9300, lateral-5: 1.2794]
2025-10-23 17:19:36.371991 Epoch [027/100], Step [0002/0002], [lateral-edge: 0.7038, lateral-2: 0.6931, lateral-3: 0.7848, lateral-4: 0.9080, lateral-5: 1.3163]
2025-10-23 17:19:38.031821 Epoch [028/100], Step [0002/0002], [lateral-edge: 0.7029, lateral-2: 0.7201, lateral-3: 0.8146, lateral-4: 0.9320, lateral-5: 1.2830]
2025-10-23 17:19:39.674531 Epoch [029/100], Step [0002/0002], [lateral-edge: 0.7028, lateral-2: 0.7028, lateral-3: 0.7901, lateral-4: 0.9055, lateral-5: 1.2839]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1/Inf-Net-30.pth
2025-10-23 17:19:41.633949 Epoch [030/100], Step [0002/0002], [lateral-edge: 0.7019, lateral-2: 0.6527, lateral-3: 0.7541, lateral-4: 0.8844, lateral-5: 1.2898]
2025-10-23 17:19:43.313246 Epoch [031/100], Step [0002/0002], [lateral-edge: 0.7014, lateral-2: 0.6818, lateral-3: 0.7773, lateral-4: 0.9028, lateral-5: 1.2691]
2025-10-23 17:19:44.964453 Epoch [032/100], Step [0002/0002], [lateral-edge: 0.7008, lateral-2: 0.6598, lateral-3: 0.7597, lateral-4: 0.8824, lateral-5: 1.2040]
2025-10-23 17:19:46.625228 Epoch [033/100], Step [0002/0002], [lateral-edge: 0.7003, lateral-2: 0.6627, lateral-3: 0.7579, lateral-4: 0.8832, lateral-5: 1.2259]
2025-10-23 17:19:48.274559 Epoch [034/100], Step [0002/0002], [lateral-edge: 0.6998, lateral-2: 0.6671, lateral-3: 0.7663, lateral-4: 0.8882, lateral-5: 1.2281]
2025-10-23 17:19:49.925148 Epoch [035/100], Step [0002/0002], [lateral-edge: 0.6993, lateral-2: 0.6489, lateral-3: 0.7471, lateral-4: 0.8743, lateral-5: 1.1921]
2025-10-23 17:19:51.564137 Epoch [036/100], Step [0002/0002], [lateral-edge: 0.6990, lateral-2: 0.6339, lateral-3: 0.7403, lateral-4: 0.8731, lateral-5: 1.2142]
2025-10-23 17:19:53.207371 Epoch [037/100], Step [0002/0002], [lateral-edge: 0.6984, lateral-2: 0.6079, lateral-3: 0.7193, lateral-4: 0.8575, lateral-5: 1.2008]
2025-10-23 17:19:54.842850 Epoch [038/100], Step [0002/0002], [lateral-edge: 0.6978, lateral-2: 0.6100, lateral-3: 0.7207, lateral-4: 0.8536, lateral-5: 1.1550]
2025-10-23 17:19:56.486630 Epoch [039/100], Step [0002/0002], [lateral-edge: 0.6974, lateral-2: 0.6059, lateral-3: 0.7112, lateral-4: 0.8466, lateral-5: 1.1649]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_32/run_1/Inf-Net-40.pth
2025-10-23 17:19:58.357655 Epoch [040/100], Step [0002/0002], [lateral-edge: 0.6969, lateral-2: 0.5987, lateral-3: 0.7115, lateral-4: 0.8462, lateral-5: 1.1492]
2025-10-23 17:20:00.002603 Epoch [041/100], Step [0002/0002], [lateral-edge: 0.6966, lateral-2: 0.5934, lateral-3: 0.7020, lateral-4: 0.8413, lateral-5: 1.1103]
2025-10-23 17:20:01.662727 Epoch [042/100], Step [0002/0002], [lateral-edge: 0.6961, lateral-2: 0.5974, lateral-3: 0.7127, lateral-4: 0.8513, lateral-5: 1.1332]
2025-10-23 17:20:03.335966 Epoch [043/100], Step [0002/0002], [lateral-edge: 0.6959, lateral-2: 0.5950, lateral-3: 0.7049, lateral-4: 0.8419, lateral-5: 1.1074]
2025-10-23 17:20:04.979604 Epoch [044/100], Step [0002/0002], [lateral-edge: 0.6955, lateral-2: 0.5939, lateral-3: 0.7115, lateral-4: 0.8482, lateral-5: 1.1133]
2025-10-23 17:20:06.625292 Epoch [045/100], Step [0002/0002], [lateral-edge: 0.6951, lateral-2: 0.5913, lateral-3: 0.7030, lateral-4: 0.8423, lateral-5: 1.1171]
2025-10-23 17:20:08.302616 Epoch [046/100], Step [0002/0002], [lateral-edge: 0.6947, lateral-2: 0.6088, lateral-3: 0.7106, lateral-4: 0.8389, lateral-5: 1.1039]
2025-10-23 17:20:09.958932 Epoch [047/100], Step [0002/0002], [lateral-edge: 0.6944, lateral-2: 0.5833, lateral-3: 0.6938, lateral-4: 0.8378, lateral-5: 1.0678]
2025-10-23 17:20:11.633423 Epoch [048/100], Step [0002/0002], [lateral-edge: 0.6939, lateral-2: 0.6045, lateral-3: 0.7195, lateral-4: 0.8486, lateral-5: 1.0462]
